Retail and E-commerce, Daily sales statistics by product category, thousand USD, t
Grocery,Baby,Clothing
190,332,262
379,360,308
203,170,469
233,334,317
385,288,228
312,275,161
225,181,397
337,376,342
459,494,276
259,336,308
257,352,328
247,311,266
175,369,296
246,305,297
282,355,374
1,296,437
268,447,343
246,252,256
163,322,187
457,432,300
227,313,304
232,228,134
217,322,313
178,178,324
147,324,193
437,323,221
261,326,353
159,429,253
149,367,392
308,302,321
153,310,317
328,280,287
271,426,306
239,395,244
304,227,428
290,279,202
195,247,371
163,261,399
221,346,231
129,382,320
275,379,332
231,368,365
400,266,309
246,438,327
19,375,234
126,374,295
95,399,387
275,334,154
224,294,515
252,405,320
264,359,241
268,358,412
131,310,206
116,408,421
382,398,195
338,279,247
34,370,335
225,230,514
120,362,292
8,299,58
65,292,280
302,377,358
144,316,200
140,297,280
217,248,362
214,300,348
244,477,280
87,399,344
181,278,279
241,286,303
259,371,331
418,314,425
361,272,260
127,290,314
265,287,346
261,335,329
235,334,361
310,398,186
357,301,335
305,324,262
175,290,212
193,277,398
167,286,375
280,288,250
348,284,499
207,364,391
291,364,204
116,182,349
154,215,288
120,370,378
218,294,283
63,282,224
153,338,392
304,259,311
113,318,284
231,175,346
140,306,268
497,302,227
207,282,361
162,437,247
108,250,363
148,326,331
283,281,334
333,308,306
228,335,256
250,339,326
333,126,287
274,369,362
191,356,307
241,261,384
171,180,371
236,271,340
