Education and Academics, Data on employment rates in different schools, %, t
Brookfield Academy,Springfield School,Pinecrest Institute,Silverton High,Northgate School,Sunnyvale Prep,Oakridge College
88.1,89.7,88.57,84.35,91.74,85.92,75.34
87.96,80.29,87.23,85.13,95.69,82.07,79.27
91.72,79.63,77.98,82.27,95.48,85.7,75.28
86.0,76.36,89.51,86.01,94.71,82.57,76.1
87.75,87.05,91.82,87.64,95.04,82.69,78.68
89.77,89.05,88.96,84.96,87.75,79.76,87.11
88.55,85.85,86.21,86.32,94.81,81.67,76.88
89.29,85.52,90.08,89.22,89.26,86.77,79.2
85.57,86.05,88.29,85.74,92.3,82.97,75.89
87.76,88.58,90.57,89.2,89.53,83.3,73.98
88.94,82.27,87.06,86.73,96.31,82.93,84.82
90.04,86.12,81.64,88.31,92.41,84.14,82.32
90.31,80.91,87.3,84.04,92.36,84.62,84.44
90.12,83.83,83.78,84.94,89.6,81.24,82.28
87.52,85.86,82.25,82.87,92.96,83.59,81.01
86.14,84.41,87.86,86.8,91.89,87.25,83.11
88.26,90.9,90.79,85.92,102.43,86.69,78.88
87.2,90.25,86.58,84.96,96.64,77.89,80.52
87.86,89.3,87.05,88.75,94.36,82.74,74.36
86.72,87.64,88.93,86.27,99.31,80.23,71.4
87.57,86.34,83.35,81.76,92.21,83.79,77.37
88.27,85.63,82.21,86.34,92.6,88.04,73.47
88.56,73.53,85.58,84.3,89.48,87.49,80.97
88.25,88.66,81.25,88.04,92.74,87.12,76.54
90.86,89.67,90.07,84.23,91.63,79.46,75.03
90.54,82.54,81.01,84.37,88.18,85.9,79.59
89.23,88.14,86.02,86.98,90.03,82.97,82.43
88.0,83.96,85.35,87.33,88.06,85.26,80.8
89.43,84.84,82.0,89.44,89.59,89.17,71.48
89.98,88.76,86.01,87.52,94.93,89.47,87.79
87.17,91.55,82.34,85.15,91.57,82.57,75.55
84.23,86.81,86.22,84.39,89.08,83.93,77.25
86.63,81.28,82.53,81.3,94.24,83.85,85.05
88.75,82.67,87.35,86.94,91.81,81.83,74.29
88.42,85.28,88.81,84.27,94.06,85.06,78.6
89.66,84.62,89.56,85.73,94.4,87.2,80.84
90.26,78.68,87.86,89.09,92.25,81.67,73.64
87.77,74.43,86.81,83.87,94.05,84.36,84.18
88.59,83.95,76.03,83.35,100.29,82.79,77.56
89.66,88.35,84.78,83.78,93.04,83.91,79.34
86.83,84.27,84.67,86.42,97.1,80.67,93.89
89.46,83.01,86.33,84.53,90.1,85.67,79.99
87.31,85.07,81.67,85.84,93.01,103.18,80.3
89.76,83.84,86.06,87.25,91.05,88.04,75.39
88.13,88.42,86.69,87.13,88.06,85.9,78.44
91.81,79.53,85.94,86.48,87.11,78.78,78.83
89.34,81.63,83.74,84.41,93.4,86.74,80.64
86.73,85.49,83.25,86.58,94.35,82.8,84.39
91.18,81.87,84.62,85.7,83.35,81.59,83.25
87.24,96.21,78.33,87.36,93.2,79.62,74.96
88.18,83.38,91.45,84.08,90.34,88.67,84.19
86.94,91.72,83.6,84.89,91.04,82.83,79.97
90.53,78.93,86.22,85.03,91.36,81.73,85.2
87.01,88.7,88.35,84.77,95.0,87.18,79.25
88.53,86.31,84.56,85.7,92.32,85.42,78.19
90.13,84.05,89.13,89.11,93.47,78.63,78.7
88.58,80.8,88.12,84.84,93.0,90.89,83.08
88.43,83.26,89.68,83.67,97.33,86.03,79.61
93.05,90.02,89.73,87.56,96.14,77.95,78.22
88.03,84.51,88.5,82.11,92.68,86.74,71.23
87.63,79.07,90.68,86.43,92.58,84.32,83.48
92.99,74.02,85.87,81.18,91.26,87.76,76.78
91.41,84.96,88.53,84.97,91.37,83.44,74.61
87.43,82.29,83.86,83.1,89.69,76.05,78.47
86.8,84.3,86.0,90.27,94.99,88.74,77.05
87.11,82.09,87.05,87.16,90.37,85.22,78.09
88.5,80.64,86.51,85.28,96.0,86.27,74.19
88.52,90.32,86.58,85.28,91.02,81.45,80.16
87.87,81.19,94.42,83.61,92.31,83.07,78.86
88.99,85.06,84.65,85.17,96.66,83.62,64.62
90.75,75.69,89.22,88.1,95.33,83.0,81.05
85.06,88.33,90.74,82.23,82.34,83.76,82.96
88.5,85.42,79.49,85.83,91.91,88.68,78.25
89.64,80.62,79.0,82.61,92.37,82.91,85.64
87.48,86.37,86.9,86.55,92.0,83.36,85.01
88.73,76.5,82.95,85.43,92.45,85.03,74.18
87.62,89.02,82.96,83.47,93.99,90.23,75.71
87.47,82.08,89.46,83.74,93.47,82.81,68.46
88.85,87.49,88.57,89.0,90.03,86.21,74.5
87.83,82.06,82.18,83.52,90.55,81.1,79.09
89.65,82.89,86.73,87.32,89.74,75.18,77.31
89.81,83.33,90.84,84.42,100.01,82.46,79.54
87.91,88.06,90.34,86.35,91.74,82.27,80.53
90.68,83.42,81.89,83.64,93.83,80.05,82.31
88.7,91.97,87.27,84.44,99.9,84.86,81.67
89.84,81.2,81.91,83.19,97.35,81.15,80.16
90.36,82.87,86.49,81.93,90.13,88.0,78.48
86.75,85.97,86.2,84.3,89.42,81.84,84.09
89.32,85.03,85.81,84.75,92.56,84.84,80.45
89.25,89.17,83.51,85.43,89.65,88.3,78.82
89.84,77.37,88.23,86.01,94.28,87.08,79.93
