Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, normal
Flicksy,Vido,Streamo,MoviQ,Zoomo
14797,28419,26412,17029,21674
19143,29416,31178,10426,22329
17680,26637,23537,16108,21773
17610,32836,29267,9860,25848
12780,26047,28849,12497,22986
15803,27504,27176,13129,25579
15459,25274,23567,13691,26554
13083,30788,26549,14941,23620
14997,29446,26702,11093,23998
15624,30995,29601,11493,22684
18225,28159,31222,14762,21076
14185,31143,27149,17467,20757
17636,27545,32120,12044,22078
13773,30725,28896,10132,21497
13093,31305,26362,10708,21295
20309,31550,28805,14759,24140
12457,30563,27137,17891,21269
17205,31400,26504,10510,23307
16889,29189,26469,14616,23728
11785,28433,24316,15625,24291
18581,28781,24941,11369,25026
16061,25286,26737,15398,20021
16590,26095,32062,11216,22632
15790,30670,25520,10067,23679
15067,29753,30991,11960,22908
19040,25420,30319,17280,25402
14799,29466,22892,10724,25515
11794,27342,23295,18842,24271
14291,27578,31448,11910,22744
16890,32044,29194,15145,23402
12654,27626,26396,17723,21189
23426,27989,25994,10241,23839
18221,28263,24898,15067,24445
16586,29408,24882,14834,25789
9317,27063,30819,9439,24625
17608,26438,26281,6175,22816
12634,27302,30515,6545,21881
20057,29329,29237,12716,22525
15188,32717,30339,10562,21172
14513,30690,28858,15135,25651
16534,27745,30006,15106,23492
12965,31652,28810,12759,27140
15154,26375,23106,14115,23662
16377,29380,26088,14761,25690
13818,27868,29450,7639,21710
16904,29450,29016,7080,21737
17734,30678,32025,8982,22462
16076,26645,24785,13377,19646
16672,30077,27283,7859,19114
13670,28494,28947,8288,20621
13674,28240,29407,12797,27127
16731,28483,28241,16779,25096
17714,29299,29776,14634,22355
14161,27594,27826,11646,24113
18237,30934,27925,9376,24057
13445,29135,30107,10082,22278
14844,30429,27750,13165,25217
15955,27896,27014,9833,21664
18180,29582,32062,13811,23115
17047,30418,30223,9731,23102
16058,28164,26514,11555,20642
16543,25680,30076,12330,25587
13361,28840,28928,9037,23001
16954,27840,23399,9126,23063
15262,29646,23164,7948,26089
8892,28236,29925,13102,22434
11355,28030,29535,12196,22680
15896,27931,30086,3996,23575
14297,28137,24206,17168,24367
16903,29958,29434,13307,23847
18963,28752,30477,13311,20891
15576,28410,28815,14670,25485
10536,31819,25256,12644,21330
16129,29126,29334,12318,22706
14176,30023,32147,15379,24825
13289,29210,25960,16539,24284
19808,28626,25963,13354,25773
15752,27032,25711,14417,23540
13235,29394,30438,11151,20771
16497,28329,24731,12147,23533
16045,28992,23616,15825,24749
16530,30468,27973,14078,22906
15390,29355,27056,17046,23165
19400,30440,27689,9270,21769
20013,28290,22931,7662,23216
18239,25963,26738,12701,24737
16560,31505,27335,12789,24082
17263,28759,24541,16664,22080
14496,28035,29482,15198,23356
17821,27939,29821,8625,23528
19413,30198,30542,13480,23012
20232,30938,30997,10473,24910
13699,29207,29568,13721,23482
18233,29107,28660,16287,21458
12000,28778,32052,10069,24636
12753,27677,30121,10076,21897
12711,27614,29141,10362,23065
15615,29333,28964,12165,22735
18849,27852,26794,10747,23813
10791,30383,24185,10266,23772
16880,33198,26852,10068,23462
13842,29792,26106,12424,23970
18168,30076,29452,14934,23065
10594,26596,23285,14832,22371
19434,30444,31859,11832,21862
12374,30575,29634,9182,26568
14953,30473,27176,18697,21564
15867,27658,27421,11131,24474
13648,27764,30635,7431,27143
12062,32982,27208,9763,24635
17646,26623,26927,6794,22120
13736,29572,27559,10571,20436
14964,29907,27060,11717,25033
14619,28398,31945,9978,22974
18337,25799,26123,11577,23109
12308,25385,30825,15003,25169
18433,29381,27841,12008,21921
17963,26528,29714,18013,24195
