Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, t
Fairmont,Glenhaven,Quarryville,Creston,Westport
882,942,913,897,475
1570,1202,1148,731,1897
1694,756,1576,1614,1280
1240,993,1124,1569,1175
1528,995,1638,1008,1273
1714,1454,1180,1203,824
996,228,830,1735,1390
1017,1400,1478,209,1462
948,1173,1286,983,1329
1578,1088,795,812,1603
1682,1291,1526,762,1503
1267,2012,1182,1339,503
818,1432,1214,694,1159
1060,1326,1155,841,1687
1046,950,1243,1584,956
1152,289,973,689,1102
1618,924,869,844,1752
1388,122,796,231,1246
1025,1345,919,1002,767
1194,1308,1190,1391,949
1449,876,1873,1765,993
1103,1557,1810,1067,1587
749,942,870,775,1143
1131,469,1427,633,1129
1042,697,1712,1129,1346
912,681,850,1150,758
754,1416,291,523,1075
772,1376,1144,1318,872
1041,748,920,1220,938
1189,850,930,1083,1157
763,804,672,799,1090
978,1734,1555,527,1542
1292,1814,1270,967,1098
774,626,1879,1005,1413
929,1606,1537,922,1327
1000,655,535,545,1901
1177,609,590,1063,1395
1136,1215,479,696,1138
1178,1040,1157,1096,1162
826,692,930,1518,1398
998,927,438,1106,1507
1023,1405,1136,824,1368
863,1282,1199,1126,1454
1045,896,1002,1291,1131
239,1003,1313,288,1134
1239,2186,1663,1164,1886
1102,2251,1603,779,1368
956,597,722,709,1430
1342,997,1063,974,1347
1281,1902,1079,899,820
1473,394,1223,664,1180
940,561,1982,951,1082
126,818,918,690,1751
1805,1107,1047,1066,833
1507,1075,547,972,1132
1352,730,1376,751,1038
430,1010,764,1175,1159
440,1205,771,526,1381
237,1885,869,959,1095
1576,992,1130,1159,1555
938,1865,1291,980,933
1271,1434,841,899,861
869,1838,1403,514,1218
889,1579,565,1343,1146
1112,1143,774,798,764
727,747,1419,1094,945
551,887,642,1434,779
924,858,1274,386,2290
1424,603,1461,672,956
1085,690,1658,1025,971
974,1228,1535,1301,1625
665,785,916,364,1044
1228,1365,804,933,717
1036,952,992,589,1276
1229,1051,1351,1062,1809
1558,166,982,831,1728
1348,280,1914,1279,1212
660,1384,810,1302,1845
767,1371,1564,839,1118
849,945,638,708,848
1515,1166,1392,1152,1419
753,1573,1120,1074,1347
639,881,964,175,1401
1160,1012,1402,1128,2345
1447,699,1546,1185,1095
1278,2022,1631,1525,1280
1263,1246,883,841,1379
1248,1360,182,1112,918
1371,759,1751,763,1480
545,1228,1156,627,1002
1055,1220,549,700,1133
1388,2049,800,875,1132
1492,668,853,1235,1807
313,1450,1058,793,1652
1613,1105,532,1292,1252
995,573,2010,474,556
962,1529,1943,1034,1242
853,489,889,1462,733
526,1382,564,739,947
579,1052,1043,263,1003
964,1261,536,1486,1150
1215,2121,934,1641,1308
843,723,1307,17,1286
1254,967,1104,58,1292
964,1308,1219,1081,1144
1122,766,817,1181,928
1020,1285,363,1389,1192
1658,1663,882,1272,345
1155,1555,1420,1049,1383
1112,621,1476,1476,1091
900,1685,742,1066,582
810,1985,1248,776,1398
