Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, skewed
Echoes,Frozen Time,Final Reckoning,Empty Roads,Plain Sight
537,485,168,235,374
410,371,452,169,416
676,551,825,742,364
151,393,257,524,688
381,662,636,330,487
781,574,524,382,1294
457,894,456,336,360
927,420,872,190,567
595,212,307,402,864
335,295,516,470,471
261,173,378,254,682
276,535,417,244,999
639,203,407,708,252
760,851,174,189,437
334,1228,144,575,482
579,135,350,267,273
681,171,664,375,438
859,392,450,382,749
523,376,324,358,841
364,260,253,647,1035
358,397,296,382,225
609,368,327,1096,564
734,180,286,360,1065
375,230,146,295,476
674,764,1036,461,335
350,524,717,177,577
329,771,420,274,347
765,631,206,455,551
487,351,364,203,307
278,293,425,510,386
764,291,659,397,158
393,399,477,326,405
453,179,299,309,309
1120,242,383,647,1169
506,199,451,345,516
378,254,920,331,542
441,330,386,261,625
324,403,592,334,749
295,567,809,239,214
169,452,539,1087,666
678,730,624,328,627
536,347,742,281,579
475,187,258,329,769
252,393,268,219,122
215,302,987,916,1235
171,1071,292,218,317
573,146,420,449,236
345,352,510,566,382
244,502,850,497,459
411,706,342,524,476
289,376,965,500,295
431,376,303,409,462
396,400,172,276,1458
448,213,321,305,682
356,516,494,473,991
384,825,396,325,1131
454,259,650,447,950
1038,522,194,347,470
502,328,464,632,275
583,174,358,221,884
360,480,675,840,666
405,197,868,311,332
685,246,259,631,623
415,360,319,597,1275
908,598,309,933,309
397,675,501,466,648
233,197,868,342,480
310,738,306,289,324
363,301,225,199,513
374,530,732,885,259
328,262,440,251,802
491,274,749,490,476
840,689,232,295,195
619,216,321,380,284
460,414,394,155,533
651,618,195,417,361
1091,172,357,369,970
472,577,256,830,494
773,351,313,395,540
603,373,462,783,509
317,569,879,289,343
196,578,264,371,925
1114,852,491,408,513
250,314,602,490,725
650,350,194,865,1066
486,168,419,547,250
330,153,488,392,397
218,283,561,568,694
423,491,903,924,145
619,851,535,479,529
165,1029,438,325,500
812,220,390,188,721
489,910,426,646,735
619,259,283,372,316
840,428,539,386,1011
362,349,985,519,653
285,260,292,867,176
264,427,606,332,506
411,355,579,439,439
564,537,463,439,319
511,362,402,496,329
699,438,397,207,584
482,484,176,1025,478
685,152,728,323,1035
1012,575,499,406,311
602,934,808,813,444
808,319,534,1031,591
453,160,1008,285,360
832,251,457,372,401
293,201,253,275,948
454,99,630,339,290
346,424,429,297,752
470,474,794,421,405
345,149,497,446,139
495,876,609,526,467
387,263,437,316,470
349,198,330,300,329
761,439,391,677,408
