Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Furniture,Music,Art,Grocery
210,180,201,608
159,153,102,137
351,219,124,256
537,142,133,458
213,111,282,304
483,274,103,132
155,275,219,204
285,142,143,337
275,357,133,159
177,421,246,123
234,141,150,94
173,525,78,299
594,195,166,152
165,100,121,322
149,401,258,212
173,319,257,248
244,145,179,211
547,268,379,606
209,350,239,262
460,139,262,239
149,310,296,423
271,211,222,303
287,146,118,452
193,307,244,99
275,360,168,354
612,361,419,212
162,170,204,138
217,106,102,336
173,332,181,398
598,186,125,422
294,333,92,336
324,338,250,116
130,174,240,291
155,301,125,267
245,206,100,348
597,228,451,285
150,316,103,240
237,166,193,171
493,195,163,114
465,151,206,285
186,325,406,96
514,241,146,163
402,190,211,117
261,161,224,257
208,279,296,312
423,156,353,551
218,220,338,266
444,91,268,83
149,183,332,82
197,96,122,205
144,581,255,253
143,129,76,103
284,211,316,145
235,167,97,312
213,138,123,225
391,206,158,209
230,273,99,123
199,179,68,127
263,69,344,516
448,146,415,584
352,162,88,199
200,382,377,243
126,253,157,101
122,263,230,410
130,241,202,372
162,217,96,319
168,439,65,104
309,149,397,500
365,112,413,164
342,256,108,116
273,359,132,173
276,177,238,394
281,358,66,328
256,212,106,341
320,158,131,305
137,259,78,154
180,215,170,227
170,169,250,235
426,280,174,451
270,163,143,253
202,227,109,289
125,256,114,140
430,454,216,242
109,261,151,273
124,146,193,422
377,185,214,210
129,106,311,565
257,168,222,165
154,295,204,119
208,140,181,416
128,348,129,209
190,141,271,143
206,225,98,136
266,387,111,237
378,166,220,198
344,175,349,188
359,121,125,246
308,171,286,250
216,126,342,214
153,134,223,174
230,175,381,311
314,318,266,393
219,205,341,363
152,364,203,339
187,243,223,162
432,119,271,282
138,137,265,563
210,342,277,85
347,345,78,223
95,408,136,318
562,444,97,267
377,334,308,245
266,91,201,236
161,129,145,205
169,210,325,251
165,202,452,326
161,442,238,159
258,167,411,270
