Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, skewed
Italian Restaurants,Vegetarian Restaurants
633,1649
606,941
1203,1208
362,904
337,790
548,694
400,522
772,461
533,283
620,603
463,412
950,316
735,1077
668,590
563,566
969,1246
639,437
351,962
441,426
220,485
539,296
431,574
1085,1212
366,859
326,796
855,1343
521,213
240,1327
234,680
569,599
541,772
992,546
271,820
169,320
168,936
122,745
210,498
910,864
689,992
452,972
502,1220
435,617
356,838
856,874
272,1842
832,751
715,651
509,711
549,1595
734,713
303,441
839,555
252,682
622,512
648,408
509,1352
726,1044
132,915
438,508
239,759
364,464
329,833
468,511
528,1062
730,1607
389,512
146,768
784,495
745,347
428,1210
448,376
226,738
610,577
1211,358
241,294
762,1154
642,609
698,621
754,665
254,1154
747,870
129,722
332,1078
339,478
353,762
723,283
870,1216
909,1626
278,1318
459,928
256,652
424,524
234,718
912,1087
833,428
726,987
713,430
455,170
379,753
237,1024
624,382
238,931
739,461
395,1135
495,195
936,1119
476,600
1074,305
456,504
205,790
261,488
284,700
272,372
245,437
278,326
870,368
603,419
477,1550
