Business and Finance,Data on the monthly revenue of different companies,USD,t
PeakPoint,TrueNorth,SkyBound,PrimeVue,DataPulse,EcoCore
1352154,4386558,5879983,1865902,4543485,5285593
3397758,4517488,5537047,6236702,6938383,4841332
4347817,6286893,5466059,7605703,1732969,4150042
5669565,3602219,5226454,6868809,6454143,5213931
5737172,7104565,4804956,6296304,4467885,5041098
6305580,5444912,4918435,3980607,2776400,5823213
5508731,6905688,5658496,2145568,8385471,7868362
4603354,5547453,2998746,5631947,8966869,6408339
9319121,9832923,3747559,5591582,6555746,4711209
7286960,6436263,4862113,6700610,4341343,7293624
5037982,2672733,6153064,2513306,3356990,5177528
3575011,3607383,7019455,6554884,4855086,5251031
2164029,2541800,4845184,6586239,3793633,7322169
3570885,5663050,2145820,4810580,6435971,2453500
6754271,7107448,6334756,4013414,4953548,4051661
4594254,5259163,7479355,3756678,6216242,5275102
4051113,2759006,3999966,5394909,7194842,2416008
6383364,3975897,6423593,5961668,5027349,4583589
5379172,5362204,3729592,6506934,863381,5190399
5696402,4885680,5737700,2621649,6380548,2757290
4206387,3966782,3829765,5192691,5954236,2748350
4418600,2723661,7679048,6455698,5957285,4805286
5319719,5176641,4123489,5826523,4750105,5146730
4901553,2807517,3902288,5334545,5347899,4031074
3644330,675446,4399921,10413670,2866125,7024246
3158624,6083158,2604744,4700468,741330,1420548
5507228,5532436,5387092,5705473,9155320,4790823
5305509,4252314,5372773,5755090,4538274,5297109
7194769,5366148,5119818,5508839,7961579,3983802
4916202,3608058,5583406,8860119,3555542,4472784
2712838,4547949,4962625,6703805,5675938,4702732
5104339,3223540,5980399,5622442,4710390,6049266
3080460,3944620,4537512,5284701,6317439,5545772
7575045,6440166,4741355,7922401,8573445,6053844
5031662,7138803,6775624,4879580,3471187,3992228
6518232,6486823,1011482,5795879,6111984,6017395
5436646,6727441,5787134,5152412,5223789,4299935
7089720,4478640,5041441,5185369,4548658,6617394
5125920,3664619,6160469,3261402,4637294,6181114
8922536,4983457,4876188,3132668,4258102,4987421
2631216,5982995,1876121,4734264,5085274,4880361
4263166,7106410,2761662,2983718,4812577,7080318
5015210,6494788,5119557,2774962,5296612,3641486
4011920,3892949,5354539,3279199,5469789,5852932
4153562,4855676,6757861,4318779,3779765,6061339
4917663,5747082,4412576,6324952,3214383,3932954
6276770,7963140,5303849,5239473,5234537,5433688
3638486,4699352,4696382,6079823,2377459,7515817
1911680,2994048,6123175,4580299,2420864,5087777
5679646,5170823,6082676,7882714,4164026,4547143
4882860,5785982,5580236,3682641,5463000,2166227
6372588,4902643,1200117,6514863,6003097,5186597
3242229,6574299,5058933,5040792,11159471,4656609
4735869,5685379,5108555,4013797,4304783,3770058
6419658,2778670,6576711,7327620,4375659,4974149
7330169,8732060,6287642,5886419,4044996,7031453
2994814,4068816,3871957,5120026,4713895,5444719
2393259,5259813,4313445,2817758,2229529,2807623
3956344,3881747,5322083,3526211,4887641,6951422
4297796,3676737,4311554,4859785,5437059,5002389
10489110,4929346,3973415,3846514,5784931,2474759
5212405,6953579,5116354,3108170,3193722,4937904
5220429,4530939,7289346,4542566,4553785,6124709
3876065,3005256,2587060,5979481,4078274,5522260
4668570,1426181,6168978,4127603,1207620,6312522
1560146,5119946,2668834,2989513,5618173,6322321
3867335,1316093,5545280,2991760,5872332,5404222
5801747,4485532,2803534,3926135,2515606,5008092
2256218,3522119,4735729,5448174,8495286,8007482
4965317,3911342,5431229,5614042,5017467,6564846
8772860,9141107,5345559,4823534,6178240,7079073
6746527,5490501,1950230,6220587,5329269,5643243
7726928,6352165,4316060,12899382,6967822,6616921
14883279,2411545,5379574,5534605,8281838,4664767
4071912,10414510,7030592,7135206,4177979,7185689
4473746,5540484,4572022,3046259,6176251,6095287
3728170,6355608,4386974,4148226,5343982,4243394
5435559,5950881,4696147,2669162,7676992,5730740
229013,4460324,2309998,3443666,6235252,5776729
2660110,4161361,7298784,6950751,5635752,6617488
4637716,4342987,6747681,4923506,5038384,5187157
3867159,4609419,5020174,4518176,5304448,4516655
5889753,2148398,4627562,4996963,4359405,5392149
6532526,4968772,7588966,7220805,5209651,3549667
6851129,4706274,5026755,6767876,4700271,6368730
1714979,5017885,5429521,4214528,5480383,3885798
3850873,5290707,2455220,6223577,2986640,4545029
5916374,5819264,4125081,5422948,5048315,4515695
6084552,3811825,3749056,7434090,3791339,4726728
3461499,9022296,7785483,5074013,3828807,7347169
4389890,3383490,7664690,2822859,5251357,4456177
4464433,7668089,6153232,3319171,3956129,6013139
3784335,9649240,5759135,8597216,6430863,3660555
5912701,2136027,5224819,4587261,3999177,4529847
4769149,4444113,2778415,5438740,5243603,4039164
5445539,4500454,4598238,3419611,6625311,1260646
5498509,4742279,5174424,4806562,5916559,5176753
4368819,5699568,4857230,2976128,5016153,5644513
6330778,4283207,6987580,5793819,5950506,4939677
10813781,4668474,8487798,9369724,5864404,4691660
5170180,5072734,4741403,3490857,3324988,4057894
8053416,3955656,4208752,4982168,7087409,8400749
5953191,2201982,5880860,5805166,4922454,4247313
6902488,6128399,3497826,6109787,6943329,4647933
5046064,5838395,5395728,4976699,5072836,7020384
6817788,6727481,3073209,5268386,6440394,7184144
4896929,2660300,6614135,6672971,5444470,4629643
6288355,4306045,5835638,5508035,5008830,6912786
2474680,4761445,3242041,4266522,5244672,5979227
5721281,6504147,4884203,4664298,7780357,6270647
7631813,2709637,3904009,5005578,5814979,4010871
4726030,6462530,5433108,5683017,4029815,6510685
1432377,1234552,4430620,2441794,6404256,3544910
5164888,2243111,6667847,5193898,2726929,5483762
2890440,5258636,8135948,5129797,5715605,5812968
1320720,1521485,7932748,4021623,3869649,7698107
6362922,5364487,4532864,4444588,4710576,4382279
7061030,8166575,2870315,1921773,4997750,4815377
