Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Brookfield,Highvale,Glenhaven,Oakridge,Ironwood,Westport,Lakeview
5450,3989,3741,3753,5136,2896,3487
5165,3696,3577,3927,5486,3082,3443
5071,3425,3626,3713,5640,2958,3036
5487,3940,3699,3502,5679,2909,2806
5254,3393,3193,3933,5579,2694,2867
5352,3618,3541,3994,5545,2968,3170
5823,3378,3747,3797,5481,2715,3016
5426,3843,3274,3978,5831,2773,3107
5633,3503,3407,3613,5484,2901,3594
5380,4065,3649,3713,5629,2704,3154
5337,3610,3500,3756,5175,2963,3059
5182,3564,3567,3845,5596,2892,3432
5321,4115,3792,4107,5566,2674,3025
5424,3352,3694,4138,5384,2860,3348
5485,3640,3368,3856,5682,2419,3260
4682,3641,3836,3827,5428,2793,3349
5162,3968,3668,3880,5440,2919,3574
5328,4024,4217,3735,4895,2718,2604
5165,3852,3738,4047,5540,3011,2646
4928,3640,3649,4027,5448,2816,2816
5421,3997,3654,4243,5626,2833,3314
4914,3573,3546,3903,5631,2939,3285
5058,3551,3889,4054,5662,2728,3207
5101,3758,3368,4029,5686,2826,2922
5291,3386,3840,3856,5361,2344,3245
5414,4048,3446,3722,5429,2983,3662
5866,3857,3320,4068,5601,2902,3551
5060,3719,3530,3940,5562,2689,3098
5166,3879,3719,3660,5450,2576,3155
5234,3839,3437,3831,5125,2962,3621
4949,4090,3972,4006,5557,2764,3168
5002,3534,3646,3486,5898,2659,1765
5322,3496,4066,3337,5614,2725,3301
5272,3641,3545,3921,5473,2520,2934
5633,3964,2976,3785,5632,2788,3785
5466,3725,3683,3783,5633,2737,3365
5546,3589,3462,3869,5732,2759,3354
4780,3921,4020,3795,5779,2761,3440
5256,3651,3309,3736,5500,2834,3618
5349,3438,3321,3999,5863,2792,2745
5544,3913,4006,3498,5565,2626,2759
5393,3897,3291,3346,5363,2886,3229
5063,3943,3801,3796,5980,3097,3830
5340,3869,3676,3887,5647,2796,2970
5341,3729,3604,3764,5638,2835,3678
5492,3995,3404,4039,5640,2612,3123
5504,3680,3110,3813,5493,2767,3040
5227,3846,3389,3567,5580,2603,2602
5392,3694,3235,4004,5491,3028,3430
5242,3446,3540,4205,5237,2897,3397
5179,3928,3568,3790,5405,2843,3058
5509,3306,3140,3746,5816,2551,2666
5279,3759,3706,3764,5596,2701,2524
5258,3573,4250,3943,5644,2836,3243
5199,3993,2831,4119,5793,2809,3148
5036,4211,3844,3713,5479,2681,3135
5302,3956,3239,3628,5655,2972,3233
5437,3793,3594,3872,5399,2754,3412
5346,3747,4059,3628,6026,2654,2212
4997,3718,3630,3883,5396,2508,3393
5605,3572,3949,4244,5808,2692,2945
4889,3543,3837,3858,5552,2961,3288
5327,4008,3478,4160,5256,2784,3319
5600,3862,3556,4113,5848,2779,3434
5532,3694,3351,3764,5724,2997,3090
4495,3778,3492,3949,5742,2722,2981
5662,3761,3498,3864,5539,2705,3188
5162,3919,3551,3785,5657,3032,3058
4968,3624,3417,3765,5772,2991,3380
4734,3952,4117,4061,5653,2888,3772
5206,3579,3477,3722,6030,2881,3254
5215,3964,3610,3645,5567,2723,3220
5105,3453,3292,3902,5669,2780,3028
4916,3817,3297,3894,5148,2945,3465
5224,3663,3663,4198,5487,2846,3013
4764,3811,3592,3893,5816,3019,3312
5209,3934,3513,3756,5631,2951,3255
4849,3699,3414,3829,5153,2858,2884
5040,3608,2823,3837,5584,2786,3114
5176,3964,3617,3916,5792,2783,2937
5409,3501,3804,3799,5378,2901,3227
5357,3389,3327,3712,5439,2809,3066
5189,3898,3695,3863,5434,2713,3215
5355,3958,3345,3916,5481,2834,3311
5216,3865,3733,4001,5685,2715,3230
5347,3471,3097,3853,5314,2844,2799
5269,3743,3804,3992,6006,3031,2892
5526,3600,3393,3904,5796,2778,3276
4793,3418,3709,3774,5571,2762,3194
4690,3725,3105,3825,5296,3014,3137
5322,3542,3650,3727,4799,2795,3500
5017,3859,3336,3935,5825,2964,3182
5302,3933,3801,3602,6020,2770,2981
4730,3964,3648,4012,5669,2915,3403
5263,3974,4045,3959,5687,2834,3208
5166,3864,3481,3723,5434,3106,2716
5245,3953,3503,3921,5274,2957,3741
5366,3747,3236,3763,5425,2801,3110
4971,3438,3287,3952,5568,2705,3620
3757,3409,3948,3878,5200,2792,3598
5400,3830,3457,3887,5542,2846,3555
5580,3594,3741,4123,5632,2748,2346
4956,3744,3565,3869,5765,2814,2681
5247,4042,3461,4010,5403,2813,3471
5320,3831,3181,3766,5841,2770,3625
5350,3495,3494,3936,5465,2526,3437
5373,3775,3718,3638,5485,2672,3476
4947,3586,3939,3752,5546,2791,3076
4830,3771,3461,3832,5471,2693,3302
5261,3556,3663,3546,5614,2794,3219
5156,3966,3229,4234,5723,2732,2790
5420,3608,3259,3795,5462,2831,2980
5471,3769,3529,3660,5476,2895,3090
5395,3349,3706,3790,5964,2605,3114
5206,3952,3474,4137,5505,2837,3123
5415,3946,3778,3657,5143,2917,3500
5613,3675,3246,3889,5775,2833,3422
5236,3947,3521,3949,5382,2855,3266
