Science and Engineering, Research and Development Investment by Country, million USD, t
Fairmont,Ironwood,Rosewood,Yorkton,Pinehaven,Lakeview,Mapleton
470,499,611,403,478,345,623
555,664,509,451,582,404,222
486,520,687,516,254,705,654
570,549,701,589,97,433,545
505,533,359,637,228,546,479
337,410,479,475,456,586,356
431,337,753,496,517,408,537
866,514,657,598,505,579,706
622,545,714,498,383,599,686
575,750,665,471,431,812,622
451,501,533,624,453,590,489
267,517,659,592,562,635,742
731,415,653,690,574,328,561
683,460,630,587,538,440,378
460,643,735,672,426,636,784
678,556,797,652,464,488,668
563,511,655,229,448,656,606
582,372,622,533,404,610,472
503,430,563,510,267,294,334
521,436,649,447,450,430,721
477,529,588,332,540,541,431
610,382,524,505,655,311,293
496,532,519,526,349,676,562
254,528,571,201,274,375,602
531,488,637,645,524,728,510
528,348,589,347,250,433,415
376,480,682,272,460,646,483
402,383,532,363,300,333,563
694,499,542,637,446,502,661
428,428,592,547,429,522,674
514,538,573,571,537,474,490
554,709,435,517,457,534,831
523,535,627,366,548,733,225
496,567,526,593,385,297,513
591,480,464,693,664,630,553
539,591,765,597,483,404,836
534,564,776,472,515,392,472
496,470,595,438,490,564,559
475,411,793,541,420,644,570
544,426,562,440,719,547,537
397,460,650,577,502,522,699
656,604,544,392,576,712,409
409,566,535,457,706,441,554
564,422,693,455,424,548,574
590,543,745,488,431,738,536
592,482,754,517,436,597,644
496,488,639,529,646,548,339
659,498,549,346,529,512,601
652,526,704,445,426,635,412
539,465,585,542,536,373,540
556,678,701,498,520,432,522
543,546,521,347,464,615,647
583,503,705,605,530,604,433
471,416,638,464,529,707,638
445,523,661,560,530,595,455
647,383,641,581,711,528,282
782,624,577,513,537,403,364
615,513,538,510,310,653,510
517,294,704,648,566,599,630
510,586,642,539,675,755,452
501,363,634,669,676,558,406
527,554,669,470,558,678,617
686,572,599,462,427,659,645
501,703,574,630,732,632,485
504,319,634,485,474,604,573
531,436,763,505,511,379,507
657,521,500,574,269,518,585
623,458,588,693,636,694,560
685,422,222,486,166,647,266
586,758,580,499,593,475,274
614,584,818,498,435,577,490
517,476,616,381,366,485,371
561,493,641,488,591,665,578
640,533,471,388,431,330,580
530,533,457,576,533,262,464
626,449,609,608,659,428,619
460,601,604,622,456,745,629
742,550,545,383,643,535,555
607,603,110,531,756,236,645
485,607,719,548,564,471,639
546,540,358,294,546,680,613
468,618,584,677,490,452,617
604,564,792,479,227,597,351
529,473,522,564,222,662,722
645,486,653,478,361,732,695
542,489,511,556,250,606,384
515,740,490,517,736,488,709
553,571,327,546,846,638,515
553,542,690,708,306,308,858
528,604,653,527,420,621,307
270,472,563,301,511,781,447
523,396,631,438,370,572,774
357,570,714,411,527,494,497
559,471,587,705,278,711,491
464,443,667,527,478,589,638
577,487,724,354,354,581,441
530,489,665,612,598,464,458
588,503,366,301,572,414,447
458,494,440,485,443,463,455
517,535,787,563,420,608,492
499,429,682,565,424,495,570
491,528,522,411,462,483,410
475,644,684,435,478,671,314
443,567,529,464,467,635,540
526,573,486,575,582,498,439
499,432,531,573,245,581,545
591,575,468,292,553,565,621
277,512,557,566,182,572,605
426,485,597,544,384,485,426
457,622,484,592,495,467,575
581,632,585,422,523,561,367
677,584,494,499,353,613,617
506,440,726,259,512,591,345
667,684,644,498,675,544,665
432,383,744,390,685,428,542
509,757,632,313,559,673,491
562,474,562,600,495,421,654
