Education and Academics, Data on employment rates in different schools, %, skewed
Riverdale High,Pinecrest Institute,Maplewood School,Northgate School,Eastwood Prep,Glenhaven Academy,Springfield School
74.37,88.89,84.93,82.11,86.62,82.84,81.23
80.57,89.05,90.51,80.79,87.95,87.16,77.51
82.19,84.15,78.27,105.66,86.59,92.5,77.14
77.6,81.43,80.41,85.42,82.4,82.47,85.95
76.86,74.32,79.55,88.95,83.2,92.77,77.89
85.85,111.07,87.86,80.28,81.47,92.58,95.66
79.03,85.97,74.91,94.02,93.93,99.76,85.62
74.15,81.6,80.65,88.0,107.3,86.61,79.0
82.85,75.93,98.12,92.06,82.64,97.6,78.87
75.62,74.63,81.0,83.88,82.17,78.44,87.55
95.1,73.47,78.19,87.72,77.02,77.5,99.03
83.5,83.73,90.46,88.51,84.13,86.18,75.83
83.99,99.62,76.01,84.09,100.25,124.07,75.4
88.64,85.55,93.39,85.67,82.1,87.56,77.43
80.2,87.68,81.29,78.24,76.96,83.21,95.45
78.08,85.0,88.77,77.74,85.11,74.65,87.05
72.55,83.97,75.96,90.87,85.06,89.38,85.22
75.95,75.7,81.25,94.1,91.44,78.53,76.68
82.22,76.27,84.33,89.41,85.63,76.32,81.48
77.33,80.75,85.72,132.5,105.14,78.98,79.98
84.77,89.47,92.92,85.22,83.81,87.15,89.29
77.56,83.35,84.62,86.4,78.48,78.25,85.3
73.51,94.19,75.81,76.89,80.53,79.87,78.76
80.29,92.39,98.22,79.81,88.58,84.55,77.21
102.49,77.22,78.6,111.52,88.95,84.7,78.88
81.75,84.16,77.27,88.36,91.51,81.11,93.28
76.29,75.22,81.57,96.72,83.34,81.52,79.06
72.85,86.4,77.91,81.61,84.41,82.89,85.56
82.4,85.25,84.56,93.07,84.3,87.52,80.17
91.44,83.71,85.32,78.36,86.91,92.42,77.2
72.87,82.91,78.46,79.81,79.47,90.75,87.6
99.06,80.69,89.33,93.55,82.0,80.7,87.43
75.2,83.15,76.76,80.97,92.5,102.34,78.19
73.19,83.24,76.93,80.82,80.24,76.54,79.34
84.55,76.24,76.02,86.57,109.6,84.16,84.77
76.23,77.8,76.89,82.68,78.68,83.7,106.51
78.08,82.04,80.11,91.11,97.33,82.68,77.85
88.51,83.96,87.23,85.56,82.0,97.42,78.29
93.1,85.95,80.49,85.55,102.41,87.24,90.05
73.85,84.27,94.02,78.44,90.75,78.42,79.22
78.03,96.72,81.63,96.35,76.81,80.68,81.88
73.73,85.11,85.79,95.4,82.2,98.65,104.24
75.71,76.17,90.21,83.56,84.22,91.01,75.53
80.83,72.65,77.98,92.22,83.28,77.77,83.08
84.47,75.86,99.98,102.96,82.35,81.59,89.74
89.83,80.59,80.96,119.04,74.37,75.77,93.23
94.42,92.09,84.23,87.66,93.23,84.74,84.23
77.7,90.09,79.32,101.28,89.45,81.52,73.1
81.73,79.42,81.44,85.97,78.66,91.78,83.79
84.75,95.53,81.71,92.99,78.41,82.96,73.4
90.54,77.98,80.33,83.26,89.09,80.95,89.83
77.84,79.89,76.87,96.18,101.09,83.52,93.81
78.33,85.31,78.07,93.59,79.34,80.47,86.55
82.23,83.48,82.44,83.81,90.06,88.45,90.71
79.08,79.52,85.09,95.29,80.43,82.5,84.87
78.53,87.29,89.87,86.43,77.19,93.25,80.21
112.51,78.13,84.05,81.06,104.43,80.89,85.1
87.37,80.02,81.65,92.93,91.67,81.69,80.74
82.22,89.38,78.94,84.95,77.38,76.65,111.27
89.94,80.97,75.49,103.65,81.21,78.13,82.06
91.04,85.29,81.23,100.03,99.47,83.64,81.06
87.4,72.15,77.62,82.69,87.95,84.85,80.74
81.02,81.69,86.72,80.18,101.69,82.98,79.75
74.2,83.43,78.01,82.84,84.65,84.05,77.16
87.29,92.61,79.16,83.35,75.83,81.26,85.79
86.13,77.06,106.36,87.75,119.4,81.6,80.11
81.77,89.3,85.88,86.24,81.92,91.39,87.49
90.68,83.56,76.7,82.89,92.69,76.69,87.14
79.58,75.41,83.56,85.46,84.67,80.43,75.4
90.7,88.61,81.56,98.66,85.49,77.79,94.33
74.03,85.54,100.61,98.29,98.76,79.51,78.05
77.56,83.17,74.75,82.93,91.25,77.92,79.2
89.21,95.23,83.02,80.63,108.74,91.42,79.49
81.89,80.89,78.69,102.7,87.8,86.27,81.01
86.78,89.04,85.07,80.96,81.2,89.6,95.81
96.01,76.69,81.42,92.42,83.5,93.17,89.21
80.94,90.67,77.02,76.29,84.62,76.7,86.9
90.0,78.04,89.25,108.83,84.34,77.45,84.04
93.48,88.25,90.39,90.09,80.27,96.92,81.39
91.08,76.22,90.78,83.62,89.18,83.71,79.75
80.34,77.95,91.18,84.77,94.55,82.5,81.4
74.3,81.82,93.85,80.61,78.26,89.25,77.41
104.28,81.48,74.76,110.7,98.46,92.35,87.98
85.7,77.84,82.32,85.17,85.48,90.36,81.57
76.49,83.08,88.56,92.48,81.14,78.11,88.95
77.91,73.47,77.0,88.65,78.77,84.98,95.03
87.37,74.48,90.02,77.16,78.27,79.74,74.89
73.81,88.04,90.11,78.59,83.03,87.05,76.93
85.48,88.35,82.23,80.72,76.51,106.11,87.28
79.03,90.08,83.31,82.16,87.1,90.97,82.64
83.19,82.29,90.63,91.32,78.24,84.49,78.97
76.36,93.26,96.09,80.41,75.41,92.69,79.34
79.37,79.85,79.65,90.27,81.18,89.8,73.29
95.34,80.91,87.59,78.95,81.7,89.39,91.43
84.38,82.39,87.43,84.22,87.6,85.59,73.67
87.52,89.67,85.31,80.2,88.84,93.63,75.85
87.23,78.35,83.42,100.42,93.92,88.94,79.17
98.2,82.24,76.16,86.13,78.2,92.36,78.82
92.69,80.65,92.41,104.53,77.03,76.05,75.73
78.3,80.38,89.1,102.87,85.78,80.06,89.74
76.61,81.71,81.29,94.05,75.21,83.5,82.18
96.89,83.91,86.58,94.59,80.36,76.71,85.01
84.14,99.96,79.59,85.95,85.05,80.9,75.77
94.94,88.22,86.48,92.15,84.66,83.92,78.1
81.67,83.78,77.44,93.2,89.78,86.03,103.69
74.12,84.82,75.54,85.77,90.15,75.56,78.79
79.62,78.4,80.02,87.42,83.27,97.49,94.71
78.06,88.99,83.92,98.05,83.73,79.63,99.37
87.34,85.35,83.1,96.03,87.1,89.75,101.21
76.71,81.21,80.26,100.38,89.68,85.44,79.47
73.18,85.76,86.73,87.56,84.17,83.47,92.16
85.02,73.84,87.1,92.83,85.15,85.29,78.53
81.86,82.56,85.73,94.09,84.86,99.1,83.13
96.74,80.2,83.1,83.1,83.09,75.58,74.23
