Energy and Utilities, Data on daily energy consumption accross cities, MWh, skewed
Mapleton,Dunvale,Brookfield,Oakridge,Springfield,Creston,Elmhurst
3013,2279,1880,629,2593,2641,2415
1790,2972,1029,1103,3361,2326,3475
3097,1482,1054,1106,3595,2773,3905
1921,1924,2693,988,2400,1839,3660
2111,1888,1213,1109,2738,2336,2549
2381,1298,1636,687,2529,1874,2365
2542,1875,940,671,2290,3315,2882
2760,1211,1159,583,2050,2771,3435
3401,2007,2347,1061,1961,2270,3968
2192,1753,1953,653,2626,3088,4922
1835,1825,847,664,3150,2659,2710
3514,2656,936,965,2311,2294,2322
2339,1182,724,1058,3389,3270,2198
2108,2459,1299,689,4098,2169,4271
2061,1855,712,721,2023,2828,3773
1906,1083,674,897,3384,2679,2926
1795,1681,2451,872,3893,2700,3261
2784,1015,2094,541,3492,1944,2248
1651,1820,939,837,2750,1781,3961
2198,1831,1923,757,2687,2031,2004
1822,1419,2791,962,3083,3926,2609
3071,2021,2397,1061,3981,3360,2940
2235,1184,1966,1241,2607,3190,2204
2780,2169,1789,792,2877,2488,4143
1626,1290,2010,624,2092,2235,2257
2438,2194,1590,559,3649,2705,4517
2361,1536,1087,577,2176,2563,5878
1715,1373,735,839,2434,2438,3468
2033,1898,1616,831,2167,1787,2303
1656,1573,1548,723,1962,1886,4534
3140,1250,821,545,3051,3744,2878
3709,1740,1661,551,2421,3496,4442
1915,1684,2759,1025,2048,1848,4693
3623,1779,1308,821,2062,3113,4254
2909,1673,2105,685,3551,2209,2003
2016,1917,1165,733,2996,2555,2774
1930,1732,2942,900,3815,2860,2237
2843,2655,758,724,2198,2325,2130
1672,2064,1477,622,2272,2376,2713
2083,1345,1363,649,2150,3426,6359
2497,1347,1574,520,2448,2750,4339
2216,2877,669,971,3128,2328,2919
1786,1314,887,1263,2248,2565,4462
2184,2556,1087,723,2409,1712,6538
2297,1560,2767,628,3771,2445,2723
1785,2285,1337,1081,2213,3359,2615
3994,2214,688,704,3519,2615,3372
2772,2241,2685,933,2101,1758,2222
1920,2011,1375,799,2949,2349,3243
2524,1378,2888,564,3263,1993,2253
2609,1606,921,742,2688,2354,2770
1544,1771,1160,921,2715,2820,5346
1544,1923,581,758,3142,3420,3932
1717,1915,844,1078,2081,2849,3573
2292,1732,1338,650,2256,2491,3337
1941,1744,958,801,2246,2120,2047
4050,2338,840,933,2572,2411,3600
3170,2788,829,623,2202,1621,5012
1875,1543,957,771,3114,2900,2067
2017,1708,2186,767,1854,2183,4381
1813,2094,2978,1115,3062,3898,2290
3331,1836,1148,949,2732,2354,2838
3085,1733,2238,648,2367,3013,7085
2214,3096,1723,568,3103,2133,2616
2634,1486,2162,889,2307,3581,3284
1656,1958,1448,1310,2560,1783,5116
3199,1618,1992,576,1941,1727,4072
1927,2599,1616,1271,2958,1754,2244
4078,1223,873,997,2458,2193,3863
2443,2352,1026,516,2187,2143,3884
2144,1471,743,753,3820,1910,2881
2302,1419,1943,711,2660,2006,2547
2610,1363,2195,577,2569,1692,2344
3630,1295,1200,723,2757,2345,2020
3377,1335,1705,758,2127,3109,3052
2028,1626,1127,658,2882,2751,2332
1623,1648,1318,588,2294,4258,2876
1832,1024,988,942,2600,3505,2483
2242,1440,2564,1034,3272,2492,4132
2004,1606,3110,1338,2740,2002,4687
2368,1341,1229,669,2034,2200,4205
3089,1986,2201,623,2273,3610,3703
2308,2630,3829,602,2680,2139,3274
2384,1113,1027,791,2618,3115,2849
2218,1326,1611,565,2616,2462,3977
1679,1520,2042,636,2265,2468,2148
3212,1823,1878,585,2429,1757,4108
1878,1526,1381,551,2370,3558,2594
2943,1202,2317,631,2431,2011,3000
4161,1526,1554,538,2956,3894,3986
1583,2524,3398,936,2083,2024,1930
2657,1911,606,1063,2482,2077,2181
2289,1202,1157,755,3146,2110,5133
1957,2061,3077,591,2356,3181,1858
1817,1717,2068,701,3521,3114,2061
1807,1399,2972,660,2329,1626,2309
1781,2655,2002,822,3095,4106,4092
1981,2650,2547,832,2307,1902,3815
2504,2400,2781,1090,2559,3222,3171
1841,2440,1128,634,2355,2584,3378
1846,1102,1041,675,2195,1815,6462
2185,1740,563,844,2187,2929,2427
2102,2072,774,1314,2678,1898,2887
1821,1933,927,682,2877,2635,3810
2400,1322,2910,1063,2503,2121,3360
2306,1390,2298,920,2107,2402,2618
3414,1672,1971,603,2638,3909,2525
2228,2144,2659,1040,2428,4238,3178
2277,2594,733,716,2394,2410,4253
2719,2402,797,1305,3101,2528,3055
1748,2022,2182,881,2399,3121,3122
2949,1744,796,654,2860,3753,3263
2338,1425,526,868,2709,3046,3932
1868,2271,1767,545,2807,2416,3484
1575,1400,597,641,2971,2028,2877
2626,1605,2590,656,2320,1854,3778
2153,1218,723,620,2606,2060,3278
2428,1127,884,595,2094,2844,3572
