Business and Finance,Data on the monthly revenue of different companies,USD,normal
DataPulse,SkyBound,SmartHub,BrightWave
6568192,3225042,8342971,6881587
5786662,3591487,6581911,5642908
5421621,4760077,4244401,4633990
5361764,5534088,2458995,6906516
7518772,1329781,6039243,4051072
5693909,6634524,1718098,6565691
4409813,2557695,4868052,3918249
3909647,7603648,5914611,4256074
6473591,4371571,5780296,5985253
4593063,4010618,5814514,6213976
4248540,6133864,6045829,4379998
2495360,7310830,4897262,6108401
4823583,5191638,4527040,7061405
8253159,2927120,5115218,3863570
4091411,6417079,2888659,4761713
6683498,5295364,3748929,4829718
3857558,5425205,3162360,3049432
4760168,5213513,4745145,3334396
4744166,4412244,6087561,4336465
5197365,4052311,3053359,4042335
4147862,5827653,1094683,4613111
3862713,5006561,4922437,5795755
4784084,6256472,4332406,5610684
6199165,2630322,2625300,6334138
8580608,5979955,5532728,6509751
3978288,4342559,6344667,6963753
5641999,4762721,4603668,6299183
5172962,3937625,4902823,4104456
580971,4668723,2682819,4821694
6311969,4911977,3051824,6261563
3787091,5396447,3709090,5445841
3102076,5327738,5082712,5681388
3789297,4563856,7225310,4284520
3028733,3391470,4900277,5826035
4004192,6936962,4415648,4817125
2826376,7423657,1912985,7722594
6517299,3264960,2748199,6236385
3092450,3939363,6746511,6620764
3162934,6941738,1880339,6107953
4658796,3849034,4449176,2385396
1357225,9637028,6389217,4839246
4504865,5443407,6019012,4243666
4452383,6458773,4960006,3015157
5638624,8053690,6062274,5409241
5696803,6980282,6398928,4508783
4343696,4554828,4010159,8599512
5556571,3048933,5001692,4608737
6962689,4550507,7380148,3683506
7297575,6648830,998612,5865232
2511124,3250625,5808898,7801546
5704722,8883768,3793151,620478
3537464,2895337,5939395,6478108
3556493,5463321,3366952,4278800
7453216,4857024,6291597,2896914
4024416,3217589,6261947,5660971
5782879,6727698,3074331,6610040
8355385,2735402,5250450,5444371
2714154,4188415,7170833,5592234
6872005,3373933,5471343,5775169
7969443,5104728,5878436,5785342
3250847,3056106,4193711,6042656
4672030,7267729,5581162,4045261
6606640,3055705,6495263,3505821
3095739,2658612,3070536,3319392
5420865,4122630,4217891,5926126
5357965,5340213,5794257,5350647
6991406,5515936,4783395,5091620
5293017,7888153,4462034,4450650
5553453,4961915,5976414,5705602
6226418,6791639,4388183,4177153
5515967,6869669,7808035,6145193
4094615,6687640,6848709,5463596
4930134,5332243,6559988,3866586
3312424,6726438,5819746,4912842
3663077,5553010,4804471,4889597
3593664,7001361,5408469,4188044
6444965,6469416,3541709,2720538
7147856,8598725,2057913,4010133
5100035,3997240,3217910,6273134
3895096,5337090,4715128,4300592
4715908,5459057,6469908,5601850
7412660,4239540,4840066,6872739
5134768,5113382,4925887,1876505
5944443,6709411,4719163,3263870
5309202,5719389,5161921,4062565
4987379,6288788,4700162,4696002
5443228,5145866,7218942,3358458
4936622,4159381,4007329,3459562
5019860,6734484,6262577,4272416
2823412,4198550,5936440,3805158
3955320,6532968,4250822,6229666
6648716,2735874,7287975,3302699
3286659,2484250,4866483,5358734
2609579,5705887,5214851,5971333
5228472,4659492,3499986,7716425
6441052,4393668,2894761,4643567
3467033,5751558,8154815,4721866
4891722,3748305,4109766,4672818
4686725,3115370,4441114,7211205
7146704,3237671,4251820,5914525
3024843,6746971,3298003,4392678
7222441,5900969,5125092,4284036
3737027,7225321,4045597,6008133
5337710,6256255,5203735,6495783
5834501,4485175,4238108,6837970
5404135,5100371,4528134,6972609
4677321,4625074,4790124,2770227
919836,3045371,4634969,2653387
8470653,1138337,3120031,5733833
6861816,3460175,4814609,670869
3459575,4832887,5345986,5379398
6677368,9363616,5369248,5349089
6622143,4416324,5642674,6264706
4139124,4451578,3264561,5512038
5295588,3795739,2768564,4965373
4444184,3992829,6012239,4382092
4674242,5529261,7560936,3312590
5594328,2219663,3457348,4615032
4482614,6644160,4617130,3188741
6069658,5194078,4238886,5804918
