Social Media and Digital Media and Streaming, Number of daily viewers on different video platforms, viewers, skewed
FlowVid,Castio,Reelix,Streamo,Zoomo
11007,27370,15817,13344,16179
12274,28728,15159,25608,12441
12702,28607,17612,12681,12087
11015,20835,14247,23064,11297
11742,21893,16475,15790,10682
15450,19376,21763,19871,18170
11690,25022,15155,14660,10864
15947,27055,18249,21666,12015
11542,17859,13936,24525,12571
12955,20425,13946,21142,10939
14529,25795,17579,13824,15156
12839,18837,14024,11527,12512
11214,29623,19269,13861,11253
12742,17900,13703,13875,14353
14863,21122,24284,23081,10858
16745,26135,17600,15820,11206
10734,20037,24271,14046,18726
11933,23953,14204,11893,11233
10743,18375,20355,11465,12695
12577,24115,18299,15241,10387
12402,19763,15771,14924,12375
13304,24231,17144,11122,10689
13603,18382,22038,17374,16618
10637,21042,17523,20122,13424
13037,28192,13943,20758,13648
13986,19356,14271,14040,11728
11374,20274,15984,15774,16067
13418,28855,13070,16198,12228
14373,23601,15259,20838,16614
14490,25645,26714,19055,10494
13529,19567,15878,17248,10401
12290,19402,20119,14500,14820
10717,28403,14302,17442,10140
13855,20606,24847,24034,11398
11928,21534,16507,20699,11233
13396,19352,24928,19515,9844
12418,24678,29789,15528,15163
11323,19023,23495,20026,10386
13682,19915,14918,15353,11126
11140,21210,16679,17280,12872
15536,18808,13341,19258,12416
10973,21119,13108,16151,11525
11855,23346,26552,12246,15857
15314,24788,15478,16792,13005
12102,18830,23531,18703,15714
11501,26660,14090,19937,12569
12612,18831,16710,9509,12301
11753,20824,15827,14834,15636
12207,19398,16022,23434,13952
13341,18831,22500,10532,14173
12794,18554,15813,22404,11523
13902,17939,27508,18786,10777
11948,29141,15984,15753,11577
13335,18287,16647,29244,12028
15606,19713,14372,27738,10517
14182,27396,25764,11924,15422
12800,20471,12476,11545,15007
13536,21508,20519,10021,14510
13218,25106,18664,18535,13510
14282,22259,21541,8973,11253
11141,19667,17577,22674,14827
10966,19099,16541,13751,16064
11702,22987,18044,27944,12749
11171,21084,16907,10570,9878
11833,19994,20706,16295,11693
15903,22306,17964,23739,12847
12270,17649,15702,27034,14143
11368,27912,22711,22889,10935
12874,18393,20173,9240,17739
12573,19844,12550,16802,10865
12274,18172,12854,13587,14151
15269,20174,23948,25201,11533
12652,18955,15851,20453,11596
10880,20455,12351,8793,15337
11497,22508,17264,9425,13953
13522,27709,26754,19245,16243
10683,18487,19023,16742,10804
14034,20941,13185,16824,11453
10918,21580,12749,17778,13355
11203,22922,17251,13737,11411
11922,22902,14268,9397,10636
13727,19381,13712,27644,12013
12198,17818,13796,21567,12086
11979,23309,17110,22810,10621
11557,25753,14401,18293,16778
11589,20572,20590,20361,14443
15333,20571,16177,25540,9852
12342,22824,16743,19143,18183
13250,17965,25082,25994,11878
11854,19662,25820,20094,12768
13423,19988,14574,13879,14286
13455,20660,18208,17749,12766
11499,24816,18370,16700,12308
13452,23731,29534,22920,12328
12183,26315,14363,12405,12261
14197,28232,16964,17094,16047
13812,23923,14445,17577,10941
12242,19713,14273,13679,11938
10987,19944,20434,14382,12057
12746,22240,18982,10712,14983
13804,19134,19282,22907,10675
13823,26998,15929,26197,11818
15787,20697,16487,13133,12303
17950,20726,28486,12789,10894
10852,26613,17233,14257,11908
11808,20524,24646,15158,11368
11210,28529,16456,13043,10730
17771,17849,19968,20953,10937
13800,26759,19826,17707,11874
10868,20345,17539,16167,14722
11490,21458,14566,13139,10469
11252,20148,18318,18506,11867
10940,21032,17662,25670,18852
13699,23483,21430,15470,9444
16158,17529,17218,17037,13099
13021,23805,15988,10770,11247
12781,20997,13960,15117,17167
11973,21090,18679,10375,10741
