Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Northgate,Elmhurst,Creston,Rosewood,Brookfield,Highvale
47071,68317,39120,60296,40362,54310
54791,53359,67948,54962,54508,30408
52980,81900,67748,40478,46485,58999
53382,60868,90212,46005,65914,65079
32173,48537,49159,57779,58359,54315
44309,52787,47370,49707,51142,64959
39973,55700,47422,59731,52694,61290
47110,48245,64667,52770,61085,52698
57198,51297,53622,35769,50370,64767
65009,44467,45438,53730,48353,62679
59091,62596,49190,42970,47075,57458
68413,34430,65817,26324,66749,58148
35884,58865,51490,50964,45585,68311
64398,63507,54819,70006,60345,53780
44079,43949,13941,46616,42961,54396
55274,47513,64914,65293,55467,62008
57205,39695,53770,57027,61687,62169
54304,48555,54334,40975,39032,55560
55401,38458,40636,51833,51509,74605
51320,51984,41085,62024,62125,45597
52296,54032,39463,44589,50849,31422
44884,73163,47563,49403,65052,50446
54155,57336,21005,75972,58559,58208
51621,60688,63172,54286,38261,38841
50124,56296,60926,43907,58203,56772
36805,43882,61627,62547,49840,62965
53875,45821,45715,51581,55632,61566
60251,48146,26916,54212,54719,51728
53852,51919,59989,49344,51858,70172
54055,50449,54982,57960,39868,46427
46848,47325,24566,35509,54331,47424
48697,49377,71782,63905,53869,53479
47567,39249,41601,59272,56683,43174
68235,55827,38542,51165,55812,54459
49272,51889,42722,50905,42362,45879
56322,46888,46982,50296,49091,59315
47016,44251,54649,58277,52189,50789
54129,62946,41539,48649,39990,64905
49645,59563,73765,37467,56908,64500
72275,51301,45901,49446,57071,69945
44564,51325,44402,59987,56564,51996
72438,46437,54385,44891,61272,48000
81673,36243,42256,43847,50344,49854
52309,35510,44072,61141,46174,44651
36235,54075,46812,32841,56400,50195
53147,42789,62026,40514,43757,74089
69643,45456,56199,49787,49240,43319
43315,40733,53354,53810,49982,59901
54938,53196,60500,33713,62146,54628
35277,32869,39303,54110,49526,51579
50634,57542,48780,54353,53399,51912
51380,73294,39812,45921,55812,54020
41775,58014,46842,49220,51209,64968
54322,39031,49362,60809,71551,63018
50252,43391,42259,61042,61218,56983
48903,46404,59407,44470,55611,53277
44578,57985,56069,50594,61703,59626
40192,52801,44753,34127,51303,64174
49847,43853,61395,63265,43555,56544
41308,57152,56490,39672,47217,55755
55105,52861,62594,39685,64756,49641
47087,43878,55612,64459,49303,63393
52764,56062,66571,47326,54156,51871
27641,49704,54943,97736,55444,61861
46401,50878,61394,57449,55239,56087
50943,37364,49562,11600,54800,58175
46969,38392,59285,40023,54356,41412
52969,55603,45172,46627,51557,54520
46331,46029,75053,61813,45660,62022
46469,46161,51691,59345,69102,46786
48020,61149,59136,72046,54241,59963
52820,35596,78664,54820,56688,49318
44054,48967,65584,44161,54124,59919
56560,62031,36185,51764,42678,48722
20981,50217,44371,61675,55274,72183
52326,51352,47777,47578,49783,60615
46822,54791,70235,56013,56590,58618
39609,62041,53033,45621,47681,48269
51107,58548,64952,49179,39652,50495
59341,50870,57694,58144,48685,34067
52171,55371,40797,53763,40873,67278
41575,52351,53400,49805,56625,44264
41054,48340,47894,44297,48697,53827
30983,38571,57888,38589,49164,76190
42140,42459,51767,45764,29403,69478
49314,51993,57241,50449,58889,55500
46832,54304,53304,33421,50707,55419
41181,48342,42729,24598,52191,58533
33975,50567,39362,48930,51002,86987
56638,52805,41433,48887,50280,60825
54611,53848,56512,58603,32869,60832
53388,35277,62638,61160,53969,56532
51781,52089,38790,51071,47824,65482
54896,56535,45259,58110,45185,43251
54896,44686,36953,53867,50952,60153
66782,32167,35750,61460,57964,57320
54968,51265,47462,60565,58545,60914
59261,42293,59804,45898,55637,50471
49100,58634,46839,53507,54343,60508
50278,38487,49670,32328,56751,48135
67158,45446,52016,40441,58403,67790
48420,51747,52488,49291,45133,53719
46702,45185,53007,61855,50724,41388
42845,28876,45083,49342,33723,54694
61510,44980,71908,66113,57669,58800
62062,55277,45848,77760,59571,59838
76639,47898,21682,30827,57716,53359
54898,39613,55809,57330,45638,68205
42498,37459,59112,32793,41609,49306
58587,32467,41097,38833,56954,65547
48210,46665,45992,57912,53597,67548
59887,39371,55370,47826,51036,55040
50565,57326,61967,62875,50560,67168
39519,54430,51390,29107,52494,51111
48660,58687,63058,54727,34436,67939
59461,47760,60558,52356,49275,60041
54732,50567,60719,66770,38436,52226
52790,50487,60880,52048,54594,51948
43318,49821,61027,54163,54738,64287
54980,49094,57156,40616,53659,78634
