Retail and E-commerce, Daily sales statistics by product category, thousand USD, t
Beauty,Jewelry,Automotive,Office Supplies,Pet Supplies,Tools,Art
194,260,310,430,287,300,279
221,334,13,214,280,233,131
134,187,283,253,352,362,184
285,262,177,215,302,241,108
212,287,206,35,263,302,138
195,144,317,326,250,266,143
175,392,317,259,316,151,332
197,303,299,213,302,406,153
152,116,110,305,353,290,174
222,229,148,220,300,237,123
263,327,269,291,205,221,59
115,245,205,272,249,323,351
267,224,79,13,251,383,222
185,312,203,174,303,333,206
200,278,238,137,322,223,55
138,99,207,392,363,205,222
235,256,288,195,148,228,275
244,306,291,280,325,247,317
103,357,375,281,353,330,192
202,112,163,310,406,300,241
141,295,59,170,286,157,276
82,298,182,366,236,274,223
169,208,154,423,318,211,239
217,308,205,240,361,277,220
194,238,110,232,332,325,201
199,276,259,120,402,337,183
188,337,253,455,264,283,228
224,249,184,216,369,284,181
317,279,185,305,259,313,211
214,338,159,214,243,200,211
219,203,355,365,208,311,160
120,310,298,309,302,327,333
145,306,270,320,267,278,216
171,208,204,408,332,302,256
241,189,187,67,270,317,112
209,279,182,91,325,347,143
169,251,330,106,281,339,199
239,267,222,199,260,246,214
238,273,60,166,299,314,150
194,191,237,250,262,144,208
206,378,236,316,349,93,119
307,310,237,81,351,178,278
128,304,128,271,289,393,37
179,220,272,168,301,192,117
213,260,138,222,366,353,147
119,292,116,11,316,326,251
278,362,204,284,226,273,154
157,229,318,368,265,276,245
205,322,281,192,276,258,268
231,226,318,297,369,268,388
308,313,207,206,354,230,201
308,286,142,329,352,235,127
247,204,336,324,290,241,289
200,321,247,430,341,278,176
165,389,335,132,292,262,298
277,248,277,150,361,361,98
144,259,151,114,224,213,227
182,314,271,195,222,293,146
246,301,305,180,261,180,284
229,199,278,248,346,373,210
236,234,251,134,274,368,263
254,198,370,145,200,328,168
203,343,202,228,259,223,125
232,326,147,191,173,257,155
79,265,277,232,322,228,250
240,288,187,185,313,316,61
198,231,341,322,310,410,204
218,256,233,413,320,262,187
258,175,267,221,263,351,235
187,296,402,415,249,242,157
282,295,235,293,319,352,314
216,238,167,237,318,294,132
224,183,325,255,304,356,211
334,213,232,404,305,419,141
214,176,146,281,149,288,293
207,156,260,267,313,265,259
330,351,239,439,272,252,301
293,295,176,273,323,194,302
220,292,243,145,311,266,232
201,247,166,259,326,151,72
173,223,292,173,236,334,267
173,289,307,208,322,244,190
206,10,211,188,293,396,130
291,321,189,204,315,223,314
219,271,265,132,224,383,154
299,310,300,300,230,245,269
225,262,244,237,379,260,258
246,338,241,480,292,293,354
188,88,318,284,315,254,248
158,272,285,120,226,171,82
226,196,251,360,271,187,202
110,295,243,255,319,289,228
346,224,163,263,259,162,149
172,308,260,203,236,190,82
354,103,276,84,279,299,198
244,241,73,310,282,299,149
260,258,226,117,317,221,266
214,254,325,385,300,240,327
102,323,260,163,299,195,260
177,338,230,318,238,311,265
272,213,205,235,330,208,171
207,172,151,143,285,300,243
178,177,89,143,313,322,309
233,149,327,236,398,355,232
286,284,234,181,246,204,145
172,298,151,119,320,282,240
199,263,340,269,257,397,277
140,251,287,181,335,372,231
209,298,218,73,273,256,97
142,305,227,225,346,138,254
201,251,213,202,289,296,183
221,199,175,308,239,326,196
163,288,133,226,122,329,228
194,338,369,156,259,422,125
142,292,113,373,257,237,275
206,295,339,288,269,288,292
