Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, skewed
Ice Cream Parlors,Pizza Restaurants,Bars & Pubs,Vegetarian Restaurants,Cafeterias
290,205,463,384,309
804,657,577,727,636
375,371,552,361,417
730,833,445,689,535
585,330,928,310,390
429,863,535,400,315
609,491,481,493,407
431,418,268,408,486
309,573,225,348,171
412,429,661,158,268
387,610,121,98,284
428,204,610,267,329
548,204,436,279,576
502,176,340,333,951
278,595,125,199,935
586,399,363,362,490
336,771,374,724,525
538,479,111,316,1219
575,238,378,530,319
573,432,684,310,527
427,490,243,311,605
620,270,1116,969,179
593,486,467,779,466
433,792,249,419,267
699,945,430,1179,569
740,513,231,946,544
224,341,770,605,466
606,1123,756,257,233
650,626,187,1057,291
644,351,301,406,288
685,553,192,330,810
709,191,603,739,532
440,251,226,262,997
500,547,534,492,490
646,1347,408,602,479
325,400,521,503,503
249,293,389,573,717
353,657,646,276,501
503,1032,391,345,474
407,398,376,491,1108
329,518,294,936,778
640,763,629,502,480
170,451,209,745,227
233,677,320,757,499
399,490,250,1064,445
213,468,360,378,214
782,378,304,457,570
229,983,452,884,637
341,392,237,138,659
259,547,572,434,472
546,1128,348,410,210
275,948,524,293,292
195,410,455,438,298
243,420,230,872,405
505,352,985,592,546
276,1696,176,327,355
667,533,586,416,347
380,304,500,243,642
430,670,330,853,175
430,1268,760,165,280
256,127,441,428,241
950,549,567,336,1046
332,453,611,556,412
542,390,659,340,274
693,1291,174,726,750
431,687,283,427,442
269,776,469,269,494
476,509,433,265,535
240,1022,643,171,239
450,200,707,108,393
419,495,901,500,479
298,1116,562,744,266
451,1338,881,249,309
256,702,655,340,659
383,144,522,451,1032
920,577,289,874,688
527,531,728,346,539
794,1827,1045,843,492
236,457,139,361,303
839,408,1145,517,796
655,293,724,293,279
760,436,452,455,390
567,853,476,266,583
387,906,476,530,483
599,210,360,1037,647
383,431,365,520,559
397,317,197,204,616
489,528,319,203,979
459,288,473,410,654
562,328,383,291,591
471,157,288,253,654
620,634,171,492,330
593,1097,725,358,666
562,718,218,431,208
369,604,554,711,388
367,690,365,412,985
742,514,967,656,840
181,1458,1093,569,777
353,755,264,218,932
614,896,213,322,427
411,709,646,682,923
477,468,299,500,523
361,773,779,298,287
386,199,327,263,433
453,579,918,532,312
296,345,579,147,187
1127,614,492,465,1299
858,1138,127,575,529
478,420,407,471,1082
481,689,555,706,584
166,179,456,269,269
684,773,322,563,998
338,336,355,318,426
358,123,522,327,469
524,399,307,472,533
458,566,241,296,410
499,573,379,451,434
443,127,453,1062,421
