Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, skewed
Tobacco,Sorghum
4790,8068
6769,1860
6734,5427
6240,1974
12277,5164
9197,7260
7372,3801
7882,5161
10410,5670
8542,2888
9724,4332
9309,5320
6201,6997
5227,2786
5407,3740
5299,5152
9329,5628
11711,4680
8252,6928
5267,4095
7150,3880
6805,2960
8174,7468
16058,4622
11009,4881
8431,3189
11210,2091
6221,8163
9479,4195
7918,2991
6743,6183
9282,4440
7088,2139
12959,1770
9369,6576
12986,2954
5560,6997
7073,2787
12606,5957
10247,3373
3317,3212
8181,1965
4185,3055
15688,3148
7416,4369
12923,3337
5076,3325
5755,3280
5733,4864
5507,2883
6973,7618
10284,3975
8850,6028
7566,3913
5764,3896
8563,3338
9898,3359
4211,5799
6862,4202
9029,5124
4759,2528
4480,3282
10996,4048
13097,3256
7938,2788
7861,3411
6579,3453
4479,2629
5783,3812
5065,5586
8447,3982
7812,1830
4239,7708
6245,4890
5345,2480
5497,2802
14848,8127
11005,3738
10088,3455
11294,6217
14132,2576
7172,2748
15345,2053
7423,4410
6385,5124
7328,5264
6551,5786
6523,3937
7347,5787
10996,3109
4558,3390
7029,7346
6029,3108
16228,4226
5371,2813
5430,2555
4513,4272
11244,2780
9979,2060
4030,2241
6642,3358
10484,3272
12622,2146
4020,2424
5360,3377
8722,2383
4887,3839
8244,6356
7451,5690
9059,5592
9269,7331
9169,2469
5919,7160
6619,5147
7001,4893
7459,3593
9626,7297
11921,3746
