Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Sports,Movies,Automotive,Toys,Pet Supplies,Books
236,157,76,131,341,103
233,683,197,387,218,96
280,605,346,160,214,204
142,135,374,238,230,90
323,169,98,172,332,388
147,373,165,129,177,123
235,109,140,231,182,138
275,259,154,179,248,225
323,164,104,253,285,152
211,459,204,149,140,208
194,689,169,338,560,240
302,121,290,210,117,182
366,148,250,137,445,261
172,121,131,319,204,277
128,221,152,96,208,97
388,307,184,144,248,306
89,168,395,94,158,301
317,153,126,68,211,230
522,446,127,125,220,111
272,285,94,93,189,227
81,272,150,77,207,257
142,145,354,88,410,227
339,334,186,174,279,123
285,124,356,356,179,400
248,157,191,410,419,238
403,193,178,222,359,212
142,382,284,217,175,292
315,298,97,74,453,238
249,248,101,149,267,127
227,149,131,226,213,228
155,217,210,197,133,416
407,279,209,195,408,399
110,226,138,341,338,164
208,209,146,351,279,298
220,145,241,162,429,320
224,221,141,172,237,78
194,179,78,208,287,147
129,266,323,112,129,197
267,330,214,244,243,322
292,240,51,340,94,206
249,706,249,163,253,313
332,118,238,143,433,156
369,259,212,264,80,254
317,240,124,277,363,241
112,666,331,219,253,211
123,227,159,136,454,96
102,158,138,380,542,324
189,154,144,154,276,191
170,211,159,337,554,260
266,298,176,176,504,236
209,247,198,470,148,123
398,256,85,179,70,377
320,568,147,118,275,221
121,194,132,220,347,215
188,346,175,105,223,143
525,279,77,126,398,326
309,190,58,98,138,184
474,411,160,197,219,151
225,369,237,252,286,89
514,422,404,176,94,106
82,151,242,124,111,155
165,424,83,96,340,139
198,265,109,222,268,79
205,154,202,119,227,196
149,507,151,128,192,92
127,85,388,332,436,176
210,265,124,166,155,97
159,123,214,220,202,373
416,272,263,301,121,320
171,423,80,149,501,225
180,215,211,112,222,143
130,267,156,246,268,77
178,129,232,199,414,190
114,451,139,396,326,175
160,244,160,240,374,344
187,179,258,436,211,306
212,229,80,196,100,105
337,232,177,255,165,157
246,497,99,216,523,382
375,327,107,298,115,147
136,148,391,116,411,134
257,334,102,111,586,292
99,142,83,95,430,203
205,115,282,556,329,139
274,312,111,110,327,122
217,189,231,212,130,333
99,230,115,223,262,232
225,143,307,184,96,109
173,625,204,198,167,361
366,156,145,159,283,382
152,233,124,168,124,96
123,371,120,153,355,252
170,323,172,165,446,90
260,277,228,245,214,197
183,221,161,122,134,169
168,244,306,205,162,114
212,235,191,313,195,269
240,171,321,175,140,226
196,263,213,133,111,183
206,312,223,196,183,426
172,436,166,289,119,342
337,322,173,195,333,238
237,170,257,130,250,169
140,251,244,184,433,304
329,272,298,261,277,286
238,354,86,276,214,147
242,631,149,199,175,373
238,172,178,139,292,87
265,485,91,123,237,266
198,248,250,122,325,126
79,238,134,298,433,237
278,434,146,153,244,183
239,105,217,126,153,121
113,311,200,278,139,293
109,248,305,240,231,279
253,220,238,270,214,103
155,137,115,207,142,200
501,127,146,258,501,64
