Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, normal
Hidden Valley,Golden Dunes,Sunset Cliff
8830,8187,15646
5190,14004,10239
10867,10323,7082
8692,7887,9900
9414,6981,5698
3711,12018,7018
11093,3809,12559
365,5550,4271
12822,7963,10970
9451,6608,7520
2009,3348,11936
9355,6050,12596
10569,4973,12129
8150,5457,13269
11778,6626,8183
12729,6707,5728
9776,8397,13489
10651,10029,5310
7331,9646,10117
9252,5404,5966
9432,8186,6147
11324,5308,8454
12037,2732,11841
8077,10328,6721
12425,2020,10459
8521,12016,6632
3945,6667,12849
13840,6991,14963
11554,7021,6924
7792,4244,12295
8114,11140,11368
8887,4643,14272
5476,8163,16835
7816,9175,13072
5250,8206,5058
10316,10958,11232
4902,8034,8900
6167,8752,7243
12313,8120,7906
3914,5152,10900
7441,9246,8274
10076,3726,8161
9504,8910,8891
1328,8597,3061
5149,8229,5268
6098,6561,2625
12336,3390,9327
8230,14098,4288
7192,6115,9680
5858,7356,3068
7341,11539,11052
4867,10433,17400
7576,9681,13712
2370,9483,640
9575,5488,10194
9802,4332,10752
10825,7519,8076
10424,5940,12937
9194,10714,10509
2857,5797,12662
8233,10687,4089
6741,10803,12567
5543,8279,6691
3982,10050,7758
6316,6122,10533
5808,9521,16020
8260,2775,12790
9511,5739,12802
9836,8250,4092
5840,7246,3814
6839,6418,5892
5465,9851,7692
10937,7260,8054
8436,3853,4207
3019,3152,8684
9364,12352,11260
10477,5670,6823
3464,13053,9121
10636,6539,13614
10629,11454,6487
6517,11689,7875
5417,11575,9046
7034,11380,3027
9356,10309,12068
3914,9775,11989
2892,4468,14038
2387,11167,8404
8207,12360,6313
5228,6025,7621
9789,981,3509
5325,3805,8483
7152,7725,8661
1015,5714,5082
14557,6418,7840
9811,12410,10393
6469,12083,13144
3744,7285,11269
8091,5678,11419
7211,10671,6911
3197,10423,11476
6882,9856,8838
10097,7974,6535
6342,12650,4687
8449,8112,6747
5817,2327,8088
9870,4044,6096
6367,10117,12893
7973,6430,13595
8809,8178,931
13546,5060,6508
7545,1645,7225
10662,5110,6424
7943,4219,3268
7703,6959,6320
11726,7353,7718
1310,9162,14498
8765,16775,5627
11857,7588,11721
8120,13263,8082
