Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, skewed
Single Family,Tiny House,Urban Loft,Studio,Luxury Villa,Mansion
835,723,704,647,821,1008
587,797,853,699,630,500
572,491,709,449,521,1174
485,950,1288,782,1219,480
671,760,870,753,835,1217
1296,1222,454,619,405,370
620,1402,512,409,352,1011
669,677,792,648,694,535
603,608,731,629,559,466
429,483,602,647,456,508
500,566,1142,591,938,846
533,835,909,415,801,952
1143,667,428,765,453,570
435,805,722,608,429,426
750,614,1367,508,594,1134
513,517,516,420,755,546
593,1204,568,779,341,800
802,1209,349,712,642,356
458,822,542,427,596,809
534,418,364,497,642,1181
1077,751,567,320,883,568
638,1217,683,355,707,766
441,429,846,852,659,1007
376,388,371,793,610,403
459,624,561,727,787,1107
1018,975,794,477,954,798
636,608,1350,587,419,583
438,739,1238,1102,637,882
428,765,459,385,973,320
445,696,469,436,705,579
646,933,374,611,414,461
536,778,951,420,345,441
916,623,802,438,1057,670
591,1103,609,845,741,543
706,681,1242,539,1170,671
794,589,873,679,844,414
1194,736,463,720,712,889
410,452,406,951,388,513
810,366,388,544,329,731
1153,629,526,1092,781,491
452,666,358,832,393,693
806,437,637,996,628,522
583,918,927,1111,374,603
525,936,721,1253,492,544
381,1080,1476,675,334,569
644,422,789,360,942,778
429,719,645,363,399,1238
1103,1059,809,1303,455,776
1241,571,1005,666,511,639
843,927,820,707,698,852
778,1082,412,651,816,552
971,812,482,617,1166,566
644,957,782,803,682,351
497,713,573,482,848,1263
597,926,600,426,885,400
1143,1558,721,474,754,642
515,322,956,689,430,987
474,896,613,341,466,708
796,740,505,689,679,608
915,752,540,698,628,475
641,830,619,979,564,483
376,545,660,745,885,752
429,627,505,389,490,771
711,607,652,470,693,891
580,380,539,523,551,389
998,520,570,721,486,510
534,459,819,853,607,992
517,1148,315,461,975,442
1167,386,452,842,569,992
798,467,429,672,406,909
755,806,554,514,622,366
513,558,849,753,466,748
509,585,568,1180,769,572
613,537,760,613,365,580
599,491,600,1002,540,432
885,1175,839,438,643,621
680,655,1418,478,691,614
723,406,815,667,546,677
1404,670,897,953,902,1069
852,779,567,668,392,607
524,435,571,1165,964,620
508,1276,350,399,816,510
590,609,1277,890,490,1523
347,630,830,628,799,513
514,629,1090,511,545,342
694,650,472,316,552,791
841,743,694,548,346,552
616,1027,612,1171,856,755
522,782,491,352,1001,923
971,792,564,342,865,374
837,772,528,773,566,762
829,932,770,560,486,473
884,1231,313,344,464,598
419,842,978,560,732,935
729,1089,808,1169,646,1324
1039,680,584,538,410,979
995,610,457,702,638,518
596,441,406,1043,737,381
603,857,587,1056,415,520
705,546,456,680,1043,399
386,529,429,786,454,882
530,730,504,396,764,418
629,948,881,823,526,515
596,504,518,494,477,1124
584,595,914,1102,653,587
861,1073,420,1051,371,616
824,869,579,429,463,389
581,759,737,646,564,804
481,1139,514,1354,584,728
935,526,711,884,765,1035
1066,518,775,623,1122,913
485,345,594,748,697,1155
918,363,1131,603,632,1273
619,532,701,468,1100,504
410,837,518,529,1199,658
432,602,659,1068,1012,336
956,591,888,444,416,699
1096,993,515,415,595,674
