Retail and E-commerce, Daily sales statistics by product category, thousand USD, t
Automotive,Jewelry,Tools,Electronics
322,340,352,250
257,370,357,275
284,396,208,287
257,506,226,259
336,338,285,311
362,327,392,387
281,384,347,323
315,201,281,280
319,205,349,368
222,204,456,350
265,285,387,386
281,246,192,343
362,258,295,323
353,253,279,317
245,84,214,329
198,273,390,232
272,375,245,282
307,313,316,236
195,349,382,407
297,427,358,302
177,339,256,420
264,409,443,338
328,148,353,369
358,158,78,326
370,302,275,366
272,260,411,403
336,220,209,291
252,341,283,377
312,250,359,210
191,408,431,432
275,298,241,355
249,349,467,315
289,211,265,262
302,384,184,293
261,303,140,425
341,321,221,256
219,306,213,272
361,296,342,260
233,340,290,295
266,278,158,352
333,394,266,274
296,328,331,389
220,347,329,346
249,404,382,229
254,232,340,232
316,352,315,352
267,228,134,345
262,326,292,307
141,89,298,348
260,213,438,352
359,338,404,383
309,353,238,307
286,290,428,198
297,367,99,243
350,307,417,294
209,277,468,329
316,281,240,303
315,298,494,368
368,301,250,301
320,486,346,312
269,294,566,357
302,379,128,309
244,208,197,406
327,309,463,311
206,295,505,370
229,359,330,407
323,404,462,328
209,302,243,331
198,294,426,237
176,419,237,187
114,129,243,349
225,330,310,322
314,238,385,207
309,327,486,271
294,317,203,342
314,232,101,367
305,329,258,316
279,436,393,328
317,246,242,173
269,231,320,334
283,335,446,264
328,235,211,312
293,265,382,344
341,303,170,320
143,279,605,330
279,388,293,353
380,354,323,372
310,318,339,344
267,240,431,317
221,423,356,375
293,295,296,196
211,395,283,273
194,59,267,332
294,289,348,328
194,153,297,323
233,464,196,338
273,414,365,404
237,249,324,242
308,244,292,376
214,441,232,302
44,241,210,338
246,388,354,443
237,265,313,396
125,261,454,361
284,310,320,351
173,347,430,346
250,465,315,299
326,309,233,291
397,261,254,344
160,225,302,335
292,452,255,255
321,363,322,328
137,320,304,206
227,225,225,414
313,95,340,380
302,326,439,369
251,251,245,354
300,199,314,338
