Retail and E-commerce, Daily sales statistics by product category, thousand USD, normal
Tools,Music,Clothing,Health,Automotive
280,245,208,362,143
225,309,273,303,203
338,278,193,399,140
226,294,274,422,266
307,288,149,339,343
334,360,273,240,248
292,306,257,394,232
234,276,223,375,243
296,299,229,273,211
292,293,303,225,261
349,360,259,289,77
267,238,309,247,166
233,362,254,318,267
167,252,176,346,166
249,304,196,322,103
244,254,227,296,327
258,229,279,276,345
322,271,209,326,124
239,312,139,228,217
238,325,208,296,184
200,239,250,281,225
239,309,285,259,144
220,201,268,402,104
280,240,249,338,212
285,339,224,369,290
189,294,216,296,175
176,353,165,374,263
309,333,273,281,250
238,317,260,276,277
269,337,228,292,290
240,184,260,322,263
178,281,164,272,217
282,187,169,430,264
280,157,131,410,232
209,219,181,339,206
235,298,287,250,284
284,261,242,320,226
347,333,212,300,91
358,206,184,285,294
290,244,228,413,263
227,336,204,329,266
298,283,124,340,222
244,275,237,416,347
338,287,270,273,215
265,322,284,285,158
316,201,205,298,180
239,313,310,398,354
255,250,195,276,198
198,231,188,310,232
292,294,295,255,292
251,320,266,377,275
220,225,192,233,214
257,283,290,421,206
243,240,204,387,212
309,303,193,265,236
306,342,213,326,291
321,337,273,434,227
347,300,282,299,329
313,316,232,300,177
142,231,234,365,122
244,292,192,309,275
240,272,205,321,107
280,295,287,304,235
330,248,190,375,266
198,262,178,308,171
213,231,125,299,220
250,293,266,285,271
278,362,203,400,334
290,234,304,405,180
238,270,71,354,194
189,263,229,396,280
194,277,136,425,147
266,318,171,255,177
280,142,175,305,338
246,265,210,255,244
311,259,271,334,184
317,191,198,279,197
240,224,263,309,277
304,293,188,240,136
325,228,225,396,274
340,292,215,246,322
244,276,197,351,320
347,283,232,421,217
228,286,192,353,317
285,302,234,272,290
238,244,201,314,165
352,318,294,429,194
209,267,267,317,127
229,321,309,193,162
299,189,193,374,238
290,340,195,361,119
287,246,264,418,275
264,283,289,298,133
261,185,231,317,256
250,279,259,320,261
251,200,205,297,209
249,264,201,351,222
303,222,233,334,160
234,177,231,316,222
270,283,273,331,320
261,248,253,328,277
175,193,107,299,317
271,253,172,233,257
271,277,185,314,250
220,247,304,276,292
330,195,249,286,212
199,304,267,355,281
244,307,238,339,199
266,256,164,248,274
181,205,312,341,308
298,254,215,380,280
340,248,186,253,252
299,164,193,214,273
266,279,292,373,303
193,253,250,307,110
310,298,256,223,242
269,217,249,361,233
225,267,220,359,288
