Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Brookfield,Elmhurst,Mapleton
1367,800,1075
855,1327,1005
1035,1006,860
1158,1446,936
819,1304,1041
956,863,1503
1071,1053,975
953,958,1175
1549,1346,897
1018,1446,1041
1092,791,1623
500,758,1458
1180,1074,1085
1108,1159,712
1166,683,889
287,1620,1090
1089,1666,1316
764,1263,741
1368,1153,1253
632,1229,1184
942,777,806
910,1318,1112
646,466,1120
1350,984,1014
1410,1055,1206
773,1346,802
617,742,1079
247,1201,1713
883,1270,894
1172,791,520
382,971,1257
1060,1364,1311
1188,1166,1049
1385,970,1324
1031,1287,951
1087,875,619
621,1213,721
425,788,1337
1095,913,1173
1013,860,842
1205,719,836
1299,681,698
1235,1510,780
751,1374,1527
1012,1242,641
1364,660,1157
1123,559,670
1232,1091,936
651,1103,1103
806,1587,1527
1028,970,896
606,830,1071
955,1143,1217
755,878,612
442,1072,1098
1038,1078,690
317,1427,1448
712,1111,866
595,1112,1080
626,1044,1506
1211,1502,857
685,1444,1211
1499,1070,798
358,1271,1444
840,925,1102
1505,648,899
1055,399,719
1058,1353,1191
1473,831,1220
1091,1559,967
1427,713,895
716,1080,1274
1348,1425,1052
640,1044,680
42,1003,1473
545,1093,1049
1012,857,1250
1025,1272,986
691,1144,599
1128,755,795
740,720,1546
860,1586,1371
1213,1542,1395
937,1159,738
812,1209,1281
863,1518,786
910,1341,1560
1053,855,912
1155,1237,1032
1135,1196,1750
287,1180,712
1022,1464,745
980,1096,1433
1208,718,756
1065,957,1203
1150,1183,1461
812,967,837
703,812,1629
970,1108,948
976,814,1403
913,1274,1040
771,1281,1001
1207,894,1040
845,608,1026
1470,1103,533
682,570,1442
984,1015,977
1215,871,1381
631,495,983
700,299,1349
1145,1129,1185
656,1216,925
1055,1562,1261
1343,877,1059
671,1665,935
1125,1054,861
810,972,955
1219,1109,1089
