Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, normal
Tobacco,Soybeans
7851,5801
8859,1704
7841,5111
8133,5567
7624,5523
8323,4310
6527,5853
7110,3586
6705,3915
9580,4237
9595,3366
7848,5102
7719,4272
9223,5366
6285,6363
5969,5474
7075,1782
8427,3440
7234,3880
7160,5645
7147,5340
6395,4275
8708,5350
7076,5549
8161,1243
5699,6620
6072,1673
4296,2780
6481,6021
6115,5199
3489,3789
7564,5414
7042,2254
6413,2176
5478,1878
4613,3869
7949,3594
7104,5695
10494,4240
8693,5840
9966,4330
8299,2237
6342,5098
5808,4235
9204,3009
10909,5234
9256,5278
6787,3585
3997,3432
5597,4658
8263,4570
8617,4575
8254,2676
5952,4170
6876,5518
6511,4854
5740,5723
8083,3522
7672,3915
8308,5013
5854,4821
9732,5672
11114,3721
9437,6154
5010,2447
5772,5066
5638,4366
11237,3874
5728,3285
6370,6022
4842,4707
6811,5912
7627,3892
10142,5179
4914,5023
7351,3586
10369,4387
9967,4941
8015,4218
6645,4885
5161,4566
7259,3299
9575,4558
4365,3538
8309,6210
6076,5464
6858,5256
7600,4951
10514,3536
6888,3468
6626,5080
7238,4072
7233,3903
4217,2141
8669,5979
3886,5032
6620,3344
8164,2110
6831,3525
5665,6626
6300,5187
7313,3703
9323,5564
6559,5862
8111,2215
9445,4578
8638,4912
5927,4219
10955,4447
8402,5777
4368,5641
6952,4113
2017,6532
5709,4138
6481,3729
9947,4888
6014,3484
4968,3624
