Retail and E-commerce, Daily sales statistics by product category, thousand USD, skewed
Grocery,Health,Clothing,Tools,Jewelry,Sports
72,111,358,225,170,115
125,271,83,372,290,254
91,186,202,376,174,331
232,171,145,387,217,194
169,146,272,549,128,107
148,191,226,440,415,227
102,187,177,217,217,311
108,212,186,237,110,324
142,402,174,272,210,672
100,470,93,159,185,411
133,145,133,262,269,179
55,201,93,436,321,505
97,464,282,159,62,360
185,185,112,185,119,249
228,107,125,190,242,358
88,149,219,373,176,90
238,499,255,202,105,297
104,355,182,164,390,178
145,440,76,432,182,183
199,220,207,578,203,199
70,131,110,182,78,181
166,395,83,191,97,359
153,208,290,157,297,132
82,152,244,404,197,162
124,292,64,412,280,513
158,85,364,122,196,170
132,192,136,270,65,180
106,251,206,227,245,513
160,99,127,191,471,167
274,185,354,296,65,174
268,185,199,414,325,158
300,157,255,209,146,137
84,187,111,289,333,83
76,433,256,165,142,464
115,138,174,421,156,256
103,178,140,616,121,429
237,338,109,94,89,618
331,241,125,324,250,134
262,119,225,403,98,234
51,286,187,131,100,561
82,340,124,162,236,165
158,322,321,328,135,307
349,385,192,256,162,398
45,331,172,321,420,415
76,129,194,449,139,194
364,362,112,360,187,200
141,245,86,252,280,171
271,252,112,348,176,204
148,154,74,284,185,161
87,186,65,303,227,97
257,149,343,463,126,441
231,65,167,290,229,450
154,88,159,332,212,210
268,174,147,622,252,221
406,278,137,430,110,257
174,102,143,313,281,114
40,362,303,207,313,310
189,52,100,227,113,392
142,151,69,346,95,284
165,252,294,274,94,121
66,214,283,328,308,317
85,123,132,671,52,309
60,166,112,216,147,208
288,374,271,462,163,354
84,113,146,178,479,129
166,278,49,480,159,318
189,152,110,163,225,670
337,173,130,291,96,430
448,382,158,215,171,364
160,162,42,326,187,253
119,230,92,305,128,212
310,289,212,152,73,184
227,158,299,607,63,201
166,324,315,351,74,308
141,280,252,303,124,320
237,130,194,220,210,181
215,479,142,190,138,372
135,340,141,254,136,207
114,166,167,115,285,319
74,348,117,160,376,173
182,178,176,228,198,235
100,480,142,269,153,432
78,347,174,176,242,196
229,239,131,359,144,606
127,203,137,402,168,401
44,378,191,293,215,127
363,148,157,369,101,317
259,250,135,92,281,130
209,659,219,238,210,283
274,132,197,290,126,174
213,194,65,242,166,185
182,327,74,214,211,113
249,266,79,179,217,435
69,150,136,188,341,395
140,123,164,137,378,204
59,297,206,135,323,194
339,452,96,168,141,195
123,340,150,295,441,348
118,90,111,254,146,490
212,146,63,311,260,340
112,414,122,399,189,345
218,228,158,264,168,182
65,103,198,134,61,217
218,278,72,315,261,395
97,533,185,331,92,277
99,130,264,256,129,264
71,268,154,502,120,556
134,145,114,341,238,425
328,152,133,231,122,332
153,321,65,372,99,579
324,212,111,194,270,131
184,314,368,457,240,192
149,184,78,202,303,266
177,285,168,357,236,239
214,88,136,244,413,122
274,130,146,412,166,292
181,484,248,199,88,195
92,171,335,502,119,159
