Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, skewed
Brookfield,Oakridge,Westport,Zephyr,Creston
59209,55611,42850,43636,77179
69441,53843,67627,55706,67310
62054,36543,44905,69770,70632
55901,47402,44196,57748,91559
63963,37976,43847,75975,41007
78708,49469,57270,43810,73427
51155,54519,51732,36566,53815
116271,41397,68678,46428,56796
34579,89529,47210,53575,89086
72357,87062,41585,59400,57142
60260,49884,49575,47364,50993
134913,54053,112598,67871,82946
41689,44479,78071,36864,38620
65363,55278,53803,72442,44203
65806,38744,40164,53823,50989
57715,60145,41162,84555,80071
51544,66517,40665,40248,48462
38792,54277,73375,45171,92780
106969,58238,57520,104611,109453
75113,36033,56650,55280,51515
60788,29077,57885,112338,56831
77897,39074,40171,63610,56349
48264,53698,52706,64090,47239
87733,35687,57249,50342,60671
50746,45687,68103,68102,69992
54643,33385,54250,105018,56847
48799,67708,100203,79123,70241
73307,30065,51487,123703,54549
72512,52468,92520,45506,102389
47445,46463,63291,50676,36817
82939,37850,39562,93316,79580
73737,75664,46369,56113,80727
80905,48050,57260,54364,63305
117357,65388,44446,68030,75801
98091,37297,68169,56495,58258
60169,55801,52003,58184,66144
38722,45027,64099,76518,52501
91937,98750,55266,59692,67649
51478,61887,50741,69477,43950
48972,43816,69110,121554,40325
52244,43470,58014,78792,50084
89025,91080,53692,80194,46065
47671,49946,66026,109803,78271
50004,39610,56027,61533,52808
46406,33446,97496,43814,68446
97940,48841,59273,123030,44301
115805,72212,47698,70802,54832
92111,48949,41994,39821,61750
59978,51552,53674,116817,78491
59680,48283,37884,64262,63240
63235,91610,91276,67323,48605
65927,31637,63273,54733,53620
79299,40629,92756,71999,53945
90981,44436,61231,68296,50511
78059,42064,66009,36349,50072
74185,70209,92791,43966,75458
69838,102204,57206,65669,65160
85173,49027,58252,71670,39326
88054,35610,50297,52792,76930
56065,68416,121926,51331,54248
61083,56702,40544,53359,69114
74492,51155,72944,47682,104112
111383,52204,76282,56739,55269
54237,40663,103267,66127,61594
38876,65889,56190,42098,61874
69395,42630,51481,63796,50780
38674,101384,53011,56049,78014
45144,68362,59013,63303,105124
72832,35868,54223,81764,105234
40569,47426,66570,48935,43171
101567,54803,56996,70744,67647
49681,51862,42903,74346,63359
47619,48977,49097,62883,56293
60439,45742,69924,126133,44310
61987,65888,73208,64214,40342
45263,51740,47226,55809,45399
68563,39475,53764,60373,46792
41851,89746,52761,43953,83703
69612,51018,69193,50674,65555
49534,46459,60604,43019,81176
101045,97169,40974,74972,113670
78459,62713,49351,55677,40212
78089,108261,56994,55260,60019
43193,63170,72710,33940,85284
40568,53054,69620,92596,46428
53418,60270,66049,76771,43915
50075,69369,50824,81501,117879
87881,51671,79848,77437,87999
96193,43853,97798,93268,76974
57355,84519,56137,53843,67915
49314,54021,63452,40497,61928
43682,70301,48049,60068,73750
46412,52321,58841,47151,84650
118165,37092,41544,43177,36854
88470,40083,51530,77999,89883
84807,51866,53538,32869,50409
45099,32045,40647,64447,64718
45052,100489,84116,60652,65899
81983,53178,60549,36264,40368
66136,51953,79158,63830,64317
63442,40573,67391,61546,137180
59751,47964,67811,46294,70605
49473,34293,111730,40229,94401
87920,44210,48837,51495,63041
56079,74914,62486,90039,59630
44439,56642,84140,51922,73623
98517,50593,39420,37576,46810
70492,36679,44205,56145,125219
78470,37899,49447,66841,81681
55491,30966,58975,101658,64826
75199,44669,46078,64730,61638
86031,46985,37408,111077,82840
35056,62436,45272,81591,53234
97778,40503,40720,75745,49590
76710,44115,104356,52399,58698
53547,53407,55542,82298,64627
56829,46190,73913,61782,52343
62151,45119,63961,109081,43738
103023,51071,55610,55642,62325
84730,48243,42391,86243,44150
