Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, normal
Seafood Restaurants,Bars & Pubs,Bakeries,Food Trucks
449,490,176,495
464,1022,314,340
311,304,204,581
496,352,301,571
794,713,483,566
451,378,266,453
455,560,618,447
397,231,819,790
441,141,577,357
612,693,255,588
387,533,481,362
441,720,389,660
465,951,702,407
412,660,86,636
593,571,568,603
496,738,856,637
331,640,570,369
262,474,241,420
448,157,448,635
314,538,838,716
388,887,842,334
717,341,576,471
596,665,615,707
363,822,169,559
397,515,620,603
548,459,513,498
590,976,432,563
616,811,917,511
495,421,784,300
2,792,488,694
508,556,500,476
497,1090,545,698
255,636,734,565
499,740,726,624
508,482,377,562
608,171,615,675
398,729,131,642
438,347,365,517
602,955,653,426
343,464,784,158
524,810,655,590
436,988,32,545
273,683,622,545
205,515,1004,344
684,30,773,464
531,617,358,605
238,392,591,600
430,516,716,642
674,550,520,651
477,1060,452,317
300,434,644,563
1,1106,1047,441
404,456,629,625
725,603,288,467
286,947,503,267
715,991,695,432
716,810,644,541
624,620,435,612
763,602,692,429
317,1075,333,709
563,486,719,732
614,545,353,475
838,480,417,427
676,688,582,320
645,1005,203,654
543,460,294,530
527,570,520,473
597,551,545,332
349,155,263,610
284,565,517,570
501,479,666,439
587,239,879,247
340,694,878,556
435,1016,584,417
530,493,676,420
452,344,785,536
248,394,67,504
386,962,457,508
742,910,148,503
522,735,512,623
566,720,296,536
476,625,538,568
572,712,540,691
522,451,657,557
301,545,590,685
287,603,501,592
319,736,289,591
562,331,798,384
723,529,802,678
320,288,642,632
297,105,925,653
460,528,522,386
747,447,291,454
611,930,612,669
327,739,519,369
565,488,927,706
497,693,541,619
387,453,669,437
178,544,779,744
605,775,756,588
569,452,842,702
413,685,734,510
726,641,319,749
621,585,250,437
601,820,391,657
692,484,1035,618
679,563,694,652
351,268,634,453
489,947,474,553
571,387,219,700
305,831,819,443
444,818,462,484
435,157,585,563
803,931,463,523
431,453,399,483
306,416,574,246
