Human Resources and Employee Management, Salary of Employees in Different Cities, USD, t
Westport,Brookfield,Springfield,Rosewood,Highvale
57396,39620,33656,65312,76706
65727,50263,44142,63046,75603
34634,48877,34450,74282,51427
53243,58129,13434,61218,72609
68170,24311,23292,53322,51353
47023,44725,28441,69803,57821
55562,41948,58234,74397,39246
45795,47392,44976,41031,52227
60761,36200,38307,42759,37980
46267,30983,43496,66695,53348
69850,44150,50847,74350,63664
60690,49402,42708,60918,24907
64919,61991,19980,46127,85655
77147,41950,59333,50502,61325
51539,41808,41970,58270,71470
59713,57653,22368,78512,63529
68146,48344,32476,53256,43656
56741,29846,11925,75734,103615
45531,52002,43401,53061,61962
66746,42455,49792,41953,44405
48866,41227,49120,44832,63186
48693,46352,43168,63639,73168
58599,72418,35398,51890,71587
51532,53955,60409,52869,41380
66668,40572,41610,53808,52519
39541,38018,14408,62314,56423
49410,38564,44246,83755,44670
54977,33244,49129,55446,58521
54743,36023,33937,53553,76054
71787,68762,18970,40039,44551
47261,70005,27429,80095,72982
71568,41462,38073,69810,61248
60062,51953,46906,30270,44951
57367,53331,28553,65284,55417
66852,48805,22075,50803,60720
22124,59725,41295,74173,53588
57073,34566,50036,86030,59592
66165,43226,36662,92034,71947
75933,41724,49570,59007,53637
48525,60250,48038,67544,48610
51289,58561,16040,55322,42464
66002,46459,34684,60252,36636
58516,34192,4564,49602,66065
46624,67355,38645,54722,66536
72783,58505,57003,54044,46637
61359,44039,41304,42693,71943
58285,63945,39560,75306,44231
55725,2864,50972,74527,90528
67571,55279,44427,90543,61125
58530,49433,45578,63861,71246
57056,36755,10270,56099,71982
42527,41204,49276,49106,27761
61976,56189,37338,59885,62306
59314,40454,51165,40136,74659
55236,35956,44941,50713,24977
65268,51920,20015,53989,46136
64546,40983,29514,51779,58850
42448,66955,39761,59557,77954
58764,47322,38958,58115,67374
60413,50784,36743,58086,77995
60348,49254,49888,73726,60390
64036,52030,59993,60200,82305
66325,35620,54458,42195,70990
70982,54269,51399,40203,45748
73617,29075,39679,58541,53441
66352,54686,44431,53809,54570
65793,70533,46837,54913,57394
57474,56108,31026,71606,54918
45240,21914,61075,60099,76702
65142,38656,17220,50748,72407
63274,56812,39146,84035,63997
41993,48888,31645,67419,64222
43620,62650,45305,68470,68576
60570,35101,38174,50747,65301
52749,48514,46246,15225,59065
63286,70137,24244,50499,56285
55410,58987,33460,63433,42175
49457,40170,30211,62329,60206
51740,59446,35781,81415,74236
50739,48200,12255,63666,45098
52796,51555,41122,29545,26582
50216,66632,22035,43760,57036
44547,51501,49019,56259,33433
78681,45815,44032,57737,66560
48597,51910,30389,72000,34689
53701,51091,41843,51983,74028
61236,42159,52996,69235,95941
46824,40443,27048,65830,34873
58609,32729,36302,51934,55243
56420,67447,56847,50044,96621
55697,50888,30320,50866,33794
50156,45427,12354,72275,95643
64518,49776,28253,38080,29520
48877,65503,37872,40545,76517
55009,38694,57233,63503,56975
55457,47885,55634,28555,60190
40633,67098,46233,55255,56597
52139,25583,51117,52324,64840
44789,70140,49175,71459,59058
62021,58689,23440,80987,26533
58942,40272,45420,52803,66430
65590,54693,59616,59161,41471
70041,48979,42517,58635,58988
52975,67953,32910,44259,37212
56573,40686,30220,52185,46635
50755,39675,59815,50020,58242
45717,45701,50557,67310,58671
66771,42683,15488,37454,82923
51818,26956,40671,72301,72980
58944,54097,40067,70186,84745
65285,58068,54023,52882,54928
56424,51075,35854,69968,43144
58103,35815,49511,56545,31099
53249,72514,40805,45793,65203
45188,50552,42009,56306,64901
