Transportation and Logistics, Data on the volume of fruit transportation in cities, tons, t
Zephyr,Yorkton,Fairmont
48077,44537,45229
61596,38995,46911
48930,48176,53142
53042,47651,41749
52405,38882,56148
54358,45037,52194
48643,45204,35714
50527,46491,40162
55949,34930,63410
55781,53621,51929
59484,47046,49622
55590,36872,46612
44736,52719,55339
47347,36651,37254
49970,44874,61217
46523,52321,26970
63899,40196,53955
43651,50752,54909
51447,60413,53541
62472,46875,44550
45756,48259,69124
41085,16951,32488
52168,44503,39409
48819,62936,48923
61127,67289,45393
46008,40436,51538
56032,42744,44846
52619,39828,36105
62259,33834,66546
49819,36427,57822
53189,22325,53298
54903,61976,34846
63477,64860,48150
55882,47755,31233
35066,71919,46156
50562,58330,35934
62153,45435,45260
59754,52002,49250
57069,48548,46410
53330,54638,55240
56817,46515,46740
44368,36580,62392
56963,43863,45901
69974,61246,56146
69705,28590,64119
57868,44776,42829
54095,32234,49758
51590,47656,35464
49821,67863,36529
42870,49453,51545
62185,40365,66097
49329,45986,50702
41795,39085,43246
63404,39770,50297
60155,55932,56419
46592,42198,34736
49323,49299,49708
56408,54852,58419
57577,38547,59606
58752,53599,53244
40747,46800,45007
57287,37253,53183
69509,51095,44908
53089,55945,46440
54360,43297,50840
35401,64625,51107
60344,50143,48332
49655,42083,44110
44738,52142,48875
53370,50969,44191
50664,43608,42155
49505,43938,53954
50446,53791,36495
74734,39445,36641
58533,47757,52779
68028,47522,53332
52038,51912,49346
57847,44251,50290
53574,9339,36545
54073,43747,48206
53887,81195,37950
52818,49472,55137
59890,38782,59128
54204,59232,44699
64033,43802,53454
54388,44309,36081
56935,48008,44473
50610,42145,57030
54570,27150,51666
58192,43312,42089
47612,45694,41102
60814,49579,46195
51901,38446,44964
50766,50225,38638
46186,51525,50076
44715,31328,47774
61151,44018,43914
54627,43167,56942
58559,42514,21505
52728,45244,58081
51281,58552,57966
52328,36989,41344
41938,57168,55629
58642,40125,50284
54081,78895,54035
43367,42926,51849
44275,52504,45489
66714,52407,33767
47747,48413,48044
58924,52643,54038
52954,41163,66683
50812,51654,40532
60689,40764,39304
52809,39306,47355
38201,51349,44117
55716,55501,36232
53926,25694,51804
66537,45522,51096
49489,35187,12335
