Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, t
Steak Houses,Cafeterias,Casual Dining,Fine Dining,Fast Food Chains
521,527,479,895,238
628,454,509,670,282
626,529,596,721,589
576,552,500,438,592
541,580,545,666,517
526,446,576,600,335
469,536,579,741,410
636,297,454,658,523
651,689,565,596,434
656,536,614,717,428
426,567,611,869,442
560,484,655,612,510
505,511,579,573,462
315,768,503,726,528
515,596,576,791,577
558,505,590,514,624
554,476,732,547,389
571,93,506,813,328
535,725,455,584,544
538,410,498,587,572
637,460,618,597,646
653,563,426,538,168
439,519,440,604,455
528,756,507,494,425
592,472,588,468,404
552,600,452,547,428
519,513,697,602,716
449,557,605,701,133
516,425,547,642,632
550,508,618,965,254
525,388,614,672,530
521,416,665,565,583
557,476,651,663,385
545,684,582,571,378
529,283,556,566,474
503,697,333,791,598
508,499,435,794,383
447,222,531,720,144
614,502,646,549,469
614,521,657,719,357
487,510,501,713,380
466,682,694,665,317
448,515,640,515,549
681,512,508,604,507
566,440,551,661,553
550,206,635,643,272
444,688,646,466,407
411,468,527,594,556
599,405,556,581,303
586,636,560,501,432
520,469,422,645,507
432,531,617,728,312
586,714,584,632,294
480,668,628,760,629
489,484,531,898,425
542,668,547,238,454
478,339,427,645,430
637,321,555,687,505
475,429,591,517,137
516,590,560,773,425
418,634,672,804,560
571,555,497,609,440
554,391,609,554,348
614,528,268,684,463
393,363,700,693,476
422,362,605,831,455
630,573,529,603,435
411,517,563,642,515
381,765,686,488,632
503,623,714,203,144
628,624,442,376,542
467,340,433,435,361
443,404,374,509,398
654,681,619,635,570
714,572,541,747,383
557,469,454,798,580
483,614,539,603,449
585,607,595,723,455
463,634,403,624,667
663,747,715,724,636
595,672,521,500,587
635,479,620,620,273
524,420,663,596,324
559,596,458,667,384
595,534,492,600,394
548,533,571,523,553
503,500,660,482,414
530,422,317,556,466
544,784,554,887,468
419,309,462,477,530
386,579,613,729,469
628,522,546,457,342
562,370,575,386,596
427,748,496,664,436
562,734,536,907,529
441,648,466,800,266
678,704,601,772,473
538,423,608,641,324
516,298,600,583,406
617,538,610,453,420
510,389,544,274,429
567,668,479,490,699
550,633,411,515,617
519,556,612,532,459
559,564,490,313,381
438,581,543,475,487
513,479,539,611,630
641,518,475,661,361
524,431,641,696,610
561,527,441,578,360
689,345,504,606,586
573,350,520,577,352
547,742,606,738,310
550,377,309,699,535
708,484,529,772,259
743,749,602,613,582
538,350,505,696,641
