Energy and Utilities, Data on daily energy consumption accross cities, MWh, t
Rosewood,Quarryville,Glenhaven
3841,4619,4236
3602,4950,4173
3137,5020,4316
4030,4946,4473
4237,5428,3592
4115,5170,4234
4204,5815,4188
3938,5657,4175
4396,4649,4247
3975,5421,4399
4611,5132,4309
4567,5228,4303
4093,5469,4381
4686,4959,4226
4111,4741,4155
3376,5559,4151
4321,4410,4161
4253,5149,4105
4053,5175,4329
4337,4535,4139
3744,5075,4331
4099,5118,4222
4078,5147,4137
3815,5184,4306
3495,5202,4328
3914,5360,4208
4193,4736,4440
3431,5654,4069
3665,4864,4043
3805,5017,4085
4357,5360,4244
4179,4554,4118
4290,5209,4274
3891,5615,3825
4249,5745,4273
3917,4760,4328
4054,4989,4289
4104,5057,4229
4081,5231,4338
3730,5129,4173
4386,5075,4297
4135,4694,4173
3144,5251,3947
4293,4971,4224
3676,4877,4110
4824,5554,4294
4662,5177,4131
4157,5586,4218
4435,4758,4144
4004,5467,3977
3852,5129,4247
3890,5488,4245
3357,4958,4023
3305,4656,4281
4350,4724,4265
3756,4986,4190
3937,5408,4241
4339,5017,4250
3920,5419,4392
4003,4813,4139
3761,5045,4270
4134,5286,4142
4314,5033,4133
3567,4876,4458
3668,5039,4369
4526,5119,4189
3455,5609,4251
3712,5652,4130
3744,5430,4096
4152,5478,4313
3824,5458,4232
3973,5326,4407
3901,4902,4170
4021,5130,4338
4285,5034,4270
4319,5180,4020
3767,5394,4273
4343,4920,4455
4287,4856,4227
3876,5392,4039
3463,4888,4243
3739,5149,4267
4111,4885,4359
4704,5222,4250
4140,5373,4208
3493,5117,4255
4303,5209,4153
4464,5646,4449
3620,4482,4504
4129,4891,4230
4381,6201,4280
4131,5078,4298
4626,5031,4024
3971,5008,4314
4202,5264,4284
3887,5230,4084
3869,5055,4027
3757,4925,4558
3780,5434,4041
3631,5124,4179
4136,4780,4347
4328,4890,4454
4296,4893,4312
3645,4901,4318
4042,5419,4260
3815,5299,4082
4144,4610,4017
3868,4530,4481
4263,5487,4492
4145,4977,4246
3907,4598,4244
3789,5308,4051
3576,5448,4337
3418,4379,4185
3676,4831,4298
3437,4599,4211
4557,4949,4141
3647,5041,4168
