Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Yorkton,Brookfield,Pinehaven,Westport,Dunvale,Rosewood,Northgate
730,716,1137,939,686,962,940
1191,878,978,1092,622,1033,1570
801,850,1203,775,411,928,782
990,1036,767,714,799,1337,1243
1139,1331,1061,1089,964,1163,1306
830,905,1178,883,872,858,1331
1096,1098,1149,975,1250,1309,896
140,950,477,804,760,1344,1067
827,1214,1238,1021,1218,775,973
948,1073,1155,1008,1098,768,1082
457,615,1076,961,897,993,955
1000,332,1175,1141,1110,1027,1702
1031,836,516,579,1068,476,941
957,946,973,1091,699,1479,1380
594,615,982,702,948,1007,1415
1040,1572,1302,693,777,1215,972
676,916,659,1189,1341,1139,1173
771,1184,1199,882,561,1494,595
804,750,1079,726,1198,891,932
729,1122,772,1246,329,800,1179
664,367,1160,579,1079,1542,1457
1158,849,1007,994,923,830,1189
710,1324,935,750,751,933,1383
787,1320,1199,1188,708,853,1331
1054,397,515,772,1491,1125,1028
745,1002,1344,1458,663,688,1159
475,896,1307,1227,512,962,1314
888,835,1123,925,997,867,860
1232,1253,1101,1148,835,1331,1383
801,976,808,436,430,1036,1217
878,880,914,1229,947,1450,1010
461,1075,568,1172,34,1462,593
745,952,616,1300,925,1443,756
1048,1057,718,1126,264,1503,1185
710,1007,992,1007,1204,985,944
657,742,694,830,762,1374,721
584,917,1367,1134,1520,1236,750
664,1088,753,1006,1226,1049,1220
926,1020,570,988,858,1146,847
363,1195,1193,947,897,883,1073
933,716,784,1067,1138,1326,1032
358,1009,716,959,1297,1335,1159
369,1218,1097,909,1014,978,1183
1270,1584,873,871,1010,1503,1114
1044,745,615,1083,1472,1028,1290
912,1032,1066,1413,969,1154,1158
689,806,1328,749,1472,1203,1257
789,518,738,1488,1229,954,1244
639,1402,1455,1031,1153,930,1021
889,1194,774,1294,380,908,937
511,999,781,755,677,860,1248
1237,959,1004,1080,958,496,723
765,1358,841,639,1203,1557,1249
862,894,1276,1055,1424,1092,1258
435,766,686,1005,738,950,1130
507,1042,1121,1291,450,1517,1349
1153,1050,1166,962,1323,957,998
1105,613,565,1004,416,1360,1379
568,285,608,607,834,1137,947
800,1449,523,739,302,1135,842
334,1342,1054,871,812,754,1195
840,1013,741,1185,739,1295,1130
841,745,839,1162,872,1320,1219
718,1081,556,1312,831,732,1026
775,1605,741,1009,1415,920,1385
813,984,1142,1193,1156,1432,513
1065,755,1266,1115,835,1044,1273
849,575,1358,1019,1317,1403,869
1119,571,928,1260,788,641,1263
789,449,919,1001,549,1408,309
415,638,425,361,359,1310,658
839,905,957,1046,1046,1098,1040
837,842,659,1251,724,1246,1302
990,812,1029,327,565,1391,706
614,1322,620,833,700,848,1071
914,867,1007,1213,912,965,926
897,665,1186,1061,521,492,936
719,1066,825,934,236,1127,899
667,665,997,1307,1458,815,1493
417,1240,825,1219,1388,984,1062
950,952,1343,792,1068,1264,871
558,804,1078,1014,1047,856,775
785,1223,1303,1079,1080,1379,1229
395,877,957,790,852,1228,1314
650,1209,849,1320,1452,811,1272
753,1051,1158,399,1293,1079,1255
810,1221,579,852,1197,1333,1338
926,577,551,1002,923,847,546
637,1191,749,1081,1324,969,1007
1232,1002,1422,1038,1481,1141,1303
858,714,1268,1091,903,852,1575
603,945,996,776,1577,971,1552
1230,1148,1171,863,1000,761,732
885,1283,1022,612,876,1171,1228
713,797,888,1113,941,719,968
805,1100,1301,1415,1015,833,968
958,1125,1046,626,535,1030,1631
940,1047,817,1031,508,1030,955
854,1079,852,619,1294,751,1091
702,963,755,1308,551,1032,972
734,747,751,926,1074,1010,1104
1126,1087,669,808,776,1141,679
1064,1344,1488,1028,1285,1245,691
1103,1596,904,1403,1443,1262,590
657,949,961,997,751,1594,990
1110,824,1049,1349,1334,1022,367
1036,1194,1015,1148,852,910,1351
1129,735,726,1165,1127,574,1282
945,675,995,611,1179,1621,784
746,989,893,1285,646,1578,1043
787,782,827,995,1064,1340,1305
527,584,497,1090,798,1327,1403
710,1317,714,901,994,1317,838
1135,1111,1176,591,592,1442,1512
1057,682,821,873,710,1102,938
642,1143,1517,658,935,1349,1464
939,787,957,884,1388,1410,882
