Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Elmhurst,Dunvale,Zephyr,Mapleton,Westport,Springfield,Oakridge
34635,110398,24202,49311,51896,47011,61844
41807,68273,28962,72151,29060,52137,47663
27095,49759,56206,137102,77461,37563,55741
62437,36963,52015,79618,49753,39682,38893
45146,56158,84646,75797,69209,78034,61738
77113,82134,56843,62934,50286,30877,43061
67830,66104,47441,63617,78770,24075,35119
47963,42702,48686,75634,46863,84618,49908
66361,73792,50252,63054,54627,73038,64799
59582,31531,56448,45137,64323,73895,84524
59054,21728,42997,46818,76650,76741,50821
46273,63739,41506,48523,36369,19378,52082
52773,81908,21259,98276,51197,34798,88771
26131,37478,33200,80348,39749,73770,34471
60015,43860,48726,69513,30871,37839,43004
63551,68151,61289,46828,45367,45469,49097
77092,74477,106852,49225,39872,42161,32061
30947,71814,42143,81231,71838,77386,70279
21959,113336,84213,136604,45298,73228,36372
91426,90007,66174,83176,33371,25561,31299
52053,43706,51442,95896,66750,64556,43145
33372,24765,109044,54655,65175,36783,38510
30636,41415,46100,107043,40267,56579,45015
34685,60259,26115,68126,34559,92056,43379
33652,36229,34109,60533,67975,58519,40114
28749,33935,103429,49518,80854,92981,64066
86123,53213,38495,69040,29353,25286,88756
50986,81444,46935,34117,53511,53890,39135
66711,37225,61408,80188,84136,46367,89515
62311,36546,46386,69570,52647,32516,45129
63018,42504,36967,46260,63201,46478,48389
95125,32181,28285,92523,34405,36529,38888
39142,48362,32704,39144,88300,52386,39299
35338,29980,81416,65426,39218,64461,78034
41579,23982,39646,63952,70004,50467,47243
54114,67158,69224,58433,63470,26697,71444
84449,55447,60503,66387,44635,26754,40795
64344,35155,40018,64981,55001,58734,95992
53525,31259,23303,41595,65885,54725,70222
57428,28463,63168,65937,38810,30168,66917
78031,79280,57786,65021,51800,45632,67577
41372,83942,26965,55519,40203,27677,32043
62228,38514,39425,53982,63185,58243,80355
26380,68049,41442,52143,56009,36113,54060
93602,68696,29397,68720,37638,78062,28155
68734,73392,50530,69658,42775,43081,45643
48431,89135,50308,61759,44364,43735,37703
43673,42495,51761,53781,65338,73570,31820
31470,79920,30318,63353,58885,84602,57061
30560,49683,30116,55049,64865,78335,71725
34161,25342,86011,52093,38897,42929,38416
31549,77826,48322,87951,73995,55440,33110
75303,56983,81428,45158,33010,45342,45463
92690,43761,91490,55208,68978,59205,32314
34097,115178,49675,96474,39612,69306,43528
72835,66042,66980,56743,27939,48173,52299
32703,41137,22717,59077,71946,30338,67429
44109,33934,24735,87630,43824,51616,79248
57625,48758,33381,69334,39856,46500,87204
51949,78270,52014,52939,32720,19693,41643
51106,31112,94965,61062,48548,72736,84161
94851,83852,44506,62319,44781,31528,46280
91435,122189,47198,46902,75916,49440,64774
33655,58274,33681,42889,67624,30615,32302
37391,39147,57114,71848,59789,74782,45916
58171,56179,53138,37937,53713,75027,46920
39051,69756,20227,84349,36247,58552,60013
49172,43036,73733,103178,68207,33426,63807
57002,59070,45090,77664,51314,28326,59101
23643,61080,27524,34923,38346,51577,54526
38313,51320,58329,32904,39064,24700,56379
30734,32987,26609,31947,33515,28500,64178
59909,55527,36814,56448,85120,88254,49929
30788,44955,75668,31129,34960,22313,49230
42657,93945,32504,27462,50540,23500,43059
64807,83095,62943,104578,37241,33117,71043
40587,70068,40799,44358,82722,25071,65033
45038,51951,35084,69138,46356,54009,86972
49808,108870,59019,43593,39760,63904,73087
44123,42915,56689,99885,43334,64492,51830
50557,78193,27352,42071,52872,52024,48306
48774,31285,56308,36625,52641,54581,36456
46165,64788,90394,67432,67650,36595,37016
53648,81941,86880,68697,44705,53049,37554
53361,27641,64294,125257,51104,93021,32026
44704,54564,51236,130595,55026,51442,53945
52768,31467,35014,57432,39505,22494,33631
49036,48337,39058,69769,63317,76150,77405
83411,49610,64261,62035,53621,101911,72644
48978,82069,45786,67724,41995,72401,68204
33355,50998,74805,102520,37150,73151,75851
82809,61719,44671,61950,42393,29768,59672
32791,100452,54238,41601,53136,79273,46465
29501,57152,26741,76970,69896,36211,64556
36023,76182,80904,89103,36920,39963,97749
33493,47630,50300,69370,51556,77408,69653
48522,46062,31966,38929,47989,27775,43836
67714,91231,27858,69674,38741,24606,79679
56794,95766,67755,75529,80198,62216,50159
91719,72403,42973,98475,39519,40788,50592
50482,75442,50350,70005,43606,52608,61505
59150,26115,34981,57488,56765,66455,55057
31859,97410,114784,70243,31157,64842,79480
51029,96133,68521,50530,77168,54675,41463
33050,93206,43751,98781,42397,45730,53718
92996,76827,77527,49036,78255,60934,54430
77411,51042,90343,61487,40285,59339,41417
32548,22917,69090,85765,61286,34861,101362
50296,46179,96321,78517,54880,42795,81569
51096,43242,70874,73238,69328,52066,33992
63493,122833,73985,59064,59482,59106,46099
55324,37335,47698,27914,53487,52339,64505
40677,93480,106035,49344,36254,54459,35442
54565,30948,39735,47006,47660,62945,42945
62193,46785,30871,68972,63353,61158,45464
70797,67611,47188,58432,56944,95435,82521
55374,77498,35839,45289,45630,47866,48956
56660,42862,28051,65955,46639,50708,44164
