Agriculture and Food Production, Crop production data for a particular region, kilograms per hectare, skewed
Jute,Soybeans,Tea,Flax,Cocoa,Barley
6771,8010,4520,8349,10698,7554
8147,10070,4291,5953,7087,4697
6358,5731,2805,3649,5735,3848
6574,6780,2368,3274,8359,4320
4389,3955,1790,6437,8774,4352
5945,4440,2861,7482,4760,4584
3972,3390,2109,3658,3566,7296
4935,3249,4017,5052,4420,4463
6162,2256,3868,5628,5636,6082
3471,4098,7426,4679,7060,5464
3704,5625,1618,4812,5843,6730
4912,6389,3008,8286,9486,7609
9459,4271,5837,2263,4402,7760
5039,2512,1793,4907,3611,4709
4579,9761,4573,7050,7819,8287
8893,3388,3068,5596,4287,4982
5518,7396,4329,3264,7248,2814
9768,3042,3395,4223,6476,4267
3674,3269,1924,5334,5752,5931
3912,4135,5659,3835,7813,7878
12021,3950,2004,5937,4073,7320
3966,9142,8021,5693,3688,6917
7205,2348,3913,3406,4308,4842
3958,3787,5628,4278,6804,5415
5591,5052,4305,2948,4720,5074
7263,4840,4322,4111,6054,3554
5816,2565,3789,5791,4165,4273
6692,2785,5894,3665,6312,4034
5059,4538,9585,9075,6934,5380
3781,6677,3147,3126,5151,3926
3803,4480,2544,3650,4756,5939
5914,6352,6199,3586,9193,5778
5174,3152,3895,2455,10259,3090
8809,4147,9309,3578,4081,3469
6617,4980,6433,4398,6601,5255
4929,7650,4762,2676,8417,5634
5764,7065,3947,2762,4465,5957
6160,8992,6046,4033,4368,4426
5585,3895,1851,4788,6550,5806
9192,7771,1502,3546,6011,6316
8044,3528,6786,5026,5774,8777
3467,6430,2667,3253,3919,3624
8174,2965,7433,3635,10649,6157
7998,5883,6260,2646,11156,5949
6922,5642,2796,6274,6688,3412
8233,3790,2401,3313,5483,6829
5415,3729,2180,5453,5836,9680
6265,3866,4927,2120,10415,4772
11783,2747,4853,6752,7067,4864
4315,6684,7512,3713,4855,8483
6906,7033,4096,2114,5354,3512
5747,3445,5374,4476,3949,4076
6320,7705,7075,2894,4661,9823
4268,4214,3476,2878,3146,4967
8266,5061,4354,2900,8951,6770
6876,7045,7585,3806,7771,3406
5125,6342,5828,3252,5813,9835
12124,2467,3834,6639,4161,4469
4547,5215,9838,4583,9019,5658
8791,2549,2999,7799,6473,3735
7753,5920,2920,2640,4443,4297
4560,4387,6939,3232,7512,4610
6220,1822,2957,3129,4223,3307
4469,4625,2797,4840,9228,6165
8155,2846,2189,4915,6188,5269
4586,7185,1969,2711,5874,4839
8318,4129,5246,6275,5129,3756
4974,3193,4351,5275,4426,8716
5037,5041,3921,2871,4532,6908
5741,3410,3522,5959,5580,3623
4692,5467,5108,6443,5198,7560
5347,6350,5672,6489,3254,3263
10907,5021,2692,4300,8135,2653
3617,2157,6136,5977,6419,7326
7214,8617,2149,4377,8265,4187
9594,3314,2273,2893,7591,6169
3530,3894,4029,5218,6024,7161
7477,6409,7093,6957,8239,3703
7123,7066,3570,3246,5268,6739
9029,1716,6344,3740,5133,2839
4393,7654,3967,3446,9244,4483
5351,7575,5159,4865,6121,3045
5078,4014,5698,3359,5812,4530
4327,5801,1939,2956,10589,6328
5069,6406,4890,3446,10477,5601
7367,3252,2552,2380,5504,8385
5106,2096,4406,3591,10648,3976
8660,4093,11196,3224,4962,5777
7754,2604,4146,5602,7427,5705
7536,7577,5702,5136,10876,5715
4854,5705,6831,4759,7652,4845
6993,2064,3329,4865,7948,4929
6844,5464,2870,4713,5623,4012
6811,6184,6746,4011,6691,3500
13258,3903,3112,4169,6329,5258
3691,3047,6444,8007,5135,3236
5265,9873,3078,3528,9105,10553
8592,6765,4312,2585,10002,5278
10024,4785,2989,2882,6251,2614
11425,7875,3586,3035,7839,5721
7779,3407,4472,6227,5261,4439
5835,7037,5038,3561,5034,5760
5568,3754,3626,3775,3215,5027
4546,1741,3626,3419,4704,4166
5848,2299,2658,4874,8631,5155
4555,5380,2768,4905,8190,4691
10141,4078,2775,4812,7769,11267
6583,3730,5549,3242,7236,4205
8189,8507,3240,3947,5216,5753
7023,5164,4096,5576,7427,4806
6199,6226,3077,2188,6329,7128
6059,5777,3344,9278,7061,3826
7547,2096,5928,7646,5411,4890
5551,2251,3103,3870,5680,4163
4939,4849,7885,5874,4606,7030
4704,3496,3930,7078,6269,6029
7028,4565,4338,9225,4034,5653
8972,7368,2818,2317,7013,3631
