Food and Beverage Industry, Data on the sales by food and beverage sectors, million USD, t
Bars & Pubs,Buffet Restaurants,Bakeries,Food Courts
573,744,696,484
642,563,648,88
331,432,549,346
725,437,569,521
545,497,520,558
614,840,601,367
676,554,646,293
749,795,545,548
575,405,739,411
620,651,666,464
604,402,531,447
463,598,626,489
584,581,466,474
438,354,579,608
725,486,795,496
587,644,560,248
679,686,490,441
469,794,592,535
607,540,686,503
578,610,605,450
621,434,603,552
643,571,504,732
676,497,717,511
596,289,707,530
492,662,726,422
466,726,439,326
63,665,596,464
727,431,683,528
527,595,605,441
553,582,589,511
556,385,680,444
612,451,488,476
669,546,681,620
612,493,512,523
765,503,773,391
443,667,389,406
313,554,793,439
624,606,416,562
628,448,509,521
759,605,577,567
568,543,484,394
494,607,696,367
502,738,591,547
639,521,649,485
594,602,535,374
579,661,492,529
644,412,636,687
747,180,615,518
475,579,642,526
604,658,468,551
650,578,626,436
446,465,576,454
655,591,513,422
577,647,429,522
623,362,656,562
344,611,525,508
318,670,615,576
608,656,524,638
727,357,587,543
665,579,629,311
712,750,463,536
476,659,522,513
509,634,466,499
748,636,697,373
556,632,741,369
513,599,662,621
341,483,739,702
598,489,634,407
422,483,694,464
659,504,615,560
426,622,598,364
233,557,627,606
509,738,593,552
846,528,530,362
270,792,604,563
416,719,769,441
525,248,445,308
448,620,476,604
506,536,543,573
431,523,629,527
615,483,624,517
644,463,682,453
588,589,385,609
624,594,576,391
484,442,711,534
531,684,734,383
666,444,824,541
600,558,742,327
521,536,751,474
542,567,687,255
806,630,556,460
347,687,641,532
470,785,663,433
754,486,555,428
545,738,651,477
507,497,241,502
534,710,473,557
727,501,474,745
532,578,572,439
617,535,738,739
594,607,758,576
654,623,704,419
633,579,619,351
889,414,747,461
557,567,755,419
845,605,657,522
626,652,569,398
531,723,560,326
509,596,617,578
722,300,707,400
636,581,555,356
591,513,757,499
558,612,620,522
482,687,577,516
544,499,683,392
428,461,614,566
619,560,794,317
