Sports and Entertainment, Data on the projected box office revenue of different movies, million USD, t
Plain Sight,Empty Roads,Dark Horizon,True Edge,Final Reckoning,Fading Light
450,749,53,353,510,431
311,588,489,608,495,503
496,668,865,610,461,474
473,474,558,635,330,610
377,722,509,498,401,508
524,645,724,654,428,467
360,583,761,386,361,560
499,654,582,609,376,668
650,889,465,539,322,559
425,681,563,663,558,655
141,535,611,585,468,492
552,782,523,431,526,452
657,683,538,498,548,500
477,691,863,500,488,530
435,796,654,770,485,321
484,595,537,567,409,507
224,739,578,712,423,563
608,713,887,565,225,640
733,665,631,471,515,643
580,464,633,412,465,344
381,527,688,600,429,611
652,714,638,573,323,500
526,713,541,297,460,694
709,540,747,595,290,465
569,641,573,649,511,461
434,560,717,676,493,485
548,696,543,610,477,404
511,603,668,347,526,556
428,669,460,525,445,422
355,737,646,842,497,861
600,653,459,352,443,461
435,680,509,476,349,631
628,569,920,360,342,271
446,607,671,680,459,574
510,576,467,412,502,558
419,833,755,477,412,560
632,542,549,427,431,594
559,649,494,495,524,542
499,642,566,676,518,527
568,592,540,683,364,605
515,605,339,761,325,502
416,659,691,522,284,363
441,675,453,375,471,594
537,696,583,671,213,522
321,671,756,617,306,453
550,652,436,820,560,524
406,727,634,644,363,631
341,730,637,480,444,267
653,514,864,373,431,685
633,695,767,570,415,512
417,716,660,697,350,433
709,662,638,596,471,15
575,705,636,484,457,641
533,592,575,631,190,432
520,762,568,589,224,491
640,697,692,697,597,495
424,675,533,769,352,398
522,606,648,721,531,550
568,712,518,680,395,475
325,654,466,572,466,673
419,701,941,395,386,452
268,575,529,727,492,511
404,644,350,518,402,528
641,584,330,479,464,541
696,644,594,445,607,412
499,638,635,477,405,329
410,536,504,598,496,576
443,598,517,518,337,535
469,623,571,476,93,454
507,822,548,559,363,599
440,618,544,662,194,611
287,628,682,651,226,562
457,600,558,189,462,314
581,641,525,339,226,499
498,700,705,595,288,515
601,557,681,622,334,567
560,624,798,641,399,326
550,549,294,601,234,577
577,754,906,292,209,593
645,713,213,541,373,492
613,689,799,658,337,570
441,620,592,474,490,303
441,373,719,472,476,557
444,711,735,646,325,721
360,521,675,545,365,636
580,636,335,402,436,478
516,789,715,432,391,364
671,593,592,683,363,483
565,615,553,682,487,450
628,598,584,633,419,453
673,567,572,701,248,731
586,549,681,668,601,437
250,558,680,575,384,628
645,641,610,651,224,499
448,649,564,572,455,531
582,644,667,499,386,522
292,592,526,328,544,574
606,631,814,753,307,528
672,658,693,703,620,601
564,692,831,596,597,547
543,808,342,538,455,663
385,734,636,680,553,546
465,645,615,538,515,666
643,601,733,595,577,447
456,661,910,497,391,515
503,547,403,850,258,426
562,552,653,702,249,580
432,728,574,598,445,594
528,757,607,734,427,527
593,691,512,466,646,391
664,726,291,508,504,405
738,747,719,493,498,398
398,362,521,752,167,459
602,593,727,558,470,452
681,683,585,704,388,572
671,562,669,620,586,570
569,696,711,514,589,363
