Human Resources and Employee Management, Salary of Employees in Different Cities, USD, skewed
Creston,Quarryville,Brookfield,Westport,Yorkton
51565,50426,48613,32140,62713
33396,46757,60402,32665,54301
49909,66419,44576,26904,31918
58878,51974,41201,79203,62595
34306,46781,79422,33276,30589
63751,85846,122695,30819,37640
64207,40447,46767,37547,49053
36650,31209,55763,76689,45039
97596,26070,52436,115089,37910
47128,61152,63917,96101,24949
34807,27202,47387,68897,38359
31530,67622,55059,54362,83781
53692,107066,41706,37974,100936
95747,83862,57268,65738,72040
49481,73137,43572,99103,84772
55044,61043,46103,40558,90178
61321,46572,29147,50084,92836
78565,36956,94975,90224,22153
61530,48321,92996,44159,58120
56376,93537,86743,51420,42256
42801,28415,71761,82106,35157
40669,36577,64832,61374,67687
61557,64554,42912,61864,73085
62651,67195,41040,68246,33061
62905,36053,62396,43503,22632
74964,43144,100169,44389,45883
47357,41552,77007,47590,53117
32479,71032,90239,65918,62829
46868,51019,31569,34352,25929
38629,67040,31681,76405,42166
39515,37468,46890,64286,42699
31173,71936,36392,39854,37288
42273,95132,123580,72550,30175
34042,56508,48045,42981,55598
65321,50840,39183,74629,23137
60669,83507,32637,50836,28166
49614,54068,48141,41211,53488
84685,63632,63626,31961,86405
63988,52544,29103,23027,30285
57633,48662,68595,120240,67237
55222,27415,64331,58772,30837
40046,63467,64827,63627,63333
54563,42153,33446,86710,58470
30135,38707,63967,90815,57779
34673,52644,37860,46579,37816
87933,37352,61635,39807,75429
52182,65731,53811,57834,50272
52027,61367,40812,51394,27613
66141,39759,66910,72001,64826
33211,26393,63026,36830,62336
86827,58854,57828,84895,54211
49010,53431,75320,25601,72847
74607,36710,80850,92831,31946
57703,86561,43494,109117,88748
46944,66323,57100,56180,33557
32250,74002,62424,51077,62129
34362,104404,42151,41060,30441
57356,36947,31785,78554,52976
61734,42127,94695,85991,73344
51777,89031,41644,49863,34058
67095,38352,58860,41892,73828
59383,27416,60982,37195,69194
66039,66968,29000,48297,43146
56510,85057,89521,100402,37436
47723,73317,69373,60116,25140
96726,54605,125782,73297,41635
97040,63047,68487,34615,31033
59503,92733,66479,80933,51558
44005,106539,62579,77139,64908
48454,43914,58406,117337,82220
83209,63628,33157,95938,28511
103369,86152,76540,63400,26481
65296,70183,54820,49553,33355
60035,33620,48754,54780,70422
62800,54232,49060,47900,26920
39739,32808,90846,119302,23662
40987,37763,54465,52709,31671
38910,22201,92663,40335,65719
27424,69920,26127,40471,44968
33545,51043,123135,23092,37585
54065,47727,101086,32239,75010
55829,29327,37144,44437,32496
82713,31840,42374,113075,31253
46435,40032,44359,36989,39384
71322,76765,66221,40379,63409
82748,28241,88345,58470,62127
65570,36688,65618,34436,44270
44101,70534,90997,44094,35663
62451,71501,46078,61428,35113
44978,69338,83765,26862,42075
46895,89009,43406,46606,34848
83633,81314,30931,37110,42049
58696,36159,116599,35850,64300
39110,59207,72728,55198,33672
41385,65976,60790,61753,54595
54002,71366,52443,67523,48695
65632,35447,54188,57310,37152
51607,80243,89943,41417,48573
41687,54037,44237,86633,36219
35094,54720,64647,74931,61617
54395,39124,90488,31139,74106
34280,38510,58429,86762,60219
79325,65352,74795,72997,77019
33071,51160,72770,52544,57749
65896,50189,46911,49989,73283
49946,75155,136352,44610,32359
80340,54496,111768,46865,32196
50128,59270,103299,64176,25602
91885,56000,58190,56646,63748
72915,46778,44672,32753,68274
62464,36220,63398,30339,42342
47558,66523,106713,64453,32710
66037,57693,60325,39575,68169
61831,60958,45273,92509,40414
97454,44793,45203,32977,34279
30883,33646,55124,67834,57716
36764,41133,72825,69225,101166
48238,38912,45246,46134,44456
