Business and Finance,Data on the monthly revenue of different companies,USD,skewed
NextGen,QuantumX,UrbanFlow,PeakPoint
6820631,3177183,7830702,5716733
9728778,5570257,11482370,8925969
6244179,4990999,6497920,8273597
9559697,5835773,7306660,13388858
14568459,4504761,6578606,7653858
6870212,9408026,7954799,9740585
10768667,5851091,3954867,5877347
5650181,17958425,5833084,2443420
7327340,4646917,13822540,8383457
4540515,5866472,3286071,7243879
7317552,7509323,18187772,4248071
2821200,8095870,8308961,6490459
7724679,4638868,9609329,4646024
6268236,6202401,6715280,2676575
15249389,2792072,7656286,3367391
7939063,8537708,11089967,4109947
4434257,7765158,5183994,11398577
11971688,5902885,4106019,4806764
4018909,3023887,8138996,8451693
22511069,11072744,6367731,7795284
6643654,3289969,10968851,5828687
2704653,8367340,3930329,3684449
7146949,6624711,6105820,12210483
3462672,4240425,3456447,4674917
3450099,3562544,7496467,8400956
2369437,4921199,9252192,7987508
6832816,4269517,5707816,3924475
2732217,4158208,3958692,5942999
11005807,4923279,7349655,4467120
8928595,9719647,4134151,6479942
6562435,6015176,2623636,3582773
14499635,3162012,2457828,4339046
4651183,8641872,4377672,14432593
7353065,7287573,5641094,2308029
4948302,7867205,3818015,5789096
4337867,4417675,6136174,14027385
6893388,8682072,4834912,8576595
9869329,8867940,12750437,5162761
7568612,4358407,6497281,2931270
18237667,9690946,5438175,3245728
6719632,10169937,3774941,7680403
11919516,4287892,8713740,14791758
16455309,3679602,10103691,6425325
3288579,10184597,6931087,4355500
14591468,4462263,4886287,9523507
8009774,3655674,4278091,5946258
4288821,9680897,3054659,2872024
5777863,6525533,3797043,4855626
6562089,3276158,5833635,6159683
5789870,5012261,3385029,11061643
12212783,2797184,4046795,6623161
4594490,10641942,7083294,8096003
3327730,4375969,3259651,2686480
5412871,3624167,2948190,12263812
2696717,4331645,8321148,4748536
3555925,4257345,6395645,2466253
7527479,10155452,2350247,6652306
5590457,9456328,2423225,7304202
12509258,22101321,12580691,2839539
6076139,5019050,4434485,4719467
11127258,6176522,5542339,4504801
10061391,6334240,6720376,7938543
12121921,11353981,4645242,19717859
7391309,4201640,6034208,7058480
4971344,2489342,10937197,8748901
7411304,10511017,9176539,4280024
4738689,10016398,6701722,11153634
3065428,9940686,4682687,4260853
7609964,5125799,6505251,2712010
12268446,11595953,6639398,5902395
7004380,5370046,7683583,3508739
7166834,5103361,7514387,3049121
4137469,3410880,7429649,7541688
7618585,3517264,15716452,10151239
7249501,7364621,6723177,4727576
5038556,9744138,5937177,13049890
11464089,6501280,6552706,3528357
2894775,7594960,2412187,11125240
5347494,6253325,7994868,8700679
3762625,4055783,5641077,3677988
5869460,4820290,4406961,15544820
2786340,5874474,5959550,2794891
13782648,2732254,2397788,7939747
4459129,7530317,4659055,8297386
11934637,6760763,10233328,2900655
4674000,6563270,12564127,5940002
3156057,2703773,5720273,13215290
5995670,5103816,2724192,2724679
4068315,7922468,3472489,6435101
15046969,4129573,9047145,10966959
3876812,7747483,6574722,5357459
3522461,6911067,14845511,6672653
4289624,4055416,8583536,2985345
11120855,3004002,4976131,10483455
4187731,23591898,11605491,10758217
7543178,5279225,24097059,11302987
7224722,3861480,4365514,2307049
10954297,8274657,2754207,7481098
4247491,5009930,7613588,4383277
7009259,4248405,3077325,10135195
2439072,4029284,7828202,16626718
10281985,4620310,6109057,7902080
3814205,3072436,4495338,7663183
3421493,5076046,5198631,6111034
8635080,11286805,3116471,6504986
9774551,4847297,3095169,12461181
18811749,5222754,10678864,3798055
11086169,10858987,7043558,4778404
4886823,14350555,9622992,6252281
4483733,3595343,3767904,6045322
3687555,3044209,16927345,4522797
9446706,6968262,4791186,9200606
4939300,6192245,5417967,7477096
10087287,5247521,3769921,4548349
5014104,7124599,7651313,10879158
7853020,8079785,3359855,4281419
7509739,14705715,11867270,8073738
6526628,3815877,6691370,4299317
8847914,3941717,8329714,8079630
6641473,6286962,4475983,4069937
