Retail and E-commerce, Daily sales statistics by product category, thousand USD, normal
Home Decor,Office Supplies
318,253
281,324
323,240
282,313
352,223
385,297
184,250
259,292
269,258
266,261
323,288
295,333
264,295
262,219
285,320
309,283
288,284
232,283
233,262
287,300
286,233
375,285
318,296
403,257
392,301
314,219
238,234
294,237
236,206
173,236
246,322
155,212
364,278
340,295
251,291
273,173
256,310
353,259
201,238
179,281
137,262
208,202
327,303
240,290
269,184
192,302
242,240
210,237
284,222
260,260
315,233
209,253
234,291
177,242
324,278
241,352
295,204
234,226
149,225
319,278
338,310
259,262
273,209
396,298
258,257
314,247
319,252
186,276
389,277
223,234
240,247
177,302
330,251
313,259
326,182
203,265
243,254
289,164
278,306
350,302
262,228
223,239
284,330
267,212
197,241
305,316
318,262
161,323
202,242
315,250
259,237
298,210
247,221
346,332
320,296
200,268
223,253
322,283
207,271
276,291
255,273
149,263
225,315
211,318
193,272
320,279
157,251
315,281
315,324
416,266
169,261
353,225
174,268
249,219
179,235
289,285
225,231
226,339
