Tourism and Hospitality, Statistics on the number of one-day visitors to different attractions, Visitors, t
Misty Trail,Hidden Valley,Maple Arbor,Sunset Cliff,Emerald Beach
4814,11298,14978,7599,14869
3337,7509,4890,724,3909
10101,6499,2485,8130,11534
9243,5547,6128,7617,11574
5077,13915,4283,9691,8434
6873,8622,9290,5311,7559
7771,9643,1634,4543,11321
6724,12614,4139,10017,7840
4289,9690,11715,3987,5688
10381,20413,7531,5759,7178
8389,12435,11181,7626,6823
3441,11333,6865,12005,6505
12105,10238,9678,9842,9096
5925,12373,8583,4294,8712
8341,9176,8485,6147,8603
14360,7852,12335,6691,8525
4047,5710,6436,2692,5509
6548,14420,8861,10656,4136
7124,5743,6865,9011,9316
20656,6928,17087,8514,8696
4643,3387,7853,6176,9064
3591,12982,16839,7503,12392
2591,8626,6200,8213,5886
5954,11744,8417,9714,11787
10351,12260,9304,4792,6342
12345,6024,6162,5778,3857
9015,9634,7162,5151,7861
6669,8420,4073,11935,9718
7736,3467,10200,1438,9914
7326,6083,10983,7155,4608
9136,7113,2494,7192,10045
3978,2017,14810,6964,6914
8675,15184,5198,4379,12082
8809,10784,6224,6787,9709
10600,11087,15066,11872,4636
6542,12692,10466,3516,12189
8364,8506,7129,5996,8727
2766,8588,5585,1774,8324
8094,8192,233,9744,11608
5893,9325,6048,5984,14479
988,9888,9153,7042,10706
4868,5038,14262,8305,11901
6008,6096,7721,9709,6474
5019,9497,9533,8344,5011
5624,7139,11213,8054,10440
6132,7867,10829,5198,5335
2113,8422,7597,7463,7176
5047,6928,10443,5090,12717
5173,12500,5496,5308,1643
8114,5761,8359,4159,10633
5694,9349,8761,8015,7771
7582,6603,12273,5121,6986
11342,8436,8650,7636,7900
3804,13110,10622,7698,5036
5384,14950,9081,14059,2158
10094,9640,15780,12128,3514
7141,9545,9057,8272,1915
13053,11606,9657,7489,10015
5551,7163,7867,9012,6932
6167,8515,5960,3319,7601
6937,13046,11493,6869,7700
7051,11977,2809,1653,10052
2106,9783,5313,9530,11389
7357,11768,4480,8358,4664
3374,11600,8082,9660,1529
2984,11584,2365,10192,13481
7569,11187,8965,6178,5160
8716,10004,6096,6943,7213
5804,6246,8397,3680,4527
8903,7118,6735,6979,6990
8997,11965,4727,2335,4997
15469,12121,25070,7106,10155
5652,12152,5461,10071,8972
6902,4069,8946,4276,7037
3969,14385,7151,7786,3894
5619,6193,10145,13814,6434
8699,10042,6055,9131,5720
5473,6276,8469,4825,8242
4273,14035,7266,9059,12662
7716,4320,3513,671,3677
12413,8712,7032,9742,2690
5132,9175,2678,6295,8954
5581,12985,11558,5991,8727
5367,2122,6554,9983,9168
6266,11262,6242,11725,8857
8745,11022,11427,8118,6787
3821,7191,15094,7569,9629
2994,10783,21023,5591,6297
5866,8453,8971,9080,8940
12799,13436,8906,5187,10730
8215,9945,5222,4455,11381
8794,6365,9038,6583,9279
6450,14532,8700,8511,7454
4749,8868,11226,13336,8609
7,12030,6857,1799,5490
8575,7442,2991,12176,8195
6548,6786,7661,5782,12211
10745,8327,14848,4761,9953
5363,1645,20406,3926,4870
3480,14329,9011,6385,9300
13130,9747,6551,4125,11911
6159,10239,3364,11038,5257
7282,14567,12644,5114,4855
4752,3913,7547,8265,11774
4987,8044,8457,8957,11058
6837,11297,4109,5790,4906
8773,17360,7424,4375,9224
6393,4147,9407,9312,11058
3947,12681,5191,8792,12879
7021,6205,8744,9899,11239
1913,10529,10349,5699,1710
7110,9818,9987,10258,13110
13461,11359,7044,6165,6506
3199,4478,5886,7544,3128
7852,3882,7414,4351,9808
