Cultural Trends and Influences, Number of people participating in cultural activities across regions, number, normal
Ironwood,Westport,Dunvale
2059,2629,1243
3086,1587,2094
2189,2294,2709
2141,2727,1577
3295,3277,1001
3151,2031,1843
2825,2485,2037
1376,2927,1918
2734,2262,1696
2461,2490,2201
2594,2373,1466
3019,3292,1982
2568,2666,2094
2488,1721,2110
2507,2822,1597
3162,1873,2085
2400,2222,1707
2791,1764,2331
2120,2099,2426
3199,1807,2205
3428,2947,2338
2426,3181,2168
2621,2759,1691
2046,2018,2089
2211,2538,1743
1824,2516,2051
2369,2036,1915
2263,1830,1592
2347,2642,2343
3143,2035,1433
2296,3255,2073
2666,2924,2298
2154,2678,2091
1679,2249,2565
1763,2506,2441
2300,2249,1435
3118,2100,1902
3098,3242,1453
2436,2744,2259
2776,2892,1964
1928,3439,1892
2561,2893,2048
2739,3335,1533
2368,2359,2339
3434,2546,2175
2270,2524,2027
2063,2637,1821
2141,2884,2191
2490,2982,1978
1978,3084,1813
2132,1730,2513
2617,2632,2143
2732,2697,2235
1876,2943,2485
1640,1876,2125
1625,3045,1761
3544,2855,1875
2826,2490,2243
2635,2603,2356
1963,2532,1954
2862,2529,2157
2343,2573,2304
2578,3364,1776
2759,2559,1597
1941,2442,1549
2599,2445,1867
3378,2461,1362
2748,2763,2250
1844,2435,2448
2185,3209,2227
1904,1629,1746
2927,2621,2076
2042,3693,2281
1842,3514,2069
2749,2476,2066
3047,2141,2086
2327,2476,1860
2155,1732,1212
3122,2379,2377
3065,2125,2167
2157,2693,2413
2047,2767,2300
1531,3153,1878
2345,1929,1757
1720,3297,2677
2155,2604,2689
2821,2754,2002
3087,3091,2083
2433,2264,1832
2016,1726,1822
3313,3001,1701
3463,2622,1622
2068,2547,1853
2674,2994,2280
1754,2220,2594
2817,2376,1729
2302,2493,1839
2695,1840,2383
2906,2111,1590
2015,1333,2769
3203,2170,2402
2674,3239,2167
3272,2314,2086
1775,3299,1840
2103,3031,1772
2406,2512,1776
2458,2352,2190
2740,2823,2338
2730,3010,2055
2039,2304,1939
2663,1962,1717
2398,2548,2006
2299,3229,2390
2796,2428,2118
3699,2329,1581
3225,2626,1512
2506,3150,2081
2717,2865,1988
