Business and Finance,Data on the monthly revenue of different companies,USD,skewed
BrightEdge,SwiftLink,SmartHub,TechNova,MarketZen
10878304,6868488,6315518,12231942,7026478
2745040,5051512,12589288,7161797,9834489
3098262,5022992,4664261,3226988,7102918
3381474,4160605,5539824,6441200,6777478
8028352,9417691,9980999,4371395,7776116
4655993,2578313,7325547,4026812,4730836
4317043,5338632,5475670,3040976,3708066
5526389,2861566,5437296,6261484,9969934
9647094,4346429,4562374,6389068,3240712
4141240,5738082,4255685,2405484,16621153
8254441,9640739,6868027,2681215,5279969
7995280,7923310,2706123,3879592,4521530
13818200,9565641,4992017,5829246,3320463
4499563,9577798,4557116,4071716,6057571
7063440,5646460,3764230,4994137,4276027
4504886,3357807,4408286,8193307,3469871
7984932,4546917,5991409,6316354,5499959
9835275,12263851,2918675,10516173,7831372
6514110,5766303,3673889,8353594,11938909
10569814,6121318,3461727,5552118,3150237
8720595,10937674,2917657,2605756,3281165
4984054,5249647,6472201,8439102,3708607
5831065,8524851,11627204,7002463,7677699
10688903,6604788,14070604,3151746,7530362
8959034,2949834,11161880,8166629,11044784
4681079,3694465,2608584,2253568,4763219
2801008,5949121,9238640,5079230,8851736
3805582,3500739,5458004,20692423,8680386
10911232,4928859,6880952,4457991,3498316
6349849,5919194,7024537,9761136,5268092
4739286,7673151,12506768,2178035,2793355
8324349,4739831,14550851,7929431,17236432
3051760,9801026,5196390,8763805,4892133
2280769,5849349,2779500,6498146,5278616
9809686,11085175,6252427,13812071,11407795
7229730,5266800,4424286,9083584,12892455
8448044,6027999,5889302,6197321,3629371
3130737,4401344,12065456,5808119,7593255
3909198,5394105,14415911,10566500,7981358
4033857,4831619,4237703,4993572,3923280
4785972,4324802,11123544,9241902,4973795
16077936,5554917,4058357,3561720,5309678
4947577,4024196,2930510,5868267,5063315
3761480,5666502,5278477,7222138,7868912
6634906,10646584,4711458,2722615,10363197
11787455,6176224,8000074,10089112,6403952
10827728,2368660,13745775,8232383,5881457
2945261,9558552,3792383,6942026,4002372
7159940,13731878,10775190,8123797,6008960
14978832,3009123,6361460,2909788,11672527
2410930,6128954,5616878,10103183,3408383
4063078,5360218,4199654,6286129,5449229
3300795,6889810,7801543,5313911,5628940
3449439,5126175,9373519,5576644,5060944
3774698,3167419,3647862,7485173,4669255
19794783,5420677,6774445,5652733,3297973
2368949,6302754,8670413,6417877,6680575
3166001,11899070,15670632,13481062,4220318
4936130,4474879,4214734,4842391,4944381
4476717,3637468,8892119,8247930,7615040
17128699,12844538,9466693,2913420,4529902
8488231,5103950,12906723,3003584,8331158
4737553,4822483,3904972,3662794,6275366
4664972,16798922,7879718,7511431,12803976
3411241,8703975,12665182,9788314,3529663
7058893,4509908,7780930,8393395,4968035
2577441,8877171,2498428,7293260,5075916
16827044,6740314,9954912,6152439,8571366
7641945,7927941,3250419,4898214,9028355
3683005,6420707,4817746,4894501,4271262
6816886,3001031,5647158,23253216,15410625
5327004,7856259,5407185,3087539,9152328
6393829,3653476,6048932,3028866,6528882
4969867,4345812,2859524,20753069,5524492
3608758,10028829,3217895,5703343,3121622
9381975,5442347,3906823,6215432,8022254
18535231,8809335,3123791,2285649,5160501
7883982,7140901,5097692,8022188,10716491
6862250,8717565,3712747,3104730,2308488
5205863,7592063,2719436,4358020,9967426
10829732,3541875,7122289,8686428,2608743
5897940,10355049,9526794,10426335,9899342
14528978,3204110,3688676,4782484,8545534
4983580,5670023,12166646,10976527,8979769
6851576,8290110,6486071,10857030,7751532
7899064,4295610,7452975,2767616,7239428
3728097,2284678,5393469,10220257,6116109
5441346,4435087,4871684,2720788,5368078
5340392,6791169,5576472,10675277,4190443
10364555,10924494,6314189,8342838,5244069
5999130,16333085,2882783,4738550,5736858
3821123,5220316,3979816,2615932,4512823
6534989,8064868,12101341,3889081,3208896
2901683,5735647,8420033,6663576,8154087
7762657,5170492,3122250,7854952,6408874
4732572,5303685,7901825,3693138,9857236
3553052,4104746,4202711,7413530,6058506
5366452,3069385,5801753,3576474,10261226
6390359,6895004,4008647,3362045,10475850
7612632,10707463,6785380,8685713,4106134
9149145,8163886,7296105,5906355,5456358
3154949,6327898,11125234,6300279,9792713
6159883,3619469,4252110,3891727,5568919
13532422,8115510,5898839,7427337,4241851
4182672,4023431,3987996,2884522,4539755
9565287,4498255,5892347,3056324,12086524
9090921,6074198,6161381,4746108,17334528
4854054,3703647,6439679,8988666,14828302
5640456,5239555,7794892,12308552,6088127
5814235,13467486,17048929,6544236,4668365
9421691,3890120,6843677,8109209,5890936
7120379,8134250,3781690,2470949,6232904
13556843,4474009,6530148,5122513,3393109
7867227,4395915,4459486,7839728,13960936
5713254,5576428,7546868,10354701,4758839
4561592,3000158,6310360,6053159,2452257
2786665,7238834,9700256,8378445,6752104
6655385,12864592,6516524,7405753,5876046
5594712,12260089,8870104,4447626,6266564
5447647,12215959,5898527,3160696,3065710
