Healthcare and Health, Statistics on daily outpatient visits in different cities, Number, normal
Rosewood,Dunvale,Westport,Highvale,Lakeview
741,977,1271,1665,821
826,884,1111,1295,1059
1134,958,582,878,1048
1088,559,475,1338,1018
1399,704,981,1184,843
1537,1086,1012,1522,772
1232,561,973,1144,596
675,681,603,1172,1271
736,969,367,1696,876
954,853,896,1217,1058
1417,924,1026,1439,1181
1260,762,268,1751,634
880,940,664,1294,972
1272,733,352,1620,727
1293,840,777,1472,885
952,644,753,1169,1006
1424,884,659,1479,1058
1175,531,990,1837,963
799,502,637,638,960
496,617,756,1634,1110
1121,750,635,928,878
715,1015,616,1128,1058
1125,560,1020,1265,956
789,959,1078,1462,732
1034,723,847,1046,719
621,1293,810,1283,1230
936,1314,461,1266,1137
1196,1449,928,1302,1151
1485,1030,360,1034,1286
523,1189,1024,1885,963
932,1292,711,661,835
1258,772,688,1216,1083
742,719,442,1161,1076
1270,747,804,1422,774
923,979,1032,765,582
1297,925,843,327,764
967,1158,810,1024,607
1154,903,890,1445,795
1386,799,839,788,588
1038,1018,1322,1008,885
969,1017,905,754,1108
778,984,751,1517,913
929,787,695,1019,847
1346,1432,669,1410,1263
1522,1174,744,903,756
919,1062,445,1376,965
534,1243,342,1168,703
1036,905,980,1159,1101
772,1088,837,957,150
845,1108,855,1307,1268
1451,1260,684,864,1120
1214,676,806,1587,712
1189,1150,1012,1191,1066
1046,1141,1138,821,1141
1436,1132,854,1150,738
1105,1308,913,1364,1186
411,1246,1176,1504,1187
877,1084,802,1675,728
597,558,785,1474,1038
1068,896,744,1293,801
981,706,728,1192,1098
1126,1215,574,986,929
898,753,902,1368,1151
1254,802,629,1944,1072
1195,658,857,1363,783
865,773,986,1263,945
1135,864,671,763,1446
983,879,1010,1401,515
567,892,575,1105,906
499,776,477,1075,736
1115,1413,850,932,1235
743,769,1125,1093,650
981,614,789,1274,1199
723,601,782,1287,978
886,756,941,1285,1283
1334,924,723,624,671
1537,731,470,1285,776
1308,958,966,1454,1027
434,845,1073,1549,845
963,920,925,1830,1290
1265,1196,562,1546,701
1086,876,522,1430,793
986,796,625,710,767
958,927,1054,420,1239
993,720,732,1561,485
335,1160,615,1081,1151
1065,1401,976,1308,752
971,929,662,916,1127
745,629,437,1357,936
806,606,548,1336,1155
830,606,732,1069,1108
1349,1093,821,1277,746
679,761,487,1053,1006
659,1324,482,1151,1098
608,879,710,1288,1033
1335,692,573,1578,1238
1064,973,1017,1671,1029
700,281,730,1238,703
527,773,859,1135,1217
904,887,1122,1029,990
1241,933,276,666,981
1204,805,715,1195,991
979,1135,589,1727,886
1131,973,771,1651,1092
977,750,681,1193,799
1250,512,782,1080,1137
1397,1252,755,963,1118
755,967,545,1198,1344
628,1364,1170,899,1205
827,853,838,490,1255
1116,1038,760,873,914
318,161,273,1390,564
1385,969,682,1290,846
860,859,742,1524,1013
893,1027,1012,1060,705
955,1083,829,719,546
888,1187,681,596,1027
852,904,811,1367,760
