Real Estate and Housing Market, Virtual Housing Prices by Property Type, thousand USD, t
Townhouse,Beach House,Bungalow,Apartment,Triplex
652,418,347,638,848
456,550,593,396,818
632,530,303,626,696
321,427,582,436,209
339,598,416,625,661
531,661,755,639,384
813,566,509,630,514
529,366,856,735,628
502,137,128,339,521
632,605,773,332,875
605,387,522,553,711
516,390,714,460,685
658,612,481,469,510
616,516,744,625,156
364,817,454,604,632
566,392,479,785,458
546,664,504,358,282
450,769,440,589,648
523,554,540,1048,150
445,478,193,679,638
528,655,482,481,586
468,620,577,452,523
851,623,489,665,640
429,451,583,387,645
270,570,565,377,775
591,626,472,563,452
777,452,607,196,425
575,543,505,771,617
608,469,626,661,550
857,570,300,426,374
572,369,491,485,667
565,703,411,558,852
651,195,530,573,292
634,296,543,486,229
449,527,593,776,479
396,835,459,447,558
832,503,689,621,693
889,790,558,239,381
662,608,511,596,552
340,260,497,521,557
895,635,447,397,873
546,552,643,226,616
536,600,493,477,426
395,566,683,514,666
510,543,763,443,428
544,561,686,630,490
285,621,470,193,841
400,563,502,566,589
448,676,518,396,438
597,421,574,557,474
489,651,522,876,307
1058,733,677,473,227
457,413,531,574,581
762,676,405,660,366
814,603,604,68,584
525,645,553,574,803
741,567,524,786,697
621,542,494,665,456
610,589,482,376,635
587,515,331,515,505
281,167,531,83,545
387,445,423,663,520
654,477,530,526,580
830,595,700,470,583
616,374,574,529,552
753,694,439,541,719
517,527,541,670,480
467,147,413,479,212
1040,879,636,587,425
635,460,572,422,481
408,584,777,670,602
571,546,477,934,428
103,747,698,629,504
1042,796,697,620,471
614,796,333,579,723
574,776,685,46,434
640,266,507,476,296
581,755,462,762,371
567,550,685,476,495
461,678,325,416,517
406,518,629,376,460
523,328,506,287,546
654,665,667,506,610
499,524,263,267,647
815,445,485,454,749
743,614,902,686,617
382,583,809,703,395
664,496,528,538,442
521,699,468,693,583
302,771,406,582,435
818,836,580,490,751
892,519,715,710,535
618,712,469,428,593
343,304,302,400,545
615,421,426,378,642
484,426,544,985,333
451,509,619,494,447
538,737,500,686,405
528,521,478,584,425
625,363,392,544,205
548,481,553,617,849
795,722,307,594,258
407,179,696,452,343
643,901,377,328,500
883,513,669,418,183
375,591,546,495,339
552,549,571,106,561
270,728,402,455,680
310,470,661,251,721
637,461,390,628,581
548,745,399,596,760
755,595,556,763,420
206,426,597,367,387
376,548,417,857,593
