Education and Academics, Data on employment rates in different schools, %, normal
Oakridge College,Fairview School,Greenwood Academy,Pinecrest Institute
74.92,84.99,79.37,80.74
85.85,84.11,68.15,84.19
82.07,79.96,74.44,70.86
77.66,83.89,81.68,91.62
81.91,82.94,74.35,96.88
83.89,82.97,80.26,89.33
88.28,82.16,85.45,94.67
82.66,89.37,95.94,86.04
80.16,82.37,77.13,91.8
86.29,86.86,79.81,81.9
85.42,84.87,80.07,80.72
84.06,85.9,87.82,82.74
88.07,80.67,80.72,78.63
84.5,81.52,82.46,82.39
83.23,86.35,85.61,84.93
84.76,81.03,89.19,93.66
86.1,78.71,78.96,92.08
82.79,80.11,86.8,88.55
86.65,80.49,85.5,89.45
82.86,82.29,67.95,93.89
81.89,86.18,74.93,96.15
82.87,84.83,77.08,90.68
85.63,80.73,83.19,78.94
90.1,81.37,79.11,106.04
85.19,83.5,81.94,88.2
83.28,84.99,85.02,81.03
81.49,87.2,79.58,86.57
80.95,82.73,77.73,86.66
86.09,84.38,85.79,89.6
85.96,81.73,82.43,83.48
75.43,82.97,73.65,92.27
84.28,84.84,68.27,95.19
82.23,84.2,84.43,85.61
90.2,82.51,81.66,78.76
83.49,85.32,78.92,88.47
89.19,83.44,77.93,79.84
80.76,86.24,85.45,92.36
82.08,81.58,78.35,83.43
81.38,83.79,75.88,90.73
86.2,78.06,77.99,85.97
86.9,81.45,79.68,98.95
79.33,87.41,81.39,92.96
78.51,87.65,85.25,87.46
80.38,83.54,82.96,79.62
86.38,86.6,79.18,90.93
78.59,81.6,85.6,85.04
78.33,83.06,79.78,71.91
81.23,84.14,82.94,101.07
82.69,84.83,84.26,92.34
81.2,89.49,70.26,79.54
83.91,85.29,82.22,90.87
90.27,83.22,80.97,74.0
87.97,82.57,77.02,93.65
89.66,79.95,81.22,77.26
84.55,83.28,76.71,95.7
78.89,86.93,81.05,76.34
87.75,77.85,84.16,77.2
82.27,82.78,80.94,95.95
90.13,87.32,80.98,89.64
85.67,83.79,82.36,91.76
86.26,82.23,77.39,88.38
78.09,81.97,86.46,83.7
85.46,84.14,71.1,83.26
76.68,85.76,83.12,95.61
80.76,87.79,76.04,85.83
84.43,86.72,83.45,89.81
85.34,79.41,86.65,91.46
81.93,77.73,73.36,86.99
83.45,84.31,78.98,91.63
79.7,86.62,88.75,77.4
76.86,76.37,77.13,78.04
84.04,82.56,71.88,88.23
86.77,82.4,71.93,82.89
85.87,79.3,79.29,103.21
79.45,80.01,82.62,94.6
79.4,84.96,85.42,82.47
82.72,83.62,77.32,94.26
88.06,82.61,85.92,107.72
79.99,82.03,74.02,92.73
88.7,83.64,83.21,84.41
78.21,83.49,77.83,95.53
79.24,86.76,88.39,88.89
89.76,78.76,77.04,91.23
81.23,82.29,80.69,104.96
85.06,86.85,90.48,87.04
86.11,85.84,85.88,94.73
80.63,84.29,78.75,90.86
83.43,81.93,73.73,83.86
80.55,85.04,84.6,92.15
78.52,84.11,78.56,89.4
88.58,85.24,74.99,79.1
89.89,80.27,73.91,81.69
89.89,84.15,80.49,91.43
79.56,79.91,84.76,94.83
89.54,84.23,70.98,71.03
88.49,83.11,72.58,91.43
77.38,82.13,81.73,99.83
81.84,83.65,75.82,95.72
81.1,80.24,74.21,106.4
77.43,81.92,75.21,95.95
79.52,83.35,76.59,95.31
85.44,80.95,86.24,87.99
88.46,87.52,81.6,90.02
76.71,81.9,72.79,93.99
87.24,80.07,85.65,89.52
81.53,85.44,80.96,82.72
80.28,81.7,82.67,84.05
80.95,85.59,91.45,91.86
82.84,84.02,76.36,88.88
81.1,85.92,88.47,86.33
83.4,86.55,86.36,95.82
80.14,78.27,81.13,88.85
83.72,84.79,89.8,89.63
81.63,85.86,87.65,94.6
78.88,83.28,90.12,101.25
79.77,85.66,81.98,87.44
83.84,82.85,85.19,105.85
81.47,86.5,87.88,82.1
82.77,83.21,72.58,95.21
79.02,82.28,83.38,89.18
