Business and Finance,Stock Market Volatility,%
Tech Stocks,Startups,Blue-chip Stocks,Real Estate
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation
4.60907699088493,5.3355627589281465,0.34134652526803505,4.575268447727646
6.952174567333441,5.784378469241823,0.8892391853779185,7.558124502570919
6.910615184599733,7.02190828631501,1.495613911512361,8.710019524936847
8.675904446792629,8.605471650514339,0.5798236603126289,9.517097627477906
9.617007821953559,8.7417601201171,0.545256001391484,8.75873735296795
10.0,9.718085526566627,0.0,6.597415553413511
9.955315812995982,9.423293851113467,0.969530510476785,3.2223705974323895
9.48638638729466,9.262849914946441,1.5239037373519813,1.1184514050276837
9.76967392178793,8.482612266625459,1.4872190618065444,0.7365160238292572
8.973259607594475,7.811720813441289,1.1020776135841965,0.9993751845088557
6.718572069098313,6.4641290831676725,0.8179744372663466,3.0520506725318213
6.0663873421266015,5.5915466299412895,1.1368614292096892,5.557428062090941
4.407328082533331,4.766826980394245,1.1304307512994933,8.61854250669772
3.4822614082658316,3.4730215636448514,0.5961258090188175,9.725390746861933
2.1491808308528193,2.417774491059145,0.6908593786367699,9.59498388767756
1.7870720750789106,1.855317505615667,1.66036962590226,7.839543311946668
0.9306656939118743,0.0,1.8739935187061996,5.347668799687807
0.6643219878762496,0.9196142874053235,3.2111027751903354,2.1060277918376453
0.0,0.6651419958100901,4.232899809978729,0.3717650905319737
0.4353589295695109,0.9713570249264223,4.279639652048446,0.4772510656961938
1.6623973459120482,1.8267710810098898,5.495636685708634,1.3457575066708227
2.4593051144991382,2.7573538575862777,7.10573788331573,3.523569497446987
3.3043937210638994,3.746844783401026,7.654213950729458,5.791181583420892
3.9191916026424947,4.748480834667398,8.918055235814853,8.637782108181282
5.548387198047308,5.74091361038505,9.065363869549753,9.899234765534631
7.116120124438901,6.9329537353902815,10.0,9.56405824072889
8.277435585816637,8.105717143280204,7.8639416391562165,7.608493135294893
8.974300215523844,8.872558599133209,7.759890233506809,4.641741546259051
9.585472378854398,9.227810676605941,6.736561425493913,1.735309338129978
9.75653766232912,9.838266032749209,5.770241485685701,0.18825173259445518
9.267678298397986,10.0,5.296041857282056,0.33281912855747164
9.706922220993123,8.659013493260534,3.315188381960608,1.5255578297278338
9.126830056442719,7.410628815213908,2.2369755341815374,3.75536616653305
7.7142533698436635,6.399269766168045,1.2566774163191448,6.7118749877760395
5.960954680239863,5.867610043772346,1.7060062566284868,10.0
5.474665531916281,4.325091936215142,1.1614421043788254,9.876618924012682
3.8183680825017445,3.3153155711248763,1.4972223941531406,9.35207494058204
2.6827726639151166,3.3576606559181,0.9195370712769211,6.81177898401669
1.518578827454442,2.074117793415586,0.7831773570758331,3.380828713206338
0.3735330814571735,1.2567485710574768,0.8545213356330177,1.3372351637448812
0.5622803460039915,1.2347773669498177,0.8059381630206018,0.0
0.24451123653058418,0.5292467634091811,0.2670144000115561,0.18898181026327202
0.30082414692483717,0.7390842331391241,0.4674698253125937,2.613880336235512
0.47742507168569204,2.077697184396193,0.9273610625175333,4.776972448778317
1.3610385611245737,2.0407043276255377,1.9044755059984817,7.9839338465903085
2.7889020937021405,2.762485465124697,1.4380540811275988,8.844665466495321
3.708121987203919,4.797803180935402,1.2654136196973553,9.728406092048838
5.003488156965559,6.222612174910739,1.5448331175615784,8.883396355932163
6.5357350689324605,7.1102297728993396,0.898931097203922,6.0074185681164805
7.5260801380668525,8.507376632545808,1.4459835347631302,4.644212068307249
