Retail and E-commerce,Sales Fluctuation,USD
Discount Retailers,Seasonal Products,Brick-and-Mortar Stores,Subscription Services,Online Marketplaces,Luxury Goods
Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
183286.92788194926,474643.9533780598,920378.0466495766,639770.616846414,537950.0165740624,931070.8262964621
58416.01816846363,714151.7141945199,1000000.0,746056.8423234952,619520.4170534684,1000000.0
83625.90971096428,987518.9672746998,935929.5231661325,642739.3582630982,915405.6604954732,913036.593957836
95891.0166516128,894178.1291225089,924822.5453575326,630568.9621130483,895759.3144776232,831778.1595178948
212866.70430830945,781905.9080602601,824665.5971154255,664130.0480671728,954361.4258023053,805593.3285312285
138977.0454453576,464298.65183336486,742320.6826319223,707108.8923605923,867882.2715223879,904601.0142316686
164339.88544026454,112438.17195607322,787090.8131511039,743932.9658958974,737071.4238949639,919956.1288316549
180790.67617343515,114854.60784709497,721765.0707631272,914470.6320035153,568123.447034261,828235.9921405434
160057.447809175,64903.19383894885,610374.2657863075,869587.7423779453,229142.53739032795,794944.945631959
134846.50837604975,258664.16634170426,582035.2453662205,634245.4887625452,124079.27775372502,753365.4901851447
122276.6940858273,550447.0643497052,460021.76477407385,592633.6374328284,103044.62262916227,772149.5932062861
0.0,739054.3277955123,478126.1688535945,599869.0688636858,105525.25369186905,713285.401954407
187779.2683846369,917819.5691593279,419848.58126552566,712466.6753350039,153954.28894292229,660099.677251902
76485.87919925737,860406.2293843701,519471.3322958161,743905.4436873315,323044.53309427307,589797.3667595175
209190.01349936688,725307.4858994476,558835.2829289541,802041.5361175374,560762.9040764219,577884.3022946283
166978.6107086447,447577.45700415585,521128.0971650124,898849.1726862731,789668.233865208,485992.6394225923
191972.0669266698,133595.23410577583,491882.4741684325,760103.9239207963,826734.7901937593,429083.95244999195
243190.081971601,12874.855255867262,493108.18932658475,912659.3095224082,1000000.0,451074.3253607797
358961.0009458514,26896.298077969757,556509.7628941413,724550.8872240799,969043.8387485701,303199.24242416816
462927.130590056,338111.44455154694,391351.66464156687,754373.1026808998,873407.7994254514,356612.28712969687
562548.2352712062,565425.6409082745,419951.0759619879,756078.0212509286,714599.0344580642,441566.1986832749
702843.4761184619,798366.0547111793,424520.2635907726,856185.1365365703,492320.24145533144,419837.6468428947
882343.3662714501,850670.5202060187,446911.6583798195,818759.3194204146,284884.1640737258,544747.698574992
930834.5061390433,857271.20793827,355773.4057312988,1000000.0,113188.31575895364,433421.2955757217
1000000.0,757923.1798872945,338720.55000843277,830407.5983173376,0.0,242597.1888364085
858036.3293701682,361617.59781414847,538818.0635691986,922227.2935740319,44658.915954299555,129558.49012613554
892403.7829748244,224631.8689898331,373441.96178196435,956012.9674623915,175412.93242563904,16534.904021336017
862438.1384100713,28311.764865445773,357937.6156993983,972018.653537851,346113.5488100164,5879.550982215347
815078.0838074535,56232.0419034915,384418.8773524983,928351.2851794267,564521.9475526817,0.0
601514.4865439979,255377.53355357118,388248.35031956324,753900.6719566516,773814.8699699197,19207.342438066396
455768.74414019805,505111.08018226357,417243.517134896,781431.4436828904,898439.0619448228,168926.80367715517
311961.379170872,821682.2215457745,486000.95393266244,654904.8951735501,922661.1519518385,102986.63686250766
246653.16853523607,1000000.0,421938.03230984317,699966.9246148042,967425.9560674764,71101.10448419313
301597.2062398306,911155.456866769,295489.0371584562,679283.8794956345,878368.49126001,95786.32054065414
143850.23604842793,719713.5090502354,204936.39183125686,699902.4808823616,691476.0943116497,236297.96792222376
154726.8970716443,503928.64094480884,229141.28433291687,665311.8254615391,474261.745044978,174367.47495667622
139257.6905611314,129859.61077902821,172473.11982485655,658780.7593746829,310337.43008290185,101783.00022870905
183421.58404216566,37878.2375635501,125212.26417738649,644377.1919214625,84398.74188747407,228927.27675189247
217541.68410181365,158119.8879937047,75094.2908232218,605372.8460707451,86805.17941951282,282926.0496731599
207260.3951212089,305416.79167019506,0.0,437051.7516725147,31222.8465580692,169515.11011688478
53098.38429298084,574587.2770704012,65992.8643554284,341203.9820647184,196021.78417414936,269149.80810356507
85178.8915807121,791187.5352867108,369703.2719888087,444825.8359922682,375579.06368700747,241480.9722696614
72535.69731500278,996835.975161009,379011.45924266987,335551.7906000271,550745.2731466286,357638.12081031164
125511.7016198466,855394.0532782208,261070.90598555745,201031.85084189207,795985.1461905969,370301.9666023332
146047.45736734802,690967.4539094522,254800.5599041927,162008.6910093656,899373.113005588,266860.03015168547
66344.95467085682,419428.31017733325,259741.27127154678,25766.84852039246,940480.8717853156,483477.3787117309
169401.87746946994,202883.0137322626,368417.0301780119,41483.105011421576,959354.8870546316,494018.8257175862
192642.72609807004,24215.389384368704,165022.4349345725,50431.448968832156,841811.2959349504,528834.542720642
105586.75439057642,0.0,168335.79339317448,0.0,678885.6828304293,450281.3415426376
99156.64082286955,331549.6845150275,159794.48716485017,67706.09381674415,413139.3988386607,252686.24321007315
