Food and Beverage Industry,Food Price Fluctuation,USD/kg
Random fluctuation,Random fluctuation,Single Peak Distribution,Random fluctuation,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
Organic Produce,Conventional Farming,Plant-based Alternatives,Gourmet Ingredients,Processed Foods,Frozen Foods,Imported Goods
7.300873278707817,0.8837075182015908,6.788482629288503,61.85743962076158,5.364509037372966,15.636876336800873,61.42483298399616
4.451490926608345,0.0,14.140980178101314,36.65464877385253,6.900112318554906,17.612789269321848,67.95439503845773
0.0,1.7494907334785208,3.0521157782041723,38.15978569464512,11.945423080032096,8.226191503277716,92.0790925384733
11.664761350202667,0.6127768158852193,7.365651514948492,67.74188624595412,15.405558448109296,14.696143404416805,92.73588628469238
19.495923859480765,14.00636255148532,0.0,91.87497037554867,13.890298551854269,7.350189215654471,90.78978378053057
29.580305167071074,11.19387712000764,4.9429414409187125,68.04359907775705,8.693053355459279,2.2695578749393643,91.06246951190559
26.021761883941807,20.633534019886778,8.754354675506447,37.73211066535886,7.692116322337405,3.2345226239843226,72.0770577938866
18.768740604897875,40.95838667192919,10.569994135662634,29.853577101849034,4.130279160909772,3.162199888763326,66.72934739343023
31.747567015603472,50.43808618813861,2.3447050250077917,26.888594011462896,4.4159391298029504,15.046182599983238,43.1243046793886
34.38125326470524,42.60968671514206,5.482709089335783,0.0,8.955374896224193,13.52197545120086,21.32846976010488
25.67816774062141,41.59300391307848,6.594176900284577,33.020686961355125,5.779070126741578,7.940531154373792,9.778100707531898
34.16840925714017,48.386882654580255,9.035894368666574,58.013750844308156,7.363262494677975,0.0,7.839224497334249
40.99671582508411,40.81501555052542,1.8090973718203502,78.71782442500206,9.070236959751723,11.805909361592851,0.0
45.50485042940526,42.16294247547956,4.428989909993294,76.01442214688315,11.351884169502487,8.86277445192204,17.13172975889375
50.60273954191739,55.88567873271445,15.898665152656278,53.03642391186904,13.682829922735662,10.879955066037173,35.04041254337375
48.82474481042872,65.60678242104248,9.306295871622257,51.39596318295963,15.620238257479413,9.074225600791351,56.06334504349666
36.31664287302732,42.938557054425424,15.798887337798412,69.65993610611467,26.991556907488935,10.594985717395563,69.94504352324081
44.68551092815451,53.89675931474074,19.24960706258578,71.05218409634281,22.630062852424505,18.389764139978105,84.75242942802251
51.96165593152353,55.40628440533359,34.748141069436386,62.288168321318615,26.5566981190045,33.19552374000281,96.945729709106
56.53584265170063,65.90065962357619,40.453271718301345,72.44648878558971,47.41711907932519,49.48784243781274,86.72536842481026
52.719253874865615,51.25528406761703,55.43861938410991,69.87604580629453,59.56285529206071,48.68859159274188,85.0265841709661
53.64304850612226,70.67048641883538,67.5066649980617,50.47492664815151,66.25217318149119,72.45205842936197,70.23631175664391
43.34540463615424,55.24600581107535,78.00946007919613,83.72010986367438,81.09431047073814,75.0825682280077,61.50946509354053
48.21700676375053,63.39504786943759,85.35681007741964,63.73623329272844,93.95884501150684,90.07196694768625,37.87952898201349
61.5637792199241,67.65813960144732,100.0,51.00952614972706,92.15893611694092,88.01076250775104,22.93439391398663
65.61731333062741,63.640831026160505,84.09657484314083,46.7851044527663,100.0,100.0,12.408586417372087
60.12732670581664,61.1021477456414,77.93282912292365,65.95496804759323,95.7922667993825,93.68093184490179,7.737754989264461
45.47911780124519,62.024496044664886,73.21219711168602,45.44583756425709,82.6965654793844,83.68398157559575,16.408502495811575
56.81218817781033,78.38914099373312,59.622137857181755,62.93666903785685,74.09076496575693,59.66495351944086,20.447986661052145
68.557759154981,69.33120542894454,51.63083994759688,49.67327253439867,53.36765407342751,65.85933673394011,45.55873604226549
