Energy and Utilities,Energy Consumption,kWh
Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation
Industrial,Government,Transportation,Hospitals,Residential,Commercial
452574.909729936,126308.92760874069,1000000.0,359399.3861200072,40099.425357666914,895075.9854128774
674515.2754455444,5484.832824288321,923329.3396701232,747435.7130365035,91316.98609628981,854257.2207095906
805936.9953399156,67612.61641858211,761169.577497218,856584.9489007714,49864.68738307583,870249.7245279098
888244.105200909,97419.32016213489,645540.1758523029,866249.7325756766,117896.03106627033,1000000.0
935193.5545117061,28561.264400241605,623222.7407213163,654957.4786751062,28878.29573855513,836371.246634328
928402.7437898975,62089.49562968823,636904.9537067125,439944.60415163485,98260.89499141506,883730.7439660407
1000000.0,0.0,543392.6162360512,92891.87313752138,68354.86971779185,816675.9394258376
771728.7731873777,124372.37275475715,440885.8257040969,83595.42354340224,62069.18488362485,719735.85896443
678981.0298770473,105529.7715150194,452981.3332067913,42433.04426745624,68742.10976574759,612543.1785478181
584216.7906435791,11839.22317112021,523532.71016840596,313282.2952609789,94551.85853932399,788358.2709411425
310476.4741328189,29589.68192894596,521191.1702650067,619648.7494924422,96774.05419459537,607316.5404904612
158132.20323444743,172503.78608320453,475012.3463204602,787821.817984259,94146.95615260045,709146.1646183092
133752.15101869113,86622.97801381597,414537.0805929036,913710.7320699758,58430.70599056871,898302.2518899129
1865.5676750257633,17268.505297349093,662860.1087930606,867813.636755726,125283.22514246445,798387.9588130007
75449.3030531894,147779.200730128,516269.181242339,607711.6423606619,96295.86105410804,767824.858971987
0.0,134456.07500841515,388158.626012994,299331.6345259784,212693.67013011113,782099.3848737364
41895.82134239026,158086.72143594603,415695.0861480908,38908.54997479987,258685.25152176913,574718.7745345458
251919.14575210938,207845.5635061428,420036.2171810634,0.0,243206.838101009,637825.1110674551
345726.26506250066,303934.19672460837,294752.5934513411,135135.73759123668,252722.74865039336,613605.5556334887
510370.4774914843,370279.8392648924,272757.442545441,433308.8728419771,473454.97670188773,478928.48307725444
686712.4217818115,504299.400751515,191141.4282094247,619041.9976792146,549996.3291627386,455998.82136036066
748738.9498352883,723078.794873211,195323.3993199486,806396.8071230308,700104.5258619922,531046.6367343343
847143.1568201323,826317.3895751782,168924.37854370044,921207.0782684855,861048.8303651061,568074.9979350016
994043.2963439797,863044.7824519012,78835.89410058211,797951.0246542278,955944.1852205185,245941.02951181025
893643.7118622357,1000000.0,58825.485679123965,500380.81537599646,878937.34492013,168286.1272830938
851704.3655949222,959426.8495694848,116951.40887108796,196829.55890475033,1000000.0,109502.9089674279
851417.4495273043,929882.6585491163,126014.30978788414,77109.2071138099,897569.04838178,171620.00428613226
654372.738890783,783357.0438349027,191107.4002030502,9197.890484185937,835246.5022369161,34118.97622307759
452460.7341121361,789659.188880693,216208.20821196501,255432.9326998763,685746.0932824617,207387.1835323465
359628.9644025846,549352.0910726509,35372.38245415209,446645.65194395656,552080.081942591,157297.6226388247
158663.9153786464,408055.75925422553,120397.10640808586,752101.7698978987,344264.18220927933,81409.6954386963
87503.84554899498,237989.089135931,137958.8753112417,969432.9769571199,338676.69576725946,228924.11530126134
30193.313417648526,232364.06116751593,73079.1157321192,1000000.0,221093.2343427523,306341.25419877353
77441.74155289677,241683.02398314362,0.0,673295.2586945933,158378.0496540102,317065.7122737859
48837.210394692236,95824.34986058513,40226.52695665897,325057.9552466446,132840.52783029102,401444.9523043565
131545.80638958208,89999.06350855395,88747.77214968784,159538.99995285174,131956.16483522626,294918.61311545194
168733.5618593149,36281.481084068066,53300.365810618736,5843.7156391053995,140212.71051980823,421301.1656645589
323848.45070345845,64170.218708295906,143905.77181153803,90361.68956377855,149871.6095116507,562467.579204417
551081.994953461,45311.757898095704,131145.77450639562,250793.58542046865,43342.630461522844,636929.7267590583
579345.233923792,13695.891369463488,275817.4345956867,581041.3687140166,73795.49921829131,630244.4725356748
778419.7652723957,73479.2025434784,281513.6909237925,812913.6718658782,136725.5912853827,592356.9204998924
882280.4874664351,130042.790118483,262477.33080872154,888542.5967912694,103856.3622470887,598284.7774447743
910347.786958429,73122.4107315922,239429.468831703,904668.6454981003,76784.66135034102,408661.887287782
908970.9427493154,160721.3780000571,226426.22264320272,617288.0750335878,51646.11966452994,248564.28249661592
856947.5189576684,66327.72280737483,255621.43446051516,309455.43478641135,88154.30359389046,291002.8304683003
747825.8097643214,68646.70042519941,254363.38816136055,45049.829751253346,78772.94843875077,45742.350103878445
731668.1908347427,27888.112944505494,279054.72517092794,82495.44668627667,0.0,71241.2753624918
475112.36860510864,105202.78017119411,290867.4146604075,172337.90864965992,41000.007736875574,0.0
323424.21669578145,74704.64408726475,356452.5318331709,435107.7252214848,65980.65118060027,122092.08667450168
242186.76956041477,134961.60029781773,362102.3768040297,629587.5429410622,118193.07933452073,283545.8563299413
