Science and Engineering,Research Funding,USD
Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution
Medical Research,Nanotechnology,Biotechnology,Renewable Energy
48180425.609433144,52212688.82759762,10114526.023552887,11497607.843368903
72954936.46303025,64823882.69891009,11283816.18572192,20096787.421388
77729762.21335149,75057891.49936303,11066465.81176511,0.0
90691598.87039708,87782753.42284654,12341539.702540947,10451659.903942453
96944543.48731731,92566750.21360128,13901885.420516707,6683472.213044537
93579124.08868255,99778614.2675869,5232039.356815774,10937474.528661925
85048695.17044002,96687111.2575081,6888408.404573036,17093455.930448912
66293374.722939305,91550119.5547831,9614758.436007919,23082112.774185706
54524349.066343755,82437007.59930423,12413501.269861784,14536764.835796349
37444850.0605112,67687178.17775264,5252381.660170074,7847680.77490966
24918582.59580249,62648887.51998203,4674967.90110293,16228741.262526408
2731526.8624301786,51568752.13451035,9096670.55216825,12513817.757725045
4317369.656217045,37981439.08596859,12127389.611667553,8533259.334899407
4303495.745378954,26340467.763178404,12177072.341887148,13569265.522627072
4966034.677751635,19113339.128581017,4347451.533682096,9642251.907547576
18555087.009911112,10685092.200776296,16307581.374171477,15183116.886558602
32248671.685714204,15700551.466050139,15719935.331142997,12911577.277361197
46195368.48731163,3258335.195695472,30315119.916421868,22051179.986174636
72678340.6826557,12068276.752118776,34955845.87260572,32321015.950470112
88734577.03037196,23363493.854314093,41695655.719155096,45876471.803139865
91935610.759138,28488748.76063862,54688864.10351782,59361026.44372988
96995490.27090697,42457958.420329735,73459547.05310981,77655338.29915181
96260797.57181807,52615420.78501215,80563600.96342267,87696082.36412348
83587998.27601999,77277180.99416779,95610387.80738626,98427196.11480995
63995729.24357103,79381047.31709595,97350452.71563558,94888302.10811508
61250504.48432358,82842300.01913837,100000000.0,98238744.46824141
40341113.919864744,95113203.02417727,91536637.99598879,100000000.0
19553987.015726153,85191583.52071327,81134017.7547953,81847064.22798765
5146190.938100385,96195109.44731286,67595586.99024263,69060487.78974473
6101132.733669361,84977883.93236992,53982915.411238454,55690282.12505065
4783856.476652519,88540736.70989783,39981683.008483216,46148479.33782661
0.0,64268359.85226998,33589789.23319454,41060349.799502835
11795443.736299045,58974679.50934544,21949276.933381867,24044693.628998116
39251257.76733802,51822634.25569677,21134016.091666337,16681870.00123994
43034541.326234475,26620981.164751623,12843675.862634296,19894850.446001396
69361277.28232574,22370215.308360554,4098007.3710007626,11105792.352482865
85722195.34070459,16191996.228396857,5315733.329578238,16365071.53557958
93326434.46042344,0.0,14318775.241269693,10184344.285450978
100000000.0,8121869.970855853,3074951.117773516,15210816.025206463
98514075.23862576,13382503.107514873,5749516.502977985,8258709.392642033
79610689.4316412,19235104.38930554,4587416.0982982665,16521354.66017987
71859374.99761368,23813086.623052847,18026320.781655613,7950510.62385308
47177047.22233174,33286458.952046234,8158624.993765755,11029925.013242701
32295072.06379867,46594005.97747645,0.0,12010992.733596591
19887266.167862583,58821128.70630721,12383949.157301828,13752354.730270911
5193370.475325421,66518021.050138764,14385823.05213898,28567579.914107226
3186170.3052164013,79771418.63187113,7704580.233075922,6311084.006460312
10684720.767106835,93038330.74549039,8232075.167819195,10947689.52769892
25463645.22711762,98565669.05525945,12249358.339520918,7512208.599832091
23854855.7206118,100000000.0,15157494.209635997,12200985.80885354
