Transportation and Logistics,Freight Volume,tons
Air Cargo,Pipeline,Rail Freight,Cargo Truck,Barge,Container Ship,Courier Services
Random fluctuation,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution,Random fluctuation,Periodic fluctuation,Periodic fluctuation
47173.09344103449,21558.080132156203,27776.33723429912,3639.8582526493688,16117.800422134149,25676.607031525167,25142.17082479876
47292.39056683101,35175.117189950055,36726.93973246176,5882.417529678286,16578.87702694497,31571.49329747327,38595.01907158389
40070.35660424832,43416.335915809366,40737.78748986284,4347.756554102524,17262.75064023388,35096.752708688575,46932.84526381169
44395.47062316467,45330.518956359265,48991.148437808384,6892.7993518230205,11694.764958677732,44531.92674446222,44378.0396217315
45126.26237807386,36314.352237327665,50000.0,3792.54072072677,6042.021553677384,44952.02298425775,27755.69528876073
48385.40185820456,24188.580433927436,42082.9375743147,1967.6355081228392,13835.298917084834,49126.60630640659,11073.844195478063
50000.0,11656.699840688028,42128.84736643645,5057.382287653304,26446.53378057898,45344.46617358139,1430.30503028488
47295.595969453316,1264.9642468272475,41780.581175522566,0.0,35494.992110436244,46148.031854452376,4521.315642808124
44620.541590047644,3197.257192756868,29749.29966270909,3586.9281383704306,29726.072616666228,45838.749806710766,15362.46085289871
44005.74013092224,8251.280893490335,27841.6556354952,3068.7791766999985,31392.99093431128,44346.03366303846,34243.40697370953
36879.799488759,23492.088334243675,21364.696055721146,5627.155185871728,31944.116834429864,41263.459019245434,45691.42397429776
32430.495517235093,31244.392493099895,13606.073899027615,5274.399254049293,29255.188216604256,32211.425074394723,48930.45157276939
29110.993766272575,43985.79996310785,6445.634975041384,3382.1627668929614,30525.30250912209,28174.840844633592,34989.32322500203
32782.92945605815,44116.511124743905,0.0,7879.25880982198,26529.19167878579,21585.364991710332,19682.821199415925
28595.82086632571,41726.684773436726,8349.712721542255,6852.220946113135,22697.03957586817,16511.795756941203,5273.5296818685465
27041.633416683784,28528.316138771497,11036.55245437165,12285.802330013885,25287.811592466118,13976.003849237128,2537.4338936792633
32116.704269398477,14906.194006142297,12605.902150138032,11451.128994591125,21092.566475158368,11351.112970819458,10510.588457046153
34689.36124967152,5012.964605093873,15673.26770906971,10837.76615817464,21251.286432447137,8233.853683596786,23457.63789644103
37647.78135172346,0.0,22865.775769005122,21192.617605351315,18782.438472422604,5946.904581898722,40374.507920026466
40912.38916177682,6728.344561850712,34498.28690006819,24886.320205436263,20600.41675479943,0.0,50000.0
39287.02531245264,14992.032416011387,35207.8236113791,27562.241596759417,19852.85488880962,5127.622855079271,42841.71250707936
34062.125216610475,32154.652305360465,45643.758616671126,36112.76677211632,10535.431477992584,8558.110948030317,29943.07987718745
31658.09098329046,40560.179496583674,44303.51214528251,41549.456255686004,2186.0050904013997,14052.239890072482,12210.335038960018
28143.555698131582,48198.12373334254,38712.92871905684,46997.446054834094,984.6946480412162,18766.191344176885,4323.562797940789
28459.914553675986,39442.08988418935,40721.74118866533,47445.10244466391,0.0,23565.88795787549,855.8059970230743
28537.73008237518,33708.716334998695,45874.04450497499,50000.0,7860.6369802724475,31649.359801218645,17758.609600741867
27061.428587747356,18590.8586230371,35309.75913466116,42633.24136735236,7768.331011448551,34982.75400862755,30345.482433347603
23487.65739778302,8471.706855188304,28468.086523418817,40698.78455917104,9893.856394019147,42483.29742580916,46243.006452540714
17886.989658357048,2345.4163737500635,19269.30481121051,36346.409421363256,21419.985733795736,44606.638631385045,46345.74246804391
16001.69240422243,676.8136787145972,15250.667649418296,27112.238185292208,26477.361894835187,45752.593292243866,35343.699214935084
19322.210307979276,11262.246102966792,3604.201726623194,24428.752892492295,19612.439417402627,45940.481049303424,19756.547959819985
18175.734281990557,23326.966839565208,218.22252139514706,16981.19311790221,23139.761865182267,50000.0,6239.527899097143
17982.508086369777,34410.59961043272,4552.416102999557,13649.815823055504,27440.39327254048,47970.446327944286,0.0
15100.978070571917,45171.900684034925,5115.628592702114,5091.170615539553,23079.420157502347,41576.07298954239,8341.103680264943
17312.310032077257,46625.39725646695,11674.448662903145,9237.60166144691,16091.658109989721,38198.81345793655,23507.798241166198
19149.958662300905,35725.71186231838,18209.867482725793,4935.299990420426,10825.435789412939,37956.6733885158,42761.50456125286
18261.462529201428,23164.689688656217,22052.54211342706,4730.258477564908,6254.2289637531185,33658.688804923535,47508.67827545314
12637.18782436421,11655.452367936554,33278.71147617962,5333.6846628568,9639.521125601934,26928.31137107588,42844.440510726825
12609.022265947264,3888.21381437583,40890.16333100747,9129.436124805938,5706.252837821449,16160.66738074233,26739.450659922637
8766.51347050447,1019.8908615873324,46281.3209889279,5974.341840872284,15811.992601550775,13042.98270977803,11356.899834806743
7674.488815947812,6494.154727438339,46086.73710189567,1876.350904472538,17491.09336990229,6220.353279849506,4075.864787612451
1829.4319234873558,19878.579050511118,48644.8477248194,3370.3524708857444,18309.964072574505,8296.591678691297,4930.180189541673
0.0,36978.51383811916,42920.740459278575,4627.994941227502,17704.082259734896,7516.79721538008,16354.061433898687
5796.9310458470245,45938.00263764617,38729.26873662983,2540.936949967668,18682.689707693302,2335.873949977433,30323.541486412087
5613.160060355098,50000.0,33980.78204612813,9230.578775707294,26805.24395233992,5718.130511063408,44501.583211540055
7488.539184322017,41154.92624859262,26447.399272472776,5980.033184251808,29159.92252691575,7614.5562521024,45505.7844281952
6338.270173118122,26759.658425056376,18718.230729207473,4221.125510054017,27470.102334578987,14476.975368299298,37255.27468324923
8471.823007719488,14893.153078591462,12589.052210687743,8716.681968279805,36634.12130211366,17024.785321295414,17372.631904274233
