Healthcare and Health,Healthcare Spending,USD/person
Single Peak Distribution,Random fluctuation,Random fluctuation,Periodic fluctuation,Random fluctuation
Elective Procedures,Chronic Disease Management,Pediatric Care,Mental Health,Surgical Treatments
1184.5012978018701,0.0,8966.363461640272,4939.211028298488,576.8728064986409
668.0088587237256,332.5935342970837,9466.954292617123,7226.187715659223,721.9852547743054
781.5752693036629,2870.1910896478134,10000.0,8785.71558282469,644.4448999617352
1366.4732443072771,4800.953850109246,9635.658895809545,9710.218845099138,328.77476083212605
1123.494622933608,4890.981700608913,7488.040453440135,9102.920703265716,495.34605330356925
1351.2003290824962,3681.2424951117364,7261.712488193903,7213.642879881752,592.4652998147407
1027.237958470574,5038.483731989918,6825.217581621538,4960.578751352367,518.3579138612297
1015.7233174459766,3779.789566829548,9299.849925953546,2617.685928698699,313.23944858602533
77.99383280831614,2382.0214278284984,7667.743353014219,1313.5882892983789,0.0
774.2519796739575,4012.500121298096,5380.230025258225,553.2413166861365,472.5690556308426
1126.2295421361355,5788.730691464902,5444.104848374325,577.6866748474217,892.2634037509158
629.7607377102642,8039.766195947763,5266.3519796806195,2478.9729068927886,735.2092996046903
0.0,8790.226034377838,3921.2928404603485,3944.075134562804,932.4857288353791
170.366663974653,7485.308765378934,3839.774643144996,6839.014953743933,1274.5650293855645
1719.0971139919436,8151.058265517503,4563.07757522798,7438.616385188131,1995.6683853182158
1082.9009414608572,6293.513098412861,4142.647338976215,10000.0,2259.013835859952
1373.786010513123,7953.84061718683,4833.198726522724,8004.74018964216,2046.330637794239
2694.6937544448783,8989.927243659684,6970.851942701921,7142.299537558863,2161.209620830945
3145.930850449909,8290.63716436816,9235.780131319107,5523.26428756314,2153.8611883643866
4154.071049350467,6466.833559233415,9165.816506672794,4315.033518504178,2292.9501897427303
6397.729457397539,6408.8129391982175,7949.124913769101,724.6427075021958,2714.3809336322806
6719.348502545295,7736.987297743913,7790.66916847496,16.74802678669991,3070.2194956126764
7235.725634206286,7427.544262089288,6988.424306975702,745.7955394934074,3754.1820135260314
9021.02758303573,7759.5771898339435,5647.537857346566,1271.1144402397279,4239.698647989608
8879.571376926604,7450.836488859864,7076.690056374621,3526.636974592906,4160.673031987327
10000.0,6381.456212823528,5522.285055495117,5255.298480982212,4344.332833245068
9140.095156401108,6397.867572840766,5098.822448338344,7262.447166271461,4101.5430392135095
7817.257469500632,8164.299579405209,4841.03304232037,8296.090568766072,4722.557255086804
7752.176803283038,9081.361404687726,3876.6087630459256,9429.602161337036,4913.064875468332
5286.372657987017,7671.654396646248,3722.6175611972094,7947.503502132995,4819.164308559719
4385.3285827518275,7382.366526291627,2702.0983533720655,6473.7625588785495,4973.248808806987
3128.761826526984,5071.445823188056,3371.1180457117857,3592.9606801954433,4650.544298586739
2214.594723684074,4687.339497117468,3975.531442913196,1932.103091235802,5199.81647957701
1817.384862004801,5030.94990305539,5237.425575454482,754.5598502515732,5136.277466404775
1358.925236123077,5491.030737602401,4434.86359201041,0.0,6237.061427625814
1567.603734366718,5828.513001974238,3489.616417957322,1320.4991330582427,6013.095165432232
904.4616972037053,6743.9720166928755,5179.4579657777085,2384.3851514602948,5375.4740819999715
1552.1484410562928,7810.443523405539,4139.8501990435525,3722.103893771642,5802.3676403814225
906.2658259997088,7733.0392682712845,2957.071223008407,6963.532081380345,6142.904677764026
1083.3764932999231,8336.359496214405,2875.67236006197,8855.26441416196,6611.288981054464
979.2231176259395,10000.0,2731.1841552312594,9232.105472501542,6709.161800458238
1047.5894606250029,9578.611424427645,1786.4117533537135,8091.294273800885,6922.137927394565
73.7116416540771,9911.030653585176,1112.7570584988953,7234.461265460524,6823.158642501692
1447.016982459772,8662.318640627303,0.0,5808.958643408565,6968.950827135964
951.7482696708853,7185.578924321989,2703.5633986234625,2661.3237030245714,7676.966763109312
247.73526158249788,7713.739959869533,2761.2268273144723,1850.5870760611197,8175.1263503076625
1807.631882846425,7405.985531087308,5259.720829015986,799.413345605985,8775.450489508405
734.4652119334645,5431.187353905628,6130.61514992815,1392.1992497240026,9353.274384693746
1806.8168083961239,5963.978885467142,8162.101709472187,1133.770037273556,10000.0
421.4949833592881,8373.189809889784,9592.293099352444,4297.17598338995,9868.509307500492
