Cultural Trends and Influences,Cultural Event Participation,%
Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Random fluctuation
Film Screenings,Music Festivals,Theater Performances,Traditional Ceremonies,Food Festivals
51.53626375160424,12.820211599725347,53.80126478339219,44.04883476488962,19.68205245315562
74.93390026917724,9.978374935634397,70.02785262482699,65.10077537019022,5.4435500098039515
87.8784859013468,4.845908284240985,85.83077628957847,75.28079102128136,11.02796855259671
95.30809908614295,10.230403294758435,95.45383064809002,83.1513995312223,11.02391805650958
84.68916803314022,12.712519480533798,100.0,89.65560843511476,31.631187062137844
71.43287752914397,12.581096752039056,89.08532153666452,100.0,22.87860006159116
42.53300697109933,6.832089892036798,68.48386305788688,90.97450110605433,12.62384648760989
26.365054391993837,8.002150154645594,49.672345019739204,83.86230065328414,22.700434377037055
12.503272237798418,12.451123493982328,37.83817769977385,78.9359600007565,18.99170268603928
5.2575764254910915,5.621369097820524,18.12101754319982,66.17587020489346,40.8174734457847
20.110851878708257,4.466189436763147,6.647415422459904,52.079692661909796,45.359637726099585
27.31456779494166,3.385284193873646,3.3308051778580414,35.96016352286481,63.366473154130745
51.103707665860256,8.409400001723952,14.18394786032899,23.726825472449235,55.19397159194962
78.59683831703636,9.750205029582213,27.224479929957734,9.479441766617704,74.15522013022546
97.04933791506414,10.436647610289347,49.28323763347223,9.927535462930619,54.24540978353664
100.0,15.65069177198538,65.46257945042044,0.7677326475261436,47.8191459659105
88.30125416214945,18.24200105487238,82.81763015824671,3.3057208014964305,59.40763663005527
62.80975671881406,23.625094640707356,91.26286473767802,5.193076743608514,89.49799118570381
43.04578569967211,32.06887761773841,91.3599436522682,22.807901466483116,100.0
20.91198683455137,54.3452488587271,85.92594716134819,20.31022093749367,79.28321269241252
0.0,62.288312533513746,69.76518004665874,45.53344733561839,64.11506606286113
9.18682687989086,76.17388964766808,51.779558549250815,61.933613832674354,60.39755940023907
22.88023928755184,83.60989822511354,33.74592454662828,69.26173186254204,57.16433854361275
41.93311863095944,100.0,6.070864270632443,85.08166511869207,42.314761769762264
76.44115566536556,97.23067641883985,0.0,87.64181656100675,30.36920584800361
85.8426013188898,98.32693826066325,7.1566812824170905,98.30627335881485,33.67412934610161
90.96991593681494,93.55944612074718,11.670245450048618,97.12956365671126,24.374812383682276
93.15645123620723,94.04267086323956,31.68534687643004,90.87944387902682,47.52570622982418
83.84072381374915,75.76182532425933,49.99052734536651,82.93821976960103,34.36153314842121
55.587562118379616,66.7901939767888,72.17837929756789,72.10547710018577,56.25672733428385
45.510820602032865,39.30579819291199,84.96048322553,59.4472341888144,41.754953972431316
11.25134000107715,39.6071005052055,94.90138650442297,49.90487557459076,24.20301827312957
14.455913100919851,33.096510079333285,99.47969320225418,27.385400669068122,11.471333697837162
8.102390235307997,14.323656083154967,84.04832342008866,13.23583169018815,0.0
24.71994368142424,10.240332477221951,76.18018772973065,0.9359833360607454,5.4976304820278115
51.63817580074479,5.889656282895639,47.98542249027767,0.0,21.546501986463593
68.55141564769626,8.156358685213572,34.19459907880191,1.8963904873838158,18.744286879963447
94.6065445334246,9.941179425052347,7.214735008167048,6.760772344739217,14.203635501549794
97.9554483046171,15.64469427903113,5.238539102680981,1.3091529492008076,34.21764209341278
87.45748514676333,1.5139122253866302,1.068373120567135,37.62173580702255,60.31825529700712
64.14921968858961,9.074414709307742,12.433398697198806,29.855553298374126,45.57921547123614
47.29026403900775,9.533656225385231,27.531827660776887,46.25731554855882,62.84489677719007
23.27826962176432,6.75939590159169,51.68478104712165,64.03681607475178,79.06287328128741
12.06760114902453,0.7438106416683022,69.20045842146385,80.02159800796163,51.1052088926045
2.83804493509539,0.1284539277163809,86.85232808666923,85.72391745937686,39.65829747226815
15.17550423604649,17.62377863336993,96.33954072016667,85.99129038291775,26.932521683419207
37.554174772571066,3.9489837867593405,92.6435274478118,99.58919923934458,22.604302660919277
63.00905976645126,10.540086261542921,89.29289395684448,97.03329945028749,27.040020569449307
81.14604781639527,0.0,72.10740472588722,87.64676394117252,20.82835362453568
88.62976449892031,15.864891296021314,45.00527891809823,74.96352725262099,7.726604500100251
