Real Estate and Housing Market,Housing Price Fluctuation,USD/square foot
Random fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Random fluctuation,Random fluctuation
Rural Areas,Luxury Residences,Coastal Properties,Suburbs,Mountain Regions,Urban Redevelopment Areas,Metropolitan Areas
585338.1495852771,0.0,487534.7666178238,132476.81201226637,427133.43808690377,101858.63980712864,504146.1495691119
511530.86324758234,122836.52833742062,847618.24996622,77226.15281421148,667078.7204653953,0.0,664625.1444559565
670026.8981581152,156704.7615505451,984985.6895206996,106725.93948119559,958252.0777011235,101091.25912833452,710649.4906232337
669864.8577890204,151525.43536050583,834558.8530952326,100398.76852424495,878778.6216245391,43702.62611843595,772479.1693393263
647984.195350294,59236.03328689784,700639.7925492792,75000.10645722486,934496.3991478909,218039.20581114048,741956.0734505039
632938.9602338227,109980.29316526685,289017.8147680951,0.0,708171.5737849047,396201.7735062309,849444.5057368261
620661.6284850511,158459.5302426614,119368.45393195283,146264.8194038068,412126.0551291945,269681.08062853984,890243.6325800495
473398.09365777817,16336.446729509811,0.0,136200.71307670785,183854.02357556176,322035.92948355764,752844.5945000398
502208.8747481298,136544.94504583385,335114.87928997085,82833.63866995316,101682.54442654058,195439.75134713866,653174.750987576
669406.3479114162,98158.52315684671,559622.5470372231,219847.0836483162,10810.774035540953,153774.0781466606,699974.2823009248
628795.8059454038,147655.46636858772,825371.1646861559,63929.87395451093,64053.96102031943,89972.01840088905,565973.9406094236
675698.9832740637,137175.5388542169,913412.5364156995,158090.47597149375,223432.22045788055,255730.57748250404,441434.1115495177
566533.8805795267,143670.70898697103,854094.9528129385,147983.06281100403,457005.6559736099,338832.8756043705,544677.2289560139
633268.3200270899,222189.40864598835,677805.7516530465,140290.9983988151,678576.8976238632,414109.9822571351,648444.1328599403
565458.6094122423,180479.3605775901,432778.9742135645,143266.3455715833,841232.3835302626,594512.2354999335,809898.9914878883
703581.69929854,162871.33535451812,139607.9200985617,150061.41002000982,955053.6119159926,553269.9409266869,915058.6454437873
757859.6517787576,221129.95794434453,57447.48302906398,161985.09007117638,1000000.0,771818.3321998911,845973.2771656985
761262.7057994433,349533.3014953848,304621.3474911166,286022.87314729707,711153.3689019342,760528.345872915,813713.3669294722
633616.0659798336,438441.38389690086,598862.2173280105,257949.25303974203,452978.81821549655,617389.5404475784,830345.3307754135
498661.48628958804,490072.8380203097,829899.5942514215,442764.56138959475,229875.35041022048,671633.8551047832,879899.2662674125
527640.4401141306,562683.0800059976,882739.3830644654,559994.7528011019,59494.55297604702,667831.5481396796,1000000.0
390640.00429665716,675096.4450004122,873845.5427041074,767795.6037666709,68528.96196324541,557046.0611371357,837040.1033156693
335064.51412614115,801905.9135116991,727020.0184498867,831275.6532061086,46051.78279383618,467812.8788338156,686315.6214080588
2529.7147038527846,1000000.0,356284.7824974291,1000000.0,175278.11960083267,624712.7047748509,521239.22335981345
74534.4357700356,967787.3482552613,198994.69222983991,925884.582465237,469737.08397112915,506811.57986986515,608851.174570124
0.0,924499.5232296396,164912.1519692026,894422.5740030548,704800.8421564598,581061.692995388,503716.53141545627
5712.747013597913,900225.7268630739,192094.90933969087,883840.6015256498,892805.832506976,586906.261685673,579566.6096753891
20478.736824682845,791175.7062717401,602674.101059024,862808.2514675371,891307.9909882568,480267.2386620949,625683.0641526844
137443.02631694442,751331.4481864726,837184.9613712638,701274.6592865136,883298.0871436597,531820.074349052,608963.7090145826
77939.13411926545,635041.4391260529,1000000.0,517470.37799259485,726868.2234929482,366700.6168630909,478805.98615828285
