Tourism and Hospitality,Tourist Arrivals,people
Cultural Tourists,Eco-tourists,Adventure Seekers,Backpackers,Business Travelers,Leisure Travelers,Luxury Tourists
Periodic fluctuation,Single Peak Distribution,Periodic fluctuation,Single Peak Distribution,Single Peak Distribution,Single Peak Distribution,Periodic fluctuation
450128.4890901784,27287.254016003193,415533.9507324873,91217.67605946783,18185.746853418743,184356.76987713695,494507.48054548743
797815.9252189555,132215.76551252243,657505.7774390923,159677.83070502747,70744.8770198625,14844.573330929883,609287.2502684455
862545.4529400229,100818.52264005241,837167.90442339,162029.0403749161,134642.7646479672,198773.89660205488,734165.7810297521
952307.1246045025,131791.12736639712,883659.8027283292,0.0,59447.94547327476,59886.06037498593,832854.6521868465
953024.280275623,89211.85392866403,938686.0015697828,127110.17566469543,61105.242761347385,208615.7478777592,945356.3601040379
924324.0863105705,35673.06696069307,904467.4811149166,158883.3825119248,137421.43580021523,102704.33547386758,939801.9983302741
747976.2911128998,50006.63873106572,919311.9007707802,131555.34551044035,27131.18548793,77438.99364566233,945989.2183720396
571049.678543634,84779.61590233649,813736.3605668376,116765.18418330023,77704.1878108843,94704.22297621027,950800.0335026116
391678.76578084653,21814.836130528296,691828.7414930678,107308.81795009198,61626.624112214486,50249.33043254187,940395.72020586
213273.41250552615,125021.21281771176,590017.7972458232,54964.31713006491,0.0,52690.11537050187,789428.2610353371
80940.73768809391,27556.66150733988,465647.5703389869,61889.775108354974,64093.142550426186,106057.44339736905,705779.821843191
2939.0785468736904,43578.06345726109,344214.2826300783,111989.84497388176,125459.09919137199,0.0,681037.0258299987
125585.50164970744,125168.50803963875,194955.28516965054,144244.3165930035,79983.73290773679,94808.72567990418,485288.09452929284
170039.90072716537,3628.260378536817,53867.382097849404,92214.61879274962,110219.63681720044,132615.17656824368,378779.06537034654
376660.3708737449,54433.612879255525,48200.24998020415,116874.30976196124,80148.02726673998,90122.1711114481,194413.0060988657
604541.7670000623,159212.95900417498,0.0,174572.68332465994,88503.99721070217,110523.67203682064,139525.40952579895
701306.3948320183,83332.91089419991,66148.2931273006,223627.1683355701,145358.7918355753,226115.001496121,37782.331461639944
910905.0989911258,189934.35795978367,157863.63276346336,309660.46247996297,226256.92377656585,157779.51029320646,45312.63610848043
972837.2334887583,247046.7273582768,351302.9554989883,301416.7286413689,351452.86793009174,366367.0373760512,26080.469475279442
997725.170744888,448286.7511585431,419752.1283260125,472462.97000754526,371497.68633496296,374511.96916676353,149206.07011913112
827388.2937212181,548966.7026943055,584240.4304046715,661043.017535174,574637.4829135006,612809.875281213,112272.92041706077
685288.0417586229,675502.96013372,700798.9105563933,730674.851549278,633898.1674709077,649886.5094061672,145092.4732757671
