Agriculture and Food Production,Crop Yield,tons/hectare
Single Peak Distribution,Single Peak Distribution,Periodic fluctuation,Periodic fluctuation,Single Peak Distribution
Rice,Barley,Oats,Corn,Wheat
235.20506163976003,292.3210037358775,2874.748342174869,2636.9129113752433,182.7841896006066
716.7505663043687,437.08061507365477,4240.407131384235,3596.791500448605,328.4073196705943
666.5294628610875,591.046569097082,4660.175578096768,3623.0577669870368,387.256519925592
556.8932060980421,127.34532369206873,4688.469946900231,4343.769964932681,731.6681901083695
700.6201620767172,461.66518356245206,3280.249197854941,5000.0,274.1091629175158
704.4590638789633,50.29452260463131,1392.6305306144727,4401.081408884372,355.5567180676877
499.65064718684204,507.8119230244265,525.5341042173211,3610.699304883896,523.3397697772668
738.8402874551886,127.63327820221967,639.7586800175809,2923.8191175599604,732.8890871223623
351.5419082167074,218.56398445294533,2066.198378399354,1784.3512712162135,150.0455148922504
659.0218350584025,342.7589452156214,3756.0353048684174,1742.7464075617459,736.2468938051409
322.8302929599274,145.57744626851402,4831.803654151796,898.8972949675011,258.83943034420446
25.82884150692293,653.286480418978,5000.0,278.3328801396505,425.21711178989204
264.23013889984867,504.06455403834906,4255.7136828531775,593.8051340792153,610.7879244277384
669.9288680626078,593.0552053158311,2747.9163729074658,609.3954225818485,493.43360476862483
884.4997263372742,794.0030512370864,1165.0663181298873,801.2012453250519,674.4191562738449
825.8264666613513,429.1420746124796,505.27080777727224,1252.8915853156082,618.9735176205468
1120.2696780753624,758.5093949856927,730.5191724914313,2901.4663480016834,630.5171643580718
1809.6663582628707,1350.4503001422233,2360.5561633638695,3853.047707330808,1089.977504485365
1846.7507922237924,1579.2034723528075,3825.3703494953716,3791.0708706710084,1880.6683214111645
1969.47597098745,2088.4587956461783,4882.368555120594,4078.2578258973863,2395.10573724117
2975.566125262775,2799.6209887535238,4919.9800745628945,4550.552992965688,2955.6098497926982
3318.989332203534,3438.8105485057276,3487.8138175149124,4147.532139286941,3210.326029295579
3937.0314961521613,3848.029682207366,1861.5706806598578,3592.9662595746054,3943.0485143121614
4675.610494699083,4983.262414391567,572.4188913171396,2924.51153392943,4944.013501914457
5000.0,4932.763369501008,399.76070233054264,1697.569134615,4752.268062169432
4607.2409683355445,5000.0,1188.0007883172352,1616.9479541721473,5000.0
4564.970418092639,4906.913412177192,2711.7606647557564,694.2699530611029,4470.388900444963
4302.1376187468795,4239.358200461506,3816.4390944197366,327.31677563950916,4557.483143370742
3473.7295842170333,3970.4827890925208,4926.371215414719,147.35945029377908,3308.535079616205
2737.7454120180246,2537.556147045508,4725.381423946097,639.397447022777,2665.8129256118814
2622.3090915798,2444.4510358655216,2868.0158343286894,1576.3701338686412,2264.6618802589223
1705.643852001788,1705.198142192782,1325.0580731394077,2363.31893036472,2356.7155380662184
1184.9480229688202,1271.1489923236593,413.138120790867,2979.7205790849403,1310.2520426591411
894.4957565270237,863.6563676032624,881.3002299135765,4028.1775612811703,941.1049755909777
904.9142880979825,801.4491969107858,1729.982653370185,4244.5195442703,722.4848503629019
666.3933237612575,439.07214928832144,3166.1642374810795,4764.034813856442,880.9586581897162
686.0944847520191,0.0,4841.931515737172,4227.68958117037,469.32912894336584
502.17264311625934,82.57811355599745,4897.1164984636125,4410.8368548370845,0.0
709.1326013225555,57.4490469853087,3866.080103344237,3423.5728124302987,461.4056770180334
613.248527462091,279.08020863843825,2713.339945113142,2635.9047146918,383.2300626536726
688.8626870236424,503.9443172709835,1099.7171990229965,1697.472349907684,268.35160362011453
590.9451417717505,83.30561402453577,0.0,1502.8066734870536,487.00157276098514
508.38274221646026,772.3353675736664,613.1900020619019,832.2481978356088,625.1973066442396
0.0,224.56760083014802,2250.734203450391,0.0,704.1502127962325
475.83224073894826,138.8788272557934,3784.4066352923887,713.293092063542,482.9945601833389
607.884417339753,434.1379821942548,4913.466267178276,820.4163660031753,586.227367501999
575.790669178647,50.55278267028675,4601.235777562846,1858.6081559755382,412.31864452548746
954.2302185147851,568.0690304000839,3634.4567152096506,3078.227353986514,185.83351283617412
223.27456307251168,487.26270892497445,2115.2205544946232,2895.3630254603145,260.2529914270947
456.667585776878,313.933447112196,242.7737017340756,3737.644841197607,798.4534483960675
