Human Resources and Employee Management,the Distribution of Human Resources and Employee Management,9x8,horizontal_gradient
Benefits,Absenteeism,0.18
Compensation,Absenteeism,0.18
Compliance,Absenteeism,0.21
Diversity & Inclusion,Absenteeism,0.32
HR Tech,Absenteeism,0.36
Performance,Absenteeism,0.42
Retention,Absenteeism,0.53
Training,Absenteeism,0.67
Workplace Safety,Absenteeism,0.78
Benefits,Culture,0.18
Compensation,Culture,0.22
Compliance,Culture,0.27
Diversity & Inclusion,Culture,0.29
HR Tech,Culture,0.38
Performance,Culture,0.39
Retention,Culture,0.54
Training,Culture,0.66
Workplace Safety,Culture,0.75
Benefits,Diversity,0.19
Compensation,Diversity,0.2
Compliance,Diversity,0.26
Diversity & Inclusion,Diversity,0.33
HR Tech,Diversity,0.36
Performance,Diversity,0.41
Retention,Diversity,0.56
Training,Diversity,0.67
Workplace Safety,Diversity,0.76
Benefits,Leadership,0.17
Compensation,Leadership,0.23
Compliance,Leadership,0.26
Diversity & Inclusion,Leadership,0.31
HR Tech,Leadership,0.34
Performance,Leadership,0.46
Retention,Leadership,0.53
Training,Leadership,0.63
Workplace Safety,Leadership,0.78
Benefits,Productivity,0.24
Compensation,Productivity,0.22
Compliance,Productivity,0.25
Diversity & Inclusion,Productivity,0.3
HR Tech,Productivity,0.36
Performance,Productivity,0.46
Retention,Productivity,0.55
Training,Productivity,0.66
Workplace Safety,Productivity,0.76
Benefits,Skills Gap,0.19
Compensation,Skills Gap,0.26
Compliance,Skills Gap,0.24
Diversity & Inclusion,Skills Gap,0.31
HR Tech,Skills Gap,0.38
Performance,Skills Gap,0.43
Retention,Skills Gap,0.56
Training,Skills Gap,0.62
Workplace Safety,Skills Gap,0.78
Benefits,Turnover,0.21
Compensation,Turnover,0.26
Compliance,Turnover,0.23
Diversity & Inclusion,Turnover,0.31
HR Tech,Turnover,0.38
Performance,Turnover,0.44
Retention,Turnover,0.53
Training,Turnover,0.67
Workplace Safety,Turnover,0.8
Benefits,Wellbeing,0.19
Compensation,Wellbeing,0.23
Compliance,Wellbeing,0.26
Diversity & Inclusion,Wellbeing,0.28
HR Tech,Wellbeing,0.34
Performance,Wellbeing,0.39
Retention,Wellbeing,0.52
Training,Wellbeing,0.65
Workplace Safety,Wellbeing,0.8
