Sports and Entertainment,the Metrics of Sports and Entertainment,7x8,radial_gradient
Gaming,Merchandise,0.45
Media Rights,Merchandise,0.47
Movies,Merchandise,0.38
Music,Merchandise,0.41
Publishing,Merchandise,0.25
Tennis,Merchandise,0.18
Theater,Merchandise,0.1
Gaming,Ratings,0.58
Media Rights,Ratings,0.58
Movies,Ratings,0.5
Music,Ratings,0.41
Publishing,Ratings,0.31
Tennis,Ratings,0.24
Theater,Ratings,0.15
Gaming,Revenue,0.66
Media Rights,Revenue,0.63
Movies,Revenue,0.56
Music,Revenue,0.46
Publishing,Revenue,0.38
Tennis,Revenue,0.27
Theater,Revenue,0.16
Gaming,Royalties,0.8
Media Rights,Royalties,0.72
Movies,Royalties,0.66
Music,Royalties,0.53
Publishing,Royalties,0.41
Tennis,Royalties,0.27
Theater,Royalties,0.19
Gaming,Sponsorship,0.86
Media Rights,Sponsorship,0.75
Movies,Sponsorship,0.68
Music,Sponsorship,0.54
Publishing,Sponsorship,0.41
Tennis,Sponsorship,0.32
Theater,Sponsorship,0.17
Gaming,Streaming Hours,0.73
Media Rights,Streaming Hours,0.69
Movies,Streaming Hours,0.62
Music,Streaming Hours,0.5
Publishing,Streaming Hours,0.36
Tennis,Streaming Hours,0.3
Theater,Streaming Hours,0.21
Gaming,Ticket Sales,0.65
Media Rights,Ticket Sales,0.6
Movies,Ticket Sales,0.54
Music,Ticket Sales,0.48
Publishing,Ticket Sales,0.38
Tennis,Ticket Sales,0.25
Theater,Ticket Sales,0.14
Gaming,Viewership,0.49
Media Rights,Viewership,0.49
Movies,Viewership,0.47
Music,Viewership,0.37
Publishing,Viewership,0.29
Tennis,Viewership,0.17
Theater,Viewership,0.1
