Tourism and Hospitality,the Risk Assessment of Tourism and Hospitality,8x9,horizontal_gradient
Cruises,Adventure,0.79
Destinations,Adventure,0.7
Events,Adventure,0.59
Marketing,Adventure,0.57
Online Booking,Adventure,0.5
Restaurants,Adventure,0.41
Service Quality,Adventure,0.33
Tour Operators,Adventure,0.3
Cruises,Budget,0.81
Destinations,Budget,0.72
Events,Budget,0.65
Marketing,Budget,0.55
Online Booking,Budget,0.52
Restaurants,Budget,0.44
Service Quality,Budget,0.3
Tour Operators,Budget,0.27
Cruises,Cultural,0.76
Destinations,Cultural,0.75
Events,Cultural,0.66
Marketing,Cultural,0.56
Online Booking,Cultural,0.5
Restaurants,Cultural,0.4
Service Quality,Cultural,0.34
Tour Operators,Cultural,0.27
Cruises,Eco-tourism,0.8
Destinations,Eco-tourism,0.76
Events,Eco-tourism,0.66
Marketing,Eco-tourism,0.55
Online Booking,Eco-tourism,0.53
Restaurants,Eco-tourism,0.44
Service Quality,Eco-tourism,0.32
Tour Operators,Eco-tourism,0.28
Cruises,Family,0.82
Destinations,Family,0.74
Events,Family,0.64
Marketing,Family,0.57
Online Booking,Family,0.5
Restaurants,Family,0.4
Service Quality,Family,0.36
Tour Operators,Family,0.28
Cruises,Luxury,0.86
Destinations,Luxury,0.74
Events,Luxury,0.68
Marketing,Luxury,0.61
Online Booking,Luxury,0.52
Restaurants,Luxury,0.39
Service Quality,Luxury,0.33
Tour Operators,Luxury,0.29
Cruises,Rural,0.79
Destinations,Rural,0.72
Events,Rural,0.64
Marketing,Rural,0.55
Online Booking,Rural,0.52
Restaurants,Rural,0.44
Service Quality,Rural,0.36
Tour Operators,Rural,0.29
Cruises,Urban,0.8
Destinations,Urban,0.73
Events,Urban,0.69
Marketing,Urban,0.56
Online Booking,Urban,0.51
Restaurants,Urban,0.41
Service Quality,Urban,0.35
Tour Operators,Urban,0.24
Cruises,Wellness,0.85
Destinations,Wellness,0.7
Events,Wellness,0.67
Marketing,Wellness,0.57
Online Booking,Wellness,0.53
Restaurants,Wellness,0.39
Service Quality,Wellness,0.34
Tour Operators,Wellness,0.28
