Food and Beverage Industry,Restaurant Sales,$
Year,Sky High Cafe
trend,stable_rising
1976,110009904.44
1977,102992728.47
1978,112223149.27
1979,125943519.65
1980,115038069.13
1981,138472121.83
1982,131906508.53
1983,136794265.71
1984,154904144.05
1985,137572878.25
1986,151011610.07
1987,156902003.01
1988,148356769.14
1989,166982014.69
1990,187492765.81
1991,188388702.36
1992,185146502.37
1993,165763876.88
1994,184375368.94
1995,174175887.35
1996,222083254.11
1997,196387609.06
1998,217051698.42
1999,221023449.65
2000,203885997.21
2001,241522990.57
