Social Media and Digital Media and Streaming,Daily Active Users,users
Year,AetherNet,OracleFeed,NovaStream,EchoWave,Starburst Online
trend,single_valley,bimodal_peak,exponential_falling,volatile_rising,stable_falling
1969,923590264.99,1613923408.02,626583659.25,1263721957.5,1344565273.55
1970,767675814.7,1465837076.02,627806014.54,1481005038.87,1010544525.42
1971,813336161.69,1714385102.76,374992102.1,1065971848.97,1270050858.27
1972,629060292.68,1777699487.26,713975860.48,1058993982.03,1056298698.55
1973,331788434.61,1681641897.72,1133754221.65,1514565080.77,1149910454.67
1974,400830127.39,1901860027.11,717825429.21,1732083714.58,1191324158.65
1975,275212487.19,1896814702.86,352490309.38,1923226799.45,1426251346.04
1976,428164800.39,1594829557.89,843906123.5,1165072154.83,910104601.25
1977,392349482.12,1371150541.76,626252453.59,1533902002.99,1448349471.0
1978,459578439.08,1807304441.94,301121344.95,1339549697.9,1570402834.18
1979,10000000.0,1889308069.15,434674423.15,1876774394.46,1232222407.43
1980,278035563.0,1961380874.82,585011507.4,2418167808.14,1463435276.27
1981,223756122.7,1950721206.91,469247497.01,2136039121.34,1458873307.43
1982,515835164.98,1503551049.1,121759454.13,1929261017.5,1324190710.2
1983,484154659.55,1943996072.92,263135008.38,2230919347.61,1234201487.24
1984,604540678.33,1441750628.9,229949653.39,2226124540.89,1118335234.17
1985,849260330.73,2027783623.6,124142776.68,1912587505.8,1453559326.39
1986,606095660.87,1727191714.52,10000000.0,2703838814.56,1520901755.76
1987,864130503.08,1683958268.26,108975055.6,2371480925.01,1930240862.46
1988,877597575.7,1701834490.93,331259312.76,2891031959.76,1488163738.04
1989,995668516.38,1627063611.49,155252122.19,3069848642.41,1587595900.73
1990,737528889.07,1530206276.9,235581144.37,2602084683.04,1661642868.91
