Energy and Utilities,Natural Gas Prices,$/cubic meter
trend,volatile_falling,bimodal_peak,volatile_falling,exponential_rising
Year,AquaSource Trading,GeoHeat Commodity,Zephyr Gas Index,Solara Power Futures
1980,1.74,3.68,1.93,2.22
1981,1.65,3.89,1.81,2.46
1982,1.54,4.15,1.67,2.71
1983,1.38,4.31,1.56,3.0
1984,1.35,4.46,1.5,3.29
1985,1.22,4.57,1.3,3.61
1986,1.1,4.61,1.22,3.96
1987,1.0,4.64,1.12,4.38
1988,0.9,4.67,0.99,4.8
1989,0.79,4.59,0.9,5.28
1990,0.72,4.59,0.74,5.83
1991,0.6,4.6,0.62,6.41
1992,0.49,4.61,0.55,7.04
1993,0.37,4.62,0.42,7.78
1994,0.27,4.67,0.3,8.53
1995,0.18,4.64,0.17,9.36
1996,0.06,4.59,0.07,10.3
1997,0.02,4.49,0.02,11.34
1998,0.02,4.37,0.02,12.46
1999,0.02,4.14,0.02,13.74
2000,0.02,3.91,0.02,15.1
2001,0.02,3.68,0.02,16.62
