Sports and Entertainment,Merchandise Sales,$
trend,bimodal_peak,bimodal_valley,stable_falling,bimodal_peak,exponential_rising
Year,Starlight Merchandise,Emerald Sports Co.,Apex Athletics,Titan Gear,Sapphire Entertainment
2008,2030954.13,219228.94,1080348.95,1937723.21,797162.26
2009,2038232.67,10000.0,982945.39,2255192.99,1218969.76
2010,2336258.28,10000.0,886598.74,1983840.65,1201490.59
2011,2286949.56,63474.53,1124236.13,2166363.56,1412640.73
2012,2334046.01,10000.0,1016476.71,2227560.5,1289510.24
2013,2259536.5,10000.0,765546.35,2383505.71,1456925.03
2014,1889740.67,10000.0,1282899.16,2370803.63,1801246.19
2015,2295597.93,10000.0,973856.86,2054740.15,1605934.44
2016,2056420.96,10000.0,1300460.56,1950003.71,2120801.26
2017,1891833.51,94712.41,1079459.24,1935863.35,2305318.5
